name,id,sis_id,anon_id,section,section_id,section_sis_id,submitted,attempt,consent,0,2091825: What is your age in years?(enter number only,0,2091826: What is your year in university?,0,2091827: My gender identity is:,0,2176799: Are you an International student?,1,2091828: Is English your first language?,0,"2091829: Which of the following best describes your academic experience when it comes to learning in English? (Fill in the blank with a number 0-100%)

_______% of my academic experience has been in English (the rest was in a language other than English)",0,2091830: How well do you read English? Select the highest level of reading that you are confident with.,0,2091831: My ethnicity is (select all that apply):,0,2091832: Which of following best describes your father's education?,0,2091833: Which of following best describes your mother's education?,0,2177181: Which of the following best describes your parents' relationship to each other? ,1,2177184: How much financial support do you receive from your parents currently?,1,"2091834: When you were in high school, did you qualify for a 'free or reduced cost lunch' program? 'Free or reduced cost lunch' programs are designed to improve nutrition among low-income students. If your family made very little money, you likely qualified for 'free lunch'.",0,"2091835: Do you currently qualify for a Pell Grant? A Pell Grant is money from the federal government that is given to students with high financial need. If your family income is below about $50,000 then you qualify for a Pell Grant.",0,"2177185: On average, how many minutes a day do you spend on social media? (Enter number in minutes)",1,"2177186: In the last 7 days, how many hours did you spend on course work? (Enter number in hours: e.g., 1 hour and 20 minutes = 1.33)",1,2091836: Did you transfer to UC Davis from a community college?,0,n correct,n incorrect,score
redacted,redacted,redacted,946353,PSC 041 001 WQ 2023,826365,202301-PSC-041-001-40278,2023-02-28 18:30:00 UTC,1,,0,,0,Sophomore - 2nd year,0,Woman,0,"No, I am not an international student",0,English is not my first language,0,100,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,18,5
redacted,redacted,redacted,514088,PSC 041 002 WQ 2023,800700,202301-PSC-041-002-40279,2023-02-28 18:30:00 UTC,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,18,5
redacted,redacted,redacted,695840,PSC 041 002 WQ 2023,800700,202301-PSC-041-002-40279,2023-02-28 18:30:00 UTC,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,18,5
redacted,redacted,redacted,781336,PSC 041 002 WQ 2023,800700,202301-PSC-041-002-40279,2023-02-28 18:30:00 UTC,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,1,No,0,1,17,5
redacted,redacted,redacted,623912,PSC 041 002 WQ 2023,800700,202301-PSC-041-002-40279,2023-02-28 18:30:00 UTC,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,18,5
redacted,redacted,redacted,670267,PSC 041 001 WQ 2023,826365,202301-PSC-041-001-40278,2023-02-28 07:57:02 UTC,1,"I have read this information sheet, and I do not consent to participate in this study. I will earn the extra credit by submitting ‘decline to answer’ on each of the questions.",0,18,0,I decline to answer,0,I decline to answer,0,I decline to answer,0,I decline to answer,0,decline to answer,0,I decline to answer,0,I decline to answer,0,Decline to answer,0,I decline to answer,0,I decline to answer,0,I decline to answer,0,Decline to answer,0,Decline to answer,0,90,1,15,1,I decline to answer,0,3,15,5
redacted,redacted,redacted,453529,PSC 041 001 WQ 2023,826365,202301-PSC-041-001-40278,2023-02-27 03:23:08 UTC,1,"I have read this information sheet form, I consent to participate in this study.",0,18,0,Freshman - 1st year,0,Woman,0,"No, I am not an international student",0,English is my first language,0,100,0,"5- I am confident reading advanced books in English(e.g., historical literature or science non-fiction)",0,East or South East Asian,0,He earned a graduate degree (Masters or Ph.D),0,She earned a 4-year degree,0,Together,0,"6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)",0,I did not qualify for 'free or reduced cost lunch' at all in high school,0,I do not qualify for a Pell Grant,0,240,1,720,0,No,0,5,13,5
redacted,redacted,redacted,134149,PSC 041 001 WQ 2023,826365,202301-PSC-041-001-40278,2023-02-22 04:39:40 UTC,1,"I have read this information sheet form, I consent to participate in this study.",0,19,0,Sophomore - 2nd year,0,Man,0,"No, I am not an international student",0,English is my first language,0,100,0,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",0,Caucasian,0,He left when he graduated from high school (or GED),0,She left school before she graduated from high school,0,Separated,0,1- No support,1,I did not qualify for 'free or reduced cost lunch' at all in high school,0,I do qualify for a Pell Grant,0,90,1,8,1,No,0,8,10,5
redacted,redacted,redacted,388918,PSC 041 001 WQ 2023,826365,202301-PSC-041-001-40278,2023-02-16 03:16:34 UTC,1,"I have read this information sheet form, I consent to participate in this study.",0,18,0,Freshman - 1st year,0,Woman,0,"No, I am not an international student",0,English is my first language,0,99,0,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",0,Hispanic or Latino,0,He left when he graduated from high school (or GED),0,She left school before she graduated from high school,0,Together,0,"6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)",0,I qualified for 'free or reduced cost lunch' for all or most of high school,0,I don't know if I qualify for a Pell Grant,0,300,1,18,1,No,0,7,11,5
redacted,redacted,redacted,603399,PSC 041 001 WQ 2023,826365,202301-PSC-041-001-40278,2023-02-16 02:06:26 UTC,1,"I have read this information sheet form, I consent to participate in this study.",0,19,0,Sophomore - 2nd year,0,Woman,0,"No, I am not an international student",0,English is my first language,0,100,0,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",0,"Middle Eastern or West Asian,Caucasian",0,He earned a 4-year degree,0,She earned a 4-year degree,0,Together,0,7- Fully supported (e.g All necessities are provided or paid for),0,I did not qualify for 'free or reduced cost lunch' at all in high school,0,I do qualify for a Pell Grant,0,300,1,35,1,No,0,6,12,5
redacted,redacted,redacted,190818,PSC 041 001 WQ 2023,826365,202301-PSC-041-001-40278,2023-02-16 00:59:12 UTC,1,"I have read this information sheet form, I consent to participate in this study.",0,18,0,Freshman - 1st year,0,Woman,0,"No, I am not an international student",0,English is my first language,0,100,0,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",0,South Asian,0,He earned a graduate degree (Masters or Ph.D),0,She earned a graduate degree (Masters or Ph.D),0,Together,0,"6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)",0,I did not qualify for 'free or reduced cost lunch' at all in high school,0,I do not qualify for a Pell Grant,0,120,1,2,1,No,0,6,12,5
redacted,redacted,redacted,495024,PSC 041 001 WQ 2023,826365,202301-PSC-041-001-40278,2023-02-16 00:44:34 UTC,1,"I have read this information sheet form, I consent to participate in this study.",0,19,0,Freshman - 1st year,0,Woman,0,"No, I am not an international student",0,English is my first language,0,90,0,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",0,East or South East Asian,0,He earned a 4-year degree,0,She earned a 4-year degree,0,Together,0,"6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)",0,I did not qualify for 'free or reduced cost lunch' at all in high school,0,I do not qualify for a Pell Grant,0,300,1,40,1,No,0,6,12,5
redacted,redacted,redacted,142556,PSC 041 001 WQ 2023,826365,202301-PSC-041-001-40278,2023-02-15 09:14:05 UTC,1,"I have read this information sheet form, I consent to participate in this study.",0,18,0,Freshman - 1st year,0,Woman,0,"No, I am not an international student",0,English is not my first language,0,100,0,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",0,South Asian,0,He earned a 4-year degree,0,She left school when she graduated from high school (or GED),0,Together,0,7- Fully supported (e.g All necessities are provided or paid for),0,I did not qualify for 'free or reduced cost lunch' at all in high school,0,I do not qualify for a Pell Grant,0,300,1,14,1,No,0,5,13,5
redacted,redacted,redacted,766084,PSC 041 001 WQ 2023,826365,202301-PSC-041-001-40278,2023-02-13 01:06:08 UTC,1,"I have read this information sheet form, I consent to participate in this study.",0,20,0,Sophomore - 2nd year,0,Man,0,"No, I am not an international student",0,English is not my first language,0,100,0,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",0,East or South East Asian,0,He left when he graduated from high school (or GED),0,She left school when she graduated from high school (or GED),0,Single,1,7- Fully supported (e.g All necessities are provided or paid for),0,I did not qualify for 'free or reduced cost lunch' at all in high school,0,I do not qualify for a Pell Grant,0,90,1,6.5,1,No,0,6,12,5
redacted,redacted,redacted,210273,PSC 041 002 WQ 2023,800700,202301-PSC-041-002-40279,2023-02-12 22:26:22 UTC,1,"I have read this information sheet form, I consent to participate in this study.",0,20,0,Junior - 3rd year,0,Woman,0,"No, I am not an international student",0,English is my first language,0,100,0,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",0,East or South East Asian,0,He earned a 4-year degree,0,She earned a 4-year degree,0,Together,0,7- Fully supported (e.g All necessities are provided or paid for),0,I did not qualify for 'free or reduced cost lunch' at all in high school,0,I do not qualify for a Pell Grant,0,240,1,32,1,No,0,5,13,5
redacted,redacted,redacted,378876,PSC 041 002 WQ 2023,800700,202301-PSC-041-002-40279,2023-02-12 03:33:51 UTC,1,"I have read this information sheet form, I consent to participate in this study.",0,19,0,Sophomore - 2nd year,0,Woman,0,"No, I am not an international student",0,English is not my first language,0,90,0,"3 - I am confident reading moderate books in English (e.g., young adult fiction)",0,East or South East Asian,0,He earned a 4-year degree,0,"She attended some college, but left before she earned a 4-year degree",0,Divorced,0,4- Some support (e.g. Bills but not housing or small monthly allowance),0,I qualified for 'free or reduced cost lunch' for all or most of high school,0,I do qualify for a Pell Grant,0,300,1,36,1,No,0,6,12,5
redacted,redacted,redacted,338114,PSC 041 002 WQ 2023,800700,202301-PSC-041-002-40279,2023-02-11 18:39:38 UTC,1,"I have read this information sheet form, I consent to participate in this study.",0,25,0,Junior - 3rd year,0,Woman,0,"No, I am not an international student",0,English is my first language,0,85%,0,"1 - I am confident reading simple information in English (e.g., signs and instructions)",0,Black or African American,0,"He attended some college, but left before he earned a 4-year degree",0,"She attended some college, but left before she earned a 4-year degree",0,I decline to answer,0,I decline to answer,0,I don't know if I qualified for a 'free or reduced cost lunch' program,0,I do not qualify for a Pell Grant,0,120,1,6,1,Yes,0,6,12,5
