,ID,student_id,consent,,ID,student_id,consent,age,year,gender,int_student,esl,e_exp,e_lvl,ethnicity,p_education,m_education,par_rel,fin_support,ses,grant,soc_med,hw_time,transfer,p_college,m_college,first_gen,URM
1,333708,921393838,"I have read this information sheet form, I consent to participate in this study.",1,333708,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Woman,"No, I am not an international student",English is my first language,100,"5- I am confident reading advanced books in English(e.g., historical literature or science non-fiction)",East or South East Asian,He earned a graduate degree (Masters or Ph.D),She earned a 4-year degree,Together,"6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)",I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,240,720,No,1,1,0,0
2,306315,920062843,"I have read this information sheet form, I consent to participate in this study.",2,306315,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",19,Sophomore - 2nd year,Man,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Caucasian,He left when he graduated from high school (or GED),She left school before she graduated from high school,Separated,1- No support,I did not qualify for 'free or reduced cost lunch' at all in high school,I do qualify for a Pell Grant,90,8,No,0,0,1,0
3,329305,921000655,"I have read this information sheet form, I consent to participate in this study.",3,329305,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Woman,"No, I am not an international student",English is my first language,99,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",Hispanic or Latino,He left when he graduated from high school (or GED),She left school before she graduated from high school,Together,"6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)",I qualified for 'free or reduced cost lunch' for all or most of high school,I don't know if I qualify for a Pell Grant,300,18,No,0,0,1,1
4,297644,919180192,"I have read this information sheet form, I consent to participate in this study.",4,297644,9.19E+08,"I have read this information sheet form, I consent to participate in this study.",19,Sophomore - 2nd year,Woman,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Middle Eastern or West Asian,Caucasian",He earned a 4-year degree,She earned a 4-year degree,Together,7- Fully supported (e.g All necessities are provided or paid for),I did not qualify for 'free or reduced cost lunch' at all in high school,I do qualify for a Pell Grant,300,35,No,1,1,0,0
5,336759,921000435,"I have read this information sheet form, I consent to participate in this study.",5,336759,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Woman,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",South Asian,He earned a graduate degree (Masters or Ph.D),She earned a graduate degree (Masters or Ph.D),Together,"6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)",I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,120,2,No,1,1,0,0
6,335976,920798641,"I have read this information sheet form, I consent to participate in this study.",6,335976,9.21E+08,"I have read this information sheet form, I consent to participate in this study.",19,Freshman - 1st year,Woman,"No, I am not an international student",English is my first language,90,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",East or South East Asian,He earned a 4-year degree,She earned a 4-year degree,Together,"6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)",I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,300,40,No,1,1,0,0
7,334213,921504261,"I have read this information sheet form, I consent to participate in this study.",7,334213,9.22E+08,"I have read this information sheet form, I consent to participate in this study.",18,Freshman - 1st year,Woman,"No, I am not an international student",English is not my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",South Asian,He earned a 4-year degree,She left school when she graduated from high school (or GED),Together,7- Fully supported (e.g All necessities are provided or paid for),I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,300,14,No,1,0,0,0
8,35077,919794151,"I have read this information sheet form, I consent to participate in this study.",8,35077,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",20,Sophomore - 2nd year,Man,"No, I am not an international student",English is not my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",East or South East Asian,He left when he graduated from high school (or GED),She left school when she graduated from high school (or GED),Single,7- Fully supported (e.g All necessities are provided or paid for),I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,90,6.5,No,0,0,1,0
9,261228,918631383,"I have read this information sheet form, I consent to participate in this study.",9,261228,9.19E+08,"I have read this information sheet form, I consent to participate in this study.",20,Junior - 3rd year,Woman,"No, I am not an international student",English is my first language,100,"6- I am confident reading very complex information in English(e.g., college textbooks, published papers)",East or South East Asian,He earned a 4-year degree,She earned a 4-year degree,Together,7- Fully supported (e.g All necessities are provided or paid for),I did not qualify for 'free or reduced cost lunch' at all in high school,I do not qualify for a Pell Grant,240,32,No,1,1,0,0
10,310164,919860519,"I have read this information sheet form, I consent to participate in this study.",10,310164,9.20E+08,"I have read this information sheet form, I consent to participate in this study.",19,Sophomore - 2nd year,Woman,"No, I am not an international student",English is not my first language,90,"3 - I am confident reading moderate books in English (e.g., young adult fiction)",East or South East Asian,He earned a 4-year degree,"She attended some college, but left before she earned a 4-year degree",Divorced,4- Some support (e.g. Bills but not housing or small monthly allowance),I qualified for 'free or reduced cost lunch' for all or most of high school,I do qualify for a Pell Grant,300,36,No,1,0,0,0
