source,anon_id,views2,pv_op,pv_cv,interpret
2_A_Mar23_anon.csv,266622,0,9,13,2.5
2_A_Mar23_anon.csv,684227,2,5,18,2.5
2_A_Mar23_anon.csv,687940,0,5,11.5,2.5
2_A_Mar23_anon.csv,666059,0,9,18,2.5
2_A_Mar23_anon.csv,693045,0,10,18,1.25
2_A_Mar23_anon.csv,819274,3,9,17,2.5
2_A_Mar23_anon.csv,720723,0,9,12.5,2.5
2_A_Mar23_anon.csv,780541,3,9,18,3.75
2_A_Mar23_anon.csv,238823,3,10,18,2.5
2_A_Mar23_anon.csv,957708,2,3,11.5,2.5
2_A_Mar23_anon.csv,307053,0,10,17,1.25
2_A_Mar23_anon.csv,189428,3,10,11,2.5
2_A_Mar23_anon.csv,687838,2,5,16,2.5
2_A_Mar23_anon.csv,553565,1,10,20,2.5
2_A_Mar23_anon.csv,962814,3,4,16.5,2.5
2_A_Mar23_anon.csv,866180,0,8,20,0
2_A_Mar23_anon.csv,517181,7,8,20,3.75
2_A_Mar23_anon.csv,107302,0,10,11,0
2_A_Mar23_anon.csv,980134,8,10,16,2.5
2_A_Mar23_anon.csv,215621,3,6,14,1.25
2_A_Mar23_anon.csv,135727,7,8,15,2.5
2_A_Mar23_anon.csv,927645,1,8,18.5,0
2_A_Mar23_anon.csv,266782,2,7,20,5
2_A_Mar23_anon.csv,130380,3,5,20,1.25
2_A_Mar23_anon.csv,620808,2,8,15,2.5
2_A_Mar23_anon.csv,190892,1,3,9,1.25
2_A_Mar23_anon.csv,167773,2,8,16,3.75
2_A_Mar23_anon.csv,431825,12,9,18,2.5
2_A_Mar23_anon.csv,485565,0,8,17.5,3.75
2_A_Mar23_anon.csv,689023,6,6.5,20,2.5
2_A_Mar23_anon.csv,887391,2,2,11,2.5
2_A_Mar23_anon.csv,700441,0,8,6.5,3.75
2_A_Mar23_anon.csv,623912,5,8,12.5,2.5
2_A_Mar23_anon.csv,128513,0,3,18,2.5
2_A_Mar23_anon.csv,323214,10,9,18,3.75
2_A_Mar23_anon.csv,176796,7,9,17.5,3.75
2_A_Mar23_anon.csv,685171,1,0,2.5,0
2_A_Mar23_anon.csv,863598,9,2,12.5,1.25
2_A_Mar23_anon.csv,783300,3,10,13,3.75
2_A_Mar23_anon.csv,338073,4,3.5,20,0
2_A_Mar23_anon.csv,877109,8,9,16,3.75
2_A_Mar23_anon.csv,768234,5,5,18,3.75
2_A_Mar23_anon.csv,687844,1,7,12.5,3.75
2_A_Mar23_anon.csv,141625,0,10,20,0
2_A_Mar23_anon.csv,928498,1,5.5,8,3.75
2_A_Mar23_anon.csv,690036,9,10,12,1.25
2_A_Mar23_anon.csv,652357,0,8,20,2.5
2_A_Mar23_anon.csv,671655,2,6,13,2.5
2_A_Mar23_anon.csv,929062,3,10,18,2.5
2_A_Mar23_anon.csv,755204,3,5.5,12,3.75
2_A_Mar23_anon.csv,652942,4,4.5,16,2.5
2_A_Mar23_anon.csv,751500,3,9,20,0
2_A_Mar23_anon.csv,288842,6,9,18,2.5
2_A_Mar23_anon.csv,298429,20,4,10.5,1.25
2_A_Mar23_anon.csv,149203,2,4,19,2.5
2_A_Mar23_anon.csv,840463,12,5.5,16,1.25
2_A_Mar23_anon.csv,829820,6,1.5,20,2.5
2_A_Mar23_anon.csv,868090,0,5,20,2.5
2_A_Mar23_anon.csv,221958,0,3,20,2.5
2_A_Mar23_anon.csv,756469,0,6,18,2.5
2_A_Mar23_anon.csv,392584,2,10,15,3.75
2_A_Mar23_anon.csv,190818,3,4.5,15,2.5
2_A_Mar23_anon.csv,439234,5,7,15.5,5
2_A_Mar23_anon.csv,100124,1,9,18,1.25
2_A_Mar23_anon.csv,708858,2,6.5,10,2.5
2_A_Mar23_anon.csv,571323,4,7,18,1.25
2_A_Mar23_anon.csv,789281,12,4,11,2.5
2_A_Mar23_anon.csv,313801,5,6.5,17,2.5
2_A_Mar23_anon.csv,294860,2,7,17.5,2.5
2_A_Mar23_anon.csv,184622,2,9,20,2.5
2_A_Mar23_anon.csv,464491,0,6,0,3.75
2_A_Mar23_anon.csv,494166,4,5.5,18,3.75
2_A_Mar23_anon.csv,496293,8,4,19,2.5
2_A_Mar23_anon.csv,388918,5,10,19,2.5
2_A_Mar23_anon.csv,882657,0,4,12,0
2_A_Mar23_anon.csv,846172,0,1,10.5,0
2_A_Mar23_anon.csv,447538,6,6,18,3.75
2_A_Mar23_anon.csv,925742,1,7,16.5,2.5
2_A_Mar23_anon.csv,850664,8,6,9,2.5
2_A_Mar23_anon.csv,935965,2,0,16.5,1.25
2_A_Mar23_anon.csv,819135,4,10,20,3.75
2_A_Mar23_anon.csv,808560,6,8,13.5,3.75
2_A_Mar23_anon.csv,411906,2,9,20,2.5
2_A_Mar23_anon.csv,193857,8,10,0,3.75
2_A_Mar23_anon.csv,976464,1,8,15,3.75
2_A_Mar23_anon.csv,972609,5,7,19,1.25
2_A_Mar23_anon.csv,859374,7,8,20,2.5
2_A_Mar23_anon.csv,411472,2,6.5,20,2.5
2_A_Mar23_anon.csv,543411,5,6,11,3.75
2_A_Mar23_anon.csv,939066,8,3.5,13,1.25
2_A_Mar23_anon.csv,319559,2,8,18,2.5
2_A_Mar23_anon.csv,914016,1,5,18.5,2.5
2_A_Mar23_anon.csv,120124,7,9.5,16,3.75
2_A_Mar23_anon.csv,487505,0,3.5,16,2.5
2_A_Mar23_anon.csv,199772,1,6,5.5,2.5
2_A_Mar23_anon.csv,329867,3,7,15.5,2.5
2_A_Mar23_anon.csv,282845,2,8,9,2.5
2_A_Mar23_anon.csv,522922,8,6.5,11,2.5
2_A_Mar23_anon.csv,493377,4,6,5,1.25
2_A_Mar23_anon.csv,649892,4,6,16.5,2.5
2_A_Mar23_anon.csv,242493,3,6.5,16.5,2.5
2_A_Mar23_anon.csv,216877,0,6,16.5,2.5
2_A_Mar23_anon.csv,861958,2,6,7,1.25
2_A_Mar23_anon.csv,257545,5,8,15.5,3.75
2_B_Mar23_anon.csv,980587,10,7,20,2.5
2_B_Mar23_anon.csv,237582,2,5.5,13,2.5
2_B_Mar23_anon.csv,479550,6,9,20,2.5
2_B_Mar23_anon.csv,568721,1,8.75,20,2.5
2_B_Mar23_anon.csv,841390,6,9.75,20,2.5
2_B_Mar23_anon.csv,423080,4,9,16,3.75
2_B_Mar23_anon.csv,825875,1,10,16,2.5
2_B_Mar23_anon.csv,348715,2,10,20,2.5
2_B_Mar23_anon.csv,706979,3,10,11,2.5
2_B_Mar23_anon.csv,324553,3,9,16,2.5
2_B_Mar23_anon.csv,218653,2,9,20,2.5
2_B_Mar23_anon.csv,520659,5,9,20,3.75
2_B_Mar23_anon.csv,458187,4,9,16,1.25
2_B_Mar23_anon.csv,681486,2,9,20,3.75
2_B_Mar23_anon.csv,980127,3,8.25,18,2.5
2_B_Mar23_anon.csv,781336,7,10,20,2.5
2_B_Mar23_anon.csv,338114,0,0,16,1.25
2_B_Mar23_anon.csv,607045,0,2,16,2.5
2_B_Mar23_anon.csv,993306,2,1,20,1.25
2_B_Mar23_anon.csv,566878,1,7,20,2.5
2_B_Mar23_anon.csv,364560,1,9,9,2.5
2_B_Mar23_anon.csv,268619,1,0.75,12,1.25
2_B_Mar23_anon.csv,175573,2,6.5,16,1.25
2_B_Mar23_anon.csv,822752,1,8,20,1.25
2_B_Mar23_anon.csv,886232,0,0,16,2.5
2_B_Mar23_anon.csv,796147,11,9,20,3.75
2_B_Mar23_anon.csv,574860,6,5.5,20,2.5
2_B_Mar23_anon.csv,965522,1,9,16,3.75
2_B_Mar23_anon.csv,583798,0,9,13,1.25
2_B_Mar23_anon.csv,327020,3,8.25,16,2.5
2_B_Mar23_anon.csv,128016,4,8,5,1.25
2_B_Mar23_anon.csv,761526,4,6.5,9,1.25
2_B_Mar23_anon.csv,142556,2,9,20,3.75
2_B_Mar23_anon.csv,187671,0,9,20,1.25
2_B_Mar23_anon.csv,863048,1,9,16,2.5
2_B_Mar23_anon.csv,143458,4,0,8,1.25
2_B_Mar23_anon.csv,427397,2,9,16,3.75
2_B_Mar23_anon.csv,917655,5,9,20,2.5
2_B_Mar23_anon.csv,162187,0,4,18,3.75
2_B_Mar23_anon.csv,937053,5,9,18,5
2_B_Mar23_anon.csv,208750,0,9,16,5
2_B_Mar23_anon.csv,282568,5,9,20,3.75
2_B_Mar23_anon.csv,351711,11,7,18,2.5
2_B_Mar23_anon.csv,460606,7,6,20,1.25
2_B_Mar23_anon.csv,309943,2,9,20,1.25
2_B_Mar23_anon.csv,676026,5,9,20,3.75
2_B_Mar23_anon.csv,693286,3,7.75,20,2.5
2_B_Mar23_anon.csv,297437,4,5.75,11,1.25
2_B_Mar23_anon.csv,478268,4,1,16,2.5
2_B_Mar23_anon.csv,139950,1,4.5,20,2.5
2_B_Mar23_anon.csv,134149,1,1,20,2.5
2_B_Mar23_anon.csv,375253,4,8.25,11,3.75
2_B_Mar23_anon.csv,907662,2,2,12.5,0
2_B_Mar23_anon.csv,548019,0,7,20,2.5
2_B_Mar23_anon.csv,891202,2,7.5,20,3.75
2_B_Mar23_anon.csv,808404,3,7,16,2.5
2_B_Mar23_anon.csv,863924,5,6,20,3.75
2_B_Mar23_anon.csv,223333,0,8,16,2.5
