"","student_id","views","pv_op","cv","cv_compare","confound","internal","interpret","external","replication"
"1",920029789,3,10,10,10,10,10,10,10,10
"2",918802303,0,8.5,6.5,10,2,6,5,10,7
"3",921185745,2,9,10,2,10,10,10,5,10
"4",919426270,1,7,10,7,10,10,10,10,10
"5",919927643,0,10,3.75,10,10,10,5,10,10
"6",919573149,0,7,2.5,6,7,3,10,10,2
"7",920475430,4,9,10,10,10,10,10,10,8
"8",920529409,2,8,7.75,5,2,10,4,8,9
"9",918176974,0,10,7.5,8,10,10,10,8,10
"10",921504261,0,8,8.5,10,9,10,7.5,7,8
"11",921341848,0,10,4,10,2,9,5,10,7.5
"12",920505782,1,10,10,8,10,4,10,10,10
"13",919859520,1,10,6.5,5,2,7,5,0,10
"14",918614520,1,9,10,8.5,10,10,10,10,9
"15",920887442,0,10,10,10,10,10,7.5,10,10
"16",917214277,0,8,10,10,6,9,10,7,10
"17",920829963,0,9,0,6,2,7,5,10,3.5
"18",917362242,1,9,10,8.5,10,10,0,10,10
"19",918722483,3,9,10,5,2,10,0,7,3
"20",920140493,1,8.5,0,4.75,2,8,5,7,8
"21",918525347,1,10,0,5,2,10,5,9,3
"22",919832301,0,9,9,8.5,10,10,10,10,10
"23",918523200,0,7,0,5,2,5.5,10,0,0
"24",918638108,0,9.5,7.5,5,2,10,0,10,2.5
"25",921328243,1,10,9,10,10,10,7.5,10,10
"26",918888411,1,10,10,8.5,10,4,10,10,10
"27",919530917,1,6,7,5,2,3,5,2,0
"28",919329539,0,8,7,10,10,9,5,10,10
"29",918090131,0,9,0,8.5,2,9,5,5,10
"30",921438764,0,9,5.75,8.5,10,8,10,9,10
"31",919151655,0,8.5,5.5,7.5,2,8,5,1,8
"32",917441354,0,9,2,5,2,8,7.5,10,10
"33",921437600,3,9.5,6,5,2,4,5,6,2
"34",918166667,1,10,10,10,10,10,7.5,8,10
"35",918552365,4,10,4.25,8.5,10,4,6.5,7,10
"36",919651809,0,9,6.5,5,10,8,0,1,3
"37",919396643,2,9,10,10,9,10,10,10,10
"38",918631383,0,9,10,10,2,10,7.5,10,7
"39",918552103,1,10,10,10,10,10,7.5,10,8
"40",921066877,1,9,10,7.75,10,8,5,10,10
"41",920803785,0,9,10,5,2,10,10,10,10
"42",919986082,1,10,10,8.5,9,10,10,10,9
"43",920751552,1,8,8,5,10,10,9,10,9
"44",919860519,1,9,10,8.5,2,6.5,10,8,10
"45",920577927,0,9,10,10,10,8,10,10,10
"46",921165862,3,9.5,4.5,8.5,2,10,7.5,8,10
"47",919598360,1,8,10,8.5,10,10,10,10,10
"48",919796366,1,8,0,8,2,4,0,10,9
"49",919520846,2,9,9,5,10,10,10,9,10
"50",918216504,3,10,10,10,10,10,2.5,10,10
"51",920522338,1,10,6,8.5,1,10,7.5,10,10
"52",921395182,3,8,0,7.5,2,4,0,8,10
"53",919380662,0,9,7,8.5,2,10,5,10,5
"54",919705946,5,9,2,8.5,10,10,10,10,10
"55",919787061,1,10,8.5,10,2,10,7.5,10,10
"56",917288643,0,8,5.75,4.25,10,10,5,10,10
"57",920641471,4,9,10,6,10,10,10,10,10
"58",919525951,1,10,8.5,5,10,6,7.5,6,10
"59",919596375,1,9,0,7,2,1,5,10,9
"60",921485830,0,10,8,5,2,10,0,10,10
"61",920649075,0,4,6,5,2,3,9,10,10
"62",920914441,1,10,4.75,5,10,9,6.5,9,10
"63",921361527,0,10,10,10,10,10,2.5,10,10
"64",919770609,1,9,3.75,7.5,2,7,5,10,10
"65",919380086,0,9,0,3.5,2,10,0,8,10
"66",919809499,0,10,10,8.5,10,10,10,10,10
"67",919942877,0,9,10,10,10,5,7.5,10,8
"68",918583017,0,9,7.5,7.5,10,10,10,10,10
"69",919211304,1,10,8,10,2,8,7.5,10,10
"70",919578937,1,8.5,8.5,3.5,10,10,7.5,10,10
"71",920766615,1,10,9,10,7,10,10,10,10
"72",921072832,1,10,9,8.5,2,10,5,10,10
"73",919278033,0,9,9.5,6,10,4,5,10,10
"74",918281005,1,10,10,5,10,10,7.5,10,10
"75",919490633,2,10,10,10,10,10,10,10,10
"76",919230013,2,10,9.5,8.5,10,10,10,10,9
"77",918203290,1,10,10,8.5,10,9,5,10,10
"78",920677034,0,9,8.5,5,2,10,2.5,10,10
"79",918817275,1,9,10,10,2,6,7.5,10,10
"80",921157935,0,9,0,6,2,4,0,10,7
"81",920073243,0,9,0,6,3,9,7.5,10,4.5
"82",919739116,2,8,0,7.5,10,9,7.5,0,7
"83",919976364,4,8.5,3.25,6,10,9,5,10,10
"84",920890235,2,10,10,10,10,10,10,10,10
"85",918187756,0,8.5,6,10,10,8,5,10,10
"86",917076978,0,9,9,8.5,7,0,7.5,10,10
"87",920545603,2,9,9,6,2,4,2.5,10,6
"88",918530662,1,10,10,5.25,10,8,9,7,10
"89",919812237,0,10,8,10,2,10,7.5,8,7
"90",919359509,0,10,3.25,5,2,3,0,10,3
"91",920639205,1,10,0,8.5,10,7,5,10,3
"92",919791426,1,9.5,0,5,2,10,7.5,10,9
"93",920727285,0,10,6.5,10,10,10,7.5,10,10
"94",919358047,3,10,7,4,2,9,5,4,8
"95",921138679,0,10,6.5,5.5,10,10,10,10,10
"96",921341534,0,9,0,3.25,2,10,5,10,10
"97",919245338,2,10,6.5,5,10,10,5,10,10
"98",919794151,0,10,5.5,4.25,2,4,5,10,10
"99",921220846,0,9,10,5,10,10,10,10,10
"100",919971291,0,10,10,10,9,10,2.5,10,10
"101",918453477,0,9,9,8.5,10,10,7.5,10,10
"102",919914232,0,9.5,6.5,8.5,2,10,2.5,10,9
"103",920916630,1,9,4.75,5,10,4,2.5,10,10
"104",919173934,0,9,10,10,10,10,10,9,10
"105",919385463,0,10,10,5,2,10,7.5,10,8
"106",919254565,1,1,0,5,2,3,10,10,10
"107",920656424,2,9,10,10,2,10,7.5,10,10
"108",915836301,1,10,9,8.5,10,9,10,10,10
"109",920489617,1,10,9,3.5,2,4,6.5,10,10
"110",918682112,2,9,8.5,5,10,7,10,10,10
"111",919881239,2,9,5,10,2,10,2.5,5,9
"112",920482533,0,9,7.5,6,2,0,5,10,7
"113",919684805,1,10,6.5,4,10,7,5,2,10
"114",919667178,1,10,9,7,2,9,0,10,10
"115",916748430,0,10,9,4.25,10,10,7.5,9,10
"116",920179147,1,10,9,4,2,10,7.5,10,4
