"anon_id","age","year","gender","int_student","esl","e_exp","e_lvl","URM","p_education","m_education","par_rel","fin_support","ses","grant","soc_med","hw_time","transfer","first_gen","exam1","exam2","exam3","exam4","exam5","exam6","prep_p_raw","extra_credit","e_correct","p_p_final","exam_total","final_grade","opt_in"
453529,18,1,"Woman",0,1,100,5,3,6,5,"Together",6,0,0,240,720,0,0,90.6666666666667,89.3333333333333,88.6666666666667,85,86.6666666666667,88,282,10,0,250,88.6666666666667,92.5,0
134149,19,2,"Man",0,1,100,6,2,2,3,"Separated",1,0,1,90,8,0,1,87.1666666666667,79,78.6666666666667,94,NA,88,217.03,5,0,217.03,85.3666666666667,86.228,0
388918,18,1,"Woman",0,1,99,6,4,2,3,"Together",6,2,2,300,18,0,1,73,74.3333333333333,83.1666666666667,85,84.3333333333333,76,260.73,15,5,250,80.5666666666667,86.925,1
603399,19,2,"Woman",0,1,100,6,2,5,5,"Together",7,0,1,300,35,0,0,64.6666666666667,54.5,60.8333333333333,64.6666666666667,56,NA,389.08,10,0,250,60.1333333333333,71.1,0
190818,18,1,"Woman",0,1,100,6,9,6,6,"Together",6,0,0,120,2,0,0,86.6666666666667,81.3333333333333,95,95.8333333333333,88.6666666666667,NA,251.75,10,0,250,89.5,93.125,0
495024,19,1,"Woman",0,1,90,6,3,5,5,"Together",6,0,0,300,40,0,0,83.3333333333333,62,73.3333333333333,76,83,76,393.12,5,0,250,78.3333333333333,84.25,0
142556,18,1,"Woman",0,0,100,6,9,5,NA,"Together",7,0,0,300,14,0,0,84,79.8333333333333,73.8333333333333,84.8333333333333,86,84,344.97,10,0,250,83.7333333333333,88.8,0
766084,20,2,"Man",0,0,100,6,3,2,NA,"Single",7,0,0,90,6.5,0,1,77,73.6666666666667,76.6666666666667,83.1666666666667,71.1666666666667,NA,251.62,14.9,4.9,250,76.3333333333333,83.74,1
210273,20,3,"Woman",0,1,100,6,3,5,5,"Together",7,0,0,240,32,0,0,73.3333333333333,87.5,80,64.3333333333333,89,NA,246.1,10,0,246.1,78.8333333333333,84.735,0
378876,19,2,"Woman",0,0,90,3,3,5,4,"Divorced",4,2,1,300,36,0,1,92.6666666666667,82,82.6666666666667,73.3333333333333,85.3333333333333,76,295.15,14.9,4.9,250,83.7333333333333,89.29,1
338114,25,3,"Woman",0,1,85,1,1,4,4,NA,NA,1,0,120,6,1,1,NA,40.8333333333333,NA,NA,NA,NA,130.2,10,0,130.2,8.16666666666667,20.145,0
208750,20,2,"Woman",0,1,100,6,4,5,5,"Together",5,0,NA,100,12,0,0,77.6666666666667,67.3333333333333,86.3333333333333,65.3333333333333,86.6666666666667,NA,407.08,10,0,250,76.6666666666667,83.5,0
889441,19,2,"Woman",0,1,100,6,3,4,6,"Separated",5,2,1,240,3,0,1,60.6666666666667,36.6666666666667,69,63,68,NA,302.56,10,0,250,59.4666666666667,70.6,0
216877,19,1,"Other",0,0,99,6,2,5,6,"Divorced",1,2,1,180,50,0,0,74,86,87.8333333333333,75.8333333333333,75.6666666666667,76,268.79,10,0,250,80.2666666666667,86.2,0
587423,20,3,"Man",0,1,90,4,2,5,5,"Divorced",6,0,0,100,20,0,0,76.8333333333333,75.6666666666667,91,88.6666666666667,97,90,315.25,14.9,4.9,250,88.7,93.015,1
493377,19,2,"Man",0,0,90,4,9,2,4,"Together",7,2,0,45,4,0,1,60.3333333333333,66.1666666666667,NA,NA,NA,NA,263.49,12,2,250,25.3,45.175,1
113553,20,2,"Woman",0,0,85,4,3,2,5,"Together",2,2,1,600,8,0,1,51.6666666666667,41,49.5,59.5,65.6666666666667,64,332.93,15,5,250,58.0666666666667,70.05,1
331406,19,2,"Other",0,0,100,5,4,3,3,"Together",1,2,1,60,300,0,1,59.1666666666667,75.3333333333333,92.1666666666667,81.6666666666667,74.5,66,274.5,14.9,4.9,250,77.9333333333333,84.94,1
444720,19,2,"Woman",0,1,100,6,1,6,6,"Together",7,0,0,120,30,0,0,92.3333333333333,92.6666666666667,87,NA,80,72,268.42,10,0,250,84.8,89.6,0
471494,18,2,"Woman",0,1,90,6,3,5,5,"Together",7,0,2,3,1.5,0,0,93.3333333333333,91.8333333333333,88.3333333333333,89.3333333333333,92,NA,264.24,15,5,250,90.9666666666667,94.725,1
976464,21,3,"Woman",0,1,100,6,2,5,3,"Separated",5,2,1,10,40,0,1,93.6666666666667,83.1666666666667,89.1666666666667,83.5,NA,68,219.11,15,5,219.11,83.5,86.036,1
760890,19,2,"Woman",0,0,95,6,4,3,NA,"Together",6,2,2,60,6,0,1,60,54.3333333333333,50,60.6666666666667,48,54,244.93,10,0,244.93,55.8,67.343,0
354907,18,1,"Woman",0,1,90,6,2,5,5,"Together",7,0,0,60,1.5,0,0,81,86.6666666666667,96.6666666666667,93.5,96,NA,307.52,14.9,4.9,250,90.7666666666667,94.565,1
167773,19,1,"Woman",1,0,90,6,3,5,5,"Together",7,0,0,240,10,0,0,89.3333333333333,94.5,94,98.6666666666667,93.6666666666667,NA,252.32,13,3,250,94.0333333333333,96.825,1
687838,18,1,"Woman",0,1,90,6,3,5,4,"Together",7,1,0,420,21,0,1,87.6666666666667,83.6666666666667,80.5,88.3333333333333,86.8333333333333,80,379.53,10,0,250,85.4,90.05,0
530411,18,1,"Woman",0,1,100,6,1,5,6,"Divorced",5,0,0,90,20.35,0,0,97,92.6666666666667,97.5,85.6666666666667,92,94,333.14,10,0,250,94.6333333333333,96.975,0
268619,18,1,"Woman",0,0,100,6,9,6,5,"Together",7,0,2,120,5.3,0,0,70.5,54,83.3333333333333,71.8333333333333,72.6666666666667,NA,409.98,10,0,250,70.4666666666667,78.85,0
755204,21,3,"Woman",0,0,95,6,4,2,4,"Separated",7,2,1,30,55,0,1,76.6666666666667,70.1666666666667,91.3333333333333,94.3333333333333,79.6666666666667,72,309.34,15,5,250,82.8,88.6,1
497496,20,3,"Woman",0,0,90,5,4,3,3,"Divorced",2,2,1,130,30,1,1,68.6666666666667,76.6666666666667,76.1666666666667,54,80.3333333333333,60,272.76,14.8,4.8,250,72.3666666666667,80.755,1
939066,19,2,"Man",0,1,100,6,3,5,5,"Together",6,1,0,60,7,0,0,79.6666666666667,78.5,84.3333333333333,95.3333333333333,91.3333333333333,NA,308.46,10,0,250,85.8333333333333,90.375,0
781433,18,1,"Man",0,1,100,5,4,1,3,"Together",5,2,1,90,4,0,1,40,43.1666666666667,78.3333333333333,56.6666666666667,67.6666666666667,52,330.42,10,0,250,59.5666666666667,70.675,0
825875,19,2,"Woman",0,0,90,6,1,NA,5,"Divorced",3,2,1,90,20,0,0,82.6666666666667,92.6666666666667,83.1666666666667,96.1666666666667,86,NA,331.56,14.9,4.9,250,88.1333333333333,92.59,1
938861,18,1,"Woman",0,NA,90,6,9,6,5,"Together",7,0,0,250,20.6,0,0,79.3333333333333,78.3333333333333,82,96.6666666666667,89,76,253.09,15,5,250,85.0666666666667,90.3,1
480961,20,3,"Woman",0,1,100,6,2,6,6,"Divorced",7,1,2,120,12,0,0,70.6666666666667,61,66.1666666666667,65,69.3333333333333,70,266.91,10,0,250,68.2333333333333,77.175,0
499213,19,2,"Other",0,1,90,6,4,3,3,"Single",2,2,1,120,7,0,1,73.1666666666667,43.5,58.1666666666667,79.3333333333333,69.3333333333333,48,253.2,15,5,250,65.6,75.7,1
441521,20,3,"Man",0,1,90,6,4,5,5,"Together",3,1,1,120,10,0,0,95.6666666666667,75,81.1666666666667,76,82.3333333333333,84,271.35,15,5,250,83.8333333333333,89.375,1
115362,20,2,"Woman",0,1,100,6,2,6,6,"Together",7,0,1,180,12,0,0,92,81.3333333333333,79.3333333333333,89.3333333333333,86.3333333333333,82,283.97,15,5,250,86.2,91.15,1
607016,18,1,"Woman",0,1,100,6,2,4,4,"Divorced",1,2,1,480,15,0,1,67.3333333333333,69,NA,55.3333333333333,77.3333333333333,66,266.08,10,0,250,67,76.25,0
352138,18,1,"Woman",0,0,100,6,3,2,NA,"Together",7,2,1,90,20,0,1,78.5,72.5,72.8333333333333,81.3333333333333,73.1666666666667,60,364.32,10,0,250,75.6666666666667,82.75,0
557781,20,2,"Other",0,0,100,6,3,5,5,"Divorced",6,2,0,360,16,0,0,87.6666666666667,86.8333333333333,94,97.3333333333333,92.6666666666667,NA,323.8,15,5,250,91.7,95.275,1
844340,21,3,"Woman",0,0,90,4,4,3,3,"Together",4,2,1,240,2.12,0,1,67.5,NA,55.8333333333333,58.6666666666667,51.5,46,320.28,10,0,250,55.9,67.925,0
124193,20,2,"Woman",0,1,99,6,2,5,5,"Separated",7,2,2,200,20,0,0,87,88.1666666666667,92.3333333333333,76.6666666666667,91.6666666666667,82,288.46,10,0,250,88.2333333333333,92.175,0
839513,18,1,"Woman",0,1,95,6,2,6,6,"Together",3,3,0,180,10,0,0,78.6666666666667,89.3333333333333,86.8333333333333,NA,73,66,234.12,10,0,234.12,78.7666666666667,83.487,0
582644,18,1,"Woman",0,1,100,6,3,4,6,"Divorced",3,0,1,180,35,0,1,91.5,88.8333333333333,89.6666666666667,89,93.6666666666667,NA,337.75,14.9,4.9,250,90.5333333333333,94.39,1
205295,20,1,"Woman",1,0,20,1,3,NA,NA,"Together",7,1,2,360,16,0,NA,87.3333333333333,95.1666666666667,91,93.6666666666667,90.3333333333333,NA,265.59,10,0,250,91.5,94.625,0
128513,20,2,"Man",0,1,100,6,2,5,5,"Together",7,1,0,145,13,0,0,NA,66.3333333333333,46.3333333333333,79.6666666666667,82,80,260.37,11,1,250,70.8666666666667,79.25,1
439234,20,3,"Woman",0,0,90,6,4,3,NA,"Together",4,2,1,60,62,0,1,74.6666666666667,83,79.1666666666667,96.6666666666667,92.3333333333333,82,364.77,15,5,250,86.6333333333333,91.475,1
687844,19,1,"Man",0,1,95,6,5,6,5,"Together",7,0,0,120,25,0,0,92,89.8333333333333,88.3333333333333,90.3333333333333,91.1666666666667,NA,285.35,10,0,250,90.3333333333333,93.75,0
907718,18,1,"Woman",1,0,80,6,3,5,6,"Together",7,0,0,240,40,0,0,91.6666666666667,92.1666666666667,94.8333333333333,88,99.8333333333333,NA,318.45,14.9,4.9,250,93.3,96.465,1
