source,anon_id,views1,h0,h1,pv_op,ov_op,claim_ex,interpret
1_A_Mar23_anon.csv,100124,1,5,3,3,0,5,9.5
1_A_Mar23_anon.csv,571323,5,5,5,7.5,9,10,6.5
1_A_Mar23_anon.csv,693286,3,4,3.5,10,9,10,6.5
1_A_Mar23_anon.csv,941242,2,5,5,9,8,5,7
1_A_Mar23_anon.csv,478268,2,5,4,6,8.5,5,6.5
1_A_Mar23_anon.csv,843368,8,5,4,0,5.5,10,0
1_A_Mar23_anon.csv,184622,2,5,5,8,10,10,6.5
1_A_Mar23_anon.csv,464491,1,5,5,7,9,10,6.5
1_A_Mar23_anon.csv,509369,1,4,3,8,9,5,6.5
1_A_Mar23_anon.csv,919451,2,3.5,3,7.5,8,5,0
1_A_Mar23_anon.csv,992103,1,4,4.5,5,10,10,6.5
1_A_Mar23_anon.csv,808560,5,4.5,0,0,6.5,10,6.5
1_A_Mar23_anon.csv,518197,5,5,4,10,10,5,7
1_A_Mar23_anon.csv,766313,5,5,4.5,3.5,0,7.5,6.5
1_A_Mar23_anon.csv,859374,3,4,5,8.5,10,10,6.5
1_A_Mar23_anon.csv,907662,2,3.5,3.5,7,7,5,0
1_A_Mar23_anon.csv,972609,0,4,3.5,0,0,0,6.5
1_A_Mar23_anon.csv,891202,2,5,4.5,10,9,10,7
1_A_Mar23_anon.csv,980134,3,5,5,9,10,10,9.5
1_A_Mar23_anon.csv,210273,3,4.5,0,0,9,5,6.5
1_A_Mar23_anon.csv,578485,4,4.5,3.5,10,10,10,6.5
1_A_Mar23_anon.csv,193776,1,5,4.5,10,10,10,6.5
1_A_Mar23_anon.csv,878864,1,4.5,3.5,7.5,9.5,5,9.5
1_A_Mar23_anon.csv,135727,7,4,3.5,8.5,7,5,0
1_A_Mar23_anon.csv,266622,2,5,0,6,9,10,8
1_A_Mar23_anon.csv,993306,1,4,4.5,6,2,5,8
1_A_Mar23_anon.csv,624947,3,5,3.5,10,10,10,6.5
1_A_Mar23_anon.csv,684227,1,4.5,4.5,10,8.5,10,10
1_A_Mar23_anon.csv,883903,3,5,0,8,10,10,10
1_A_Mar23_anon.csv,693045,1,4,4.5,0,1.5,5,6.5
1_A_Mar23_anon.csv,819274,5,5,4.5,8.5,10,10,6.5
1_A_Mar23_anon.csv,695840,2,5,0,8.5,9,5,6.5
1_A_Mar23_anon.csv,796147,9,5,5,10,9.5,10,6.5
1_A_Mar23_anon.csv,238823,4,5,0,8,10,10,6.5
1_A_Mar23_anon.csv,209254,1,5,0,0,0,5,0
1_A_Mar23_anon.csv,327020,4,5,3.5,9.5,9.5,10,10
1_A_Mar23_anon.csv,965522,0,5,4,5,6,10,6.5
1_A_Mar23_anon.csv,607016,1,5,0,8,4,10,6.5
1_A_Mar23_anon.csv,143458,3,4,0,0,0,5,8
1_A_Mar23_anon.csv,600034,0,3.5,0,8,10,10,7
1_A_Mar23_anon.csv,340708,1,2,4,9,7,5,6.5
1_A_Mar23_anon.csv,957708,1,4.5,4,8.5,8.5,0,10
1_A_Mar23_anon.csv,307053,0,4.5,2,9,7,5,6.5
1_A_Mar23_anon.csv,208750,0,5,0,0,9.5,10,8
1_A_Mar23_anon.csv,737475,6,5,5,9,9,10,9.5
1_A_Mar23_anon.csv,687838,3,5,0,8.5,10,10,8
1_A_Mar23_anon.csv,917655,4,5,3.5,10,8.5,5,7
1_A_Mar23_anon.csv,840605,2,4.5,0,0,4.5,0,0
1_A_Mar23_anon.csv,962814,1,0,0,0,8.5,0,6.5
1_A_Mar23_anon.csv,444720,2,5,3.5,10,10,10,7
1_A_Mar23_anon.csv,749976,1,5,4,10,10,10,7
1_A_Mar23_anon.csv,550977,1,4,0,0,5,10,6.5
1_A_Mar23_anon.csv,741913,1,5,3.5,7,6,10,9.5
1_A_Mar23_anon.csv,930504,3,5,0,9,9.5,10,9.5
1_A_Mar23_anon.csv,202048,3,5,5,8,8,10,6.5
1_A_Mar23_anon.csv,822014,3,5,1,10,8,10,9.5
1_A_Mar23_anon.csv,507880,4,5,4.5,8,9,10,9.5
1_A_Mar23_anon.csv,451623,6,4.5,3.5,9,9.5,10,7
1_A_Mar23_anon.csv,585527,4,5,4,9,9.5,10,6.5
1_A_Mar23_anon.csv,270982,4,5,2,0,4,5,6.5
1_A_Mar23_anon.csv,861674,5,4,4.5,10,10,10,8
1_A_Mar23_anon.csv,839513,3,5,4.5,4,10,10,8.5
1_A_Mar23_anon.csv,862880,1,5,4.5,6,9,10,0
1_A_Mar23_anon.csv,282568,3,5,5,9.5,10,10,8
1_A_Mar23_anon.csv,657848,3,5,5,8.5,9.5,10,6.5
1_A_Mar23_anon.csv,341372,4,5,4,1,8,10,8
1_A_Mar23_anon.csv,441521,1,5,5,10,10,10,6.5
1_A_Mar23_anon.csv,319559,2,5,4.5,9,9,10,6.5
1_A_Mar23_anon.csv,439234,3,5,2.5,8,10,10,0
1_A_Mar23_anon.csv,166548,1,4.5,4,0,0,10,6.5
1_A_Mar23_anon.csv,487505,0,4,0,0,8,5,0
1_A_Mar23_anon.csv,120124,6,5,3.5,10,9,5,10
1_A_Mar23_anon.csv,879263,9,5,1,9.5,9,10,0
1_A_Mar23_anon.csv,342170,3,4,3.5,1,5,5,6.5
1_A_Mar23_anon.csv,199772,0,4,5,2,7,10,7
1_A_Mar23_anon.csv,522922,4,0,4.5,7,7,5,6.5
1_A_Mar23_anon.csv,337398,1,4.5,5,9,10,10,9.5
1_A_Mar23_anon.csv,425200,1,5,5,9.5,9.5,10,7
1_A_Mar23_anon.csv,502302,2,5,5,10,7.5,10,6.5
1_A_Mar23_anon.csv,947959,3,5,5,2,4.5,2.5,6.5
1_A_Mar23_anon.csv,676026,3,4.5,5,10,8,5,6.5
1_A_Mar23_anon.csv,928498,1,5,5,10,9,10,0
1_A_Mar23_anon.csv,116312,1,3.5,0,9,5,0,0
