source,anon_id,views3,pv_op,pv_cv,confound,interpret
3_A_Mar23_anon.csv,649892,2,4.5,0,7.5,1.25
3_A_Mar23_anon.csv,515838,1,3,2.25,7.5,2.5
3_A_Mar23_anon.csv,884161,9,4.75,0,3,3.25
3_A_Mar23_anon.csv,425200,5,4.75,5.25,15,5
3_A_Mar23_anon.csv,738332,2,3.75,0,7.5,1.25
3_A_Mar23_anon.csv,141625,0,4.5,2.75,7.5,3.75
3_A_Mar23_anon.csv,682407,6,4.5,9.5,15,3.75
3_A_Mar23_anon.csv,113553,0,2,0,0,1.25
3_A_Mar23_anon.csv,755204,5,4.5,10,8.5,5
3_A_Mar23_anon.csv,980587,3,4.75,6.5,15,5
3_A_Mar23_anon.csv,868195,3,5,9.5,15,3.25
3_A_Mar23_anon.csv,752695,2,2.75,0,3,2.5
3_A_Mar23_anon.csv,316719,3,5,9,15,4.5
3_A_Mar23_anon.csv,100168,4,5,0,12.5,2.5
3_A_Mar23_anon.csv,785013,5,5,0,14.5,0
3_A_Mar23_anon.csv,589905,1,4.75,3.5,14.5,5
3_A_Mar23_anon.csv,568721,1,4,3.25,7.5,3.25
3_A_Mar23_anon.csv,820889,4,3.25,3.5,7.5,2.5
3_A_Mar23_anon.csv,829820,1,4,6.75,15,3.75
3_A_Mar23_anon.csv,903345,3,3.25,0,0,2.5
3_A_Mar23_anon.csv,766084,3,4.75,6.25,15,2.5
3_A_Mar23_anon.csv,825875,4,5,7,7.5,3.25
3_A_Mar23_anon.csv,706979,2,3.5,8.25,15,3.25
3_A_Mar23_anon.csv,221958,0,4.75,0,7.5,3.25
3_A_Mar23_anon.csv,681486,2,4.75,5.5,15,2.5
3_A_Mar23_anon.csv,392584,1,5,2.5,15,2.5
3_A_Mar23_anon.csv,957384,0,4.5,5.25,15,2.5
3_A_Mar23_anon.csv,711460,1,4.25,0.75,8.5,2.5
3_A_Mar23_anon.csv,850664,4,2,0,4,3.25
3_A_Mar23_anon.csv,992103,4,5,6.5,15,2.5
3_A_Mar23_anon.csv,861958,3,4.5,3.25,15,2.5
3_A_Mar23_anon.csv,375253,4,4.25,0,15,3.25
3_A_Mar23_anon.csv,324135,1,4.5,0,7.5,2.5
3_A_Mar23_anon.csv,193857,5,4.5,4.75,15,5
3_A_Mar23_anon.csv,859374,9,5,6,14,5
3_A_Mar23_anon.csv,293634,1,0,0,15,3.25
3_A_Mar23_anon.csv,210273,2,4.75,0,7.5,3.75
3_A_Mar23_anon.csv,711072,9,2.75,0,8.5,2.5
3_A_Mar23_anon.csv,805091,4,2.5,2.75,7.5,3.75
3_A_Mar23_anon.csv,878864,3,3.5,0,8.5,3.75
3_A_Mar23_anon.csv,927645,3,5,1.75,15,3.75
3_A_Mar23_anon.csv,265323,0,4.5,0,7.5,2.5
3_A_Mar23_anon.csv,266782,3,5,0,15,2.5
3_A_Mar23_anon.csv,620808,3,4.5,0,8.5,3.75
3_A_Mar23_anon.csv,231177,2,4.25,8.75,15,3.75
3_A_Mar23_anon.csv,229553,1,4.5,0,15,2.5
3_A_Mar23_anon.csv,480961,1,4.25,4.5,7.5,2.5
3_A_Mar23_anon.csv,689023,4,5,8,15,5
3_A_Mar23_anon.csv,437305,4,5,10,15,2.5
3_A_Mar23_anon.csv,484728,2,3,0,15,2.5
3_A_Mar23_anon.csv,100915,2,4,4.75,7.5,2.5
3_A_Mar23_anon.csv,745036,0,2,0,9,1.25
3_A_Mar23_anon.csv,306957,6,5,5.5,15,3.75
3_A_Mar23_anon.csv,128513,1,2.25,0,0,1.25
3_A_Mar23_anon.csv,685171,0,3.5,2.25,7.5,0
3_A_Mar23_anon.csv,611968,1,4.5,0,15,2.5
3_A_Mar23_anon.csv,483406,0,3.25,0,4.5,2.5
3_A_Mar23_anon.csv,441521,10,5,0,7.5,3.25
3_A_Mar23_anon.csv,319559,1,3.5,0,0,0
3_A_Mar23_anon.csv,326394,2,3.25,0,7.5,2.5
3_A_Mar23_anon.csv,329867,3,3.75,5.5,15,2.5
3_A_Mar23_anon.csv,277425,5,3,0,8.5,1.25
3_A_Mar23_anon.csv,879263,2,2.5,0,15,3.75
3_A_Mar23_anon.csv,342170,2,4,0,7.5,2.5
3_A_Mar23_anon.csv,179184,2,4.5,0,15,1.25
3_A_Mar23_anon.csv,637438,8,4.5,4.5,15,5
3_A_Mar23_anon.csv,781336,12,4.5,8.75,15,5
3_A_Mar23_anon.csv,819274,6,5,9,8.5,5
3_A_Mar23_anon.csv,158549,0,0.5,0,15,2.5
3_A_Mar23_anon.csv,822752,5,2.75,0,15,3.75
3_A_Mar23_anon.csv,142556,2,3.25,0,7.5,2.5
3_A_Mar23_anon.csv,583798,2,2.5,0,15,2.5
3_A_Mar23_anon.csv,975639,0,3.5,0,8.5,2.5
3_A_Mar23_anon.csv,244223,5,4.25,0,8.5,5
3_A_Mar23_anon.csv,411472,5,3.25,0,7.5,2.5
3_A_Mar23_anon.csv,742806,0,5,0,15,3.25
3_A_Mar23_anon.csv,617396,1,4.25,7.5,8.5,3.75
3_A_Mar23_anon.csv,189428,5,3.5,10,15,3.75
3_A_Mar23_anon.csv,737475,7,4.75,4.5,15,1.25
3_A_Mar23_anon.csv,687838,1,4.75,7.75,5.5,3.75
3_A_Mar23_anon.csv,340708,0,3,0,0,2.5
3_A_Mar23_anon.csv,427397,2,4.5,0,15,2.5
3_A_Mar23_anon.csv,957708,1,4.5,5.25,15,2.5
3_A_Mar23_anon.csv,937053,3,3.25,3,15,3.75
3_A_Mar23_anon.csv,690064,6,1.75,0,4,2.5
3_A_Mar23_anon.csv,162187,2,3.5,6.5,8,3.25
3_A_Mar23_anon.csv,460606,6,4.5,0,15,2.5
3_A_Mar23_anon.csv,444720,2,3.25,10,15,3.25
3_A_Mar23_anon.csv,962814,1,0,0,0,2
3_A_Mar23_anon.csv,309943,3,4.5,7.25,15,3.75
3_A_Mar23_anon.csv,388918,5,5,3.5,8.5,3.75
3_A_Mar23_anon.csv,820879,3,2.75,0,7.5,2.5
3_A_Mar23_anon.csv,819157,4,2.75,5.25,8.5,3.75
3_A_Mar23_anon.csv,439234,2,4.5,0,7,3.25
3_A_Mar23_anon.csv,571323,1,4,0,8.5,3.75
3_A_Mar23_anon.csv,789281,8,5,7.25,15,5
3_A_Mar23_anon.csv,297437,5,2.25,0,0,3.25
3_A_Mar23_anon.csv,941242,4,4.75,6.75,15,2.5
3_A_Mar23_anon.csv,693286,3,4.75,6,15,5
3_A_Mar23_anon.csv,494166,6,2,0,15,2.5
3_A_Mar23_anon.csv,769753,4,4.75,6.75,7.5,2.5
3_A_Mar23_anon.csv,496293,7,5,4.25,15,2.5
3_A_Mar23_anon.csv,464491,0,2.75,0,7.5,1.25
3_A_Mar23_anon.csv,134149,1,3,7.75,7.5,1.25
3_B_Mar23_anon.csv,130380,3,4,6.75,15,2.5
3_B_Mar23_anon.csv,938861,8,4.75,7.75,5.5,3.25
3_B_Mar23_anon.csv,863924,5,4.75,6.25,15,3.25
3_B_Mar23_anon.csv,135727,8,4.75,6,15,2.5
3_B_Mar23_anon.csv,564146,0,2,5.75,14.5,3.25
3_B_Mar23_anon.csv,841731,3,3.5,10,15,3.25
3_B_Mar23_anon.csv,822014,6,5,6.5,15,3.25
3_B_Mar23_anon.csv,273032,0,5,0,0,2.5
3_B_Mar23_anon.csv,887391,3,4.25,1,15,3.25
3_B_Mar23_anon.csv,485565,1,5,7.5,15,3.25
3_B_Mar23_anon.csv,223333,2,5,3,5.5,3.25
3_B_Mar23_anon.csv,930504,0,4.75,4.75,13.5,0
3_B_Mar23_anon.csv,190892,0,5,1.5,5,2.5
3_B_Mar23_anon.csv,970240,2,4.75,1.25,15,3.25
3_B_Mar23_anon.csv,270982,11,4.75,5,6.5,1.25
3_B_Mar23_anon.csv,839513,1,5,5.5,15,3.75
3_B_Mar23_anon.csv,700441,5,5,2.75,5.5,2.5
3_B_Mar23_anon.csv,259122,0,5,5,15,2.5
3_B_Mar23_anon.csv,861674,9,4.5,3.5,15,3.25
3_B_Mar23_anon.csv,783300,4,4.5,4.75,15,5
3_B_Mar23_anon.csv,796250,1,5,8.5,15,3.25
3_B_Mar23_anon.csv,555054,0,4.75,5.75,15,3.25
3_B_Mar23_anon.csv,338073,0,4,2.5,5.5,2.5
3_B_Mar23_anon.csv,499213,1,4.5,2.5,5,3.25
3_B_Mar23_anon.csv,377090,5,4.75,9,15,5
3_B_Mar23_anon.csv,120124,6,4.25,4.5,15,5
3_B_Mar23_anon.csv,166548,5,4.75,3.5,5,3.25
3_B_Mar23_anon.csv,199772,0,3,1.5,15,5
3_B_Mar23_anon.csv,394484,1,3.25,5.75,5,2.5
3_B_Mar23_anon.csv,522922,6,5,1,6,2.5
3_B_Mar23_anon.csv,242493,7,4.75,10,15,5
3_B_Mar23_anon.csv,877116,0,3.5,6,15,0
3_B_Mar23_anon.csv,115362,4,5,2.5,15,2.5
3_B_Mar23_anon.csv,815620,1,4.75,8,6,2.5
3_B_Mar23_anon.csv,450272,1,4.75,8.5,15,1.25
3_B_Mar23_anon.csv,267132,0,4.5,7,15,2.5
3_B_Mar23_anon.csv,216877,0,4.5,2.5,15,3.75
3_B_Mar23_anon.csv,850435,2,4.75,2.5,13.5,5
3_B_Mar23_anon.csv,562399,2,3.25,0,6,2.5
3_B_Mar23_anon.csv,556020,3,4.75,4.5,11,3.25
3_B_Mar23_anon.csv,337398,1,4.5,5.5,15,5
3_B_Mar23_anon.csv,502302,4,5,9.5,5.5,3.25
3_B_Mar23_anon.csv,783735,13,4.25,8.5,15,5
3_B_Mar23_anon.csv,331406,1,1.75,9,15,5
3_B_Mar23_anon.csv,205809,1,5,8.25,15,1.25
3_B_Mar23_anon.csv,844340,0,4.25,5,11,0
3_B_Mar23_anon.csv,768234,3,4.75,1.5,15,3.25
3_B_Mar23_anon.csv,147145,0,2.75,0,5.5,2.5
3_B_Mar23_anon.csv,862239,3,5,2.5,0,2.5
3_B_Mar23_anon.csv,116312,2,4.25,0.5,5.5,2.5
3_B_Mar23_anon.csv,947959,6,2.25,2.5,15,3.25
3_B_Mar23_anon.csv,495024,3,3,3,6,3.25
3_B_Mar23_anon.csv,700670,7,3.25,6.5,11,2.5
3_B_Mar23_anon.csv,298429,10,5,4.75,15,5
3_B_Mar23_anon.csv,149203,4,4,4,15,2.5
3_B_Mar23_anon.csv,362052,0,4.75,6.25,5,2.5
3_B_Mar23_anon.csv,877146,1,3.75,0,11,3.25
3_B_Mar23_anon.csv,324553,5,5,7,15,5
3_B_Mar23_anon.csv,348715,2,5,7,15,3.25
3_B_Mar23_anon.csv,678041,5,3.75,7.5,15,5
3_B_Mar23_anon.csv,520659,6,4.5,5.5,6,2.5
3_B_Mar23_anon.csv,805441,5,4.75,3,5,2.5
3_B_Mar23_anon.csv,794376,1,4.5,0,15,2.5
3_B_Mar23_anon.csv,756469,1,4.25,6.25,14.5,1.25
3_B_Mar23_anon.csv,458187,1,3.25,3.25,11,2.5
3_B_Mar23_anon.csv,364560,1,3.5,8,6,5
3_B_Mar23_anon.csv,607045,6,4.25,7.5,15,5
3_B_Mar23_anon.csv,566878,0,2.75,3.75,0,3.25
3_B_Mar23_anon.csv,687940,0,3.5,0,15,2.5
3_B_Mar23_anon.csv,624947,0,3.5,7,15,3.25
3_B_Mar23_anon.csv,780541,7,4.25,1.5,15,2.5
3_B_Mar23_anon.csv,919266,9,3.25,2.25,5.5,3.25
3_B_Mar23_anon.csv,557781,6,4.75,5.5,15,3.75
3_B_Mar23_anon.csv,720723,1,5,0,15,2.5
3_B_Mar23_anon.csv,965522,1,3.25,0,0,2.5
3_B_Mar23_anon.csv,574860,4,5,9,15,3.25
3_B_Mar23_anon.csv,695840,0,2,0,14.5,2.5
3_B_Mar23_anon.csv,209254,0,3.5,7.5,5,2.5
3_B_Mar23_anon.csv,600034,0,4.25,0,10,5
3_B_Mar23_anon.csv,787036,1,2.5,0,5.5,2.5
3_B_Mar23_anon.csv,582644,1,5,0.25,15,3.25
3_B_Mar23_anon.csv,863048,0,3,2.25,15,5
3_B_Mar23_anon.csv,535753,6,2.75,3.5,5.5,3.25
3_B_Mar23_anon.csv,553565,2,2.25,0,15,2.5
3_B_Mar23_anon.csv,331418,3,3.5,1.75,15,5
3_B_Mar23_anon.csv,186775,3,2.75,0.75,0,1.25
3_B_Mar23_anon.csv,107302,0,3.5,0,5.5,1.25
3_B_Mar23_anon.csv,676026,2,2.5,6.5,11,2.5
3_B_Mar23_anon.csv,100124,0,2.75,3.25,5.5,3.25
3_B_Mar23_anon.csv,708858,8,3.25,1.25,5.5,3.25
3_B_Mar23_anon.csv,313801,6,2,0,11,2.5
3_B_Mar23_anon.csv,357577,1,1.75,0,5.5,3.25
3_B_Mar23_anon.csv,843368,5,4.5,7.5,10,2.5
3_B_Mar23_anon.csv,139950,1,3,0,5.5,3.75
3_B_Mar23_anon.csv,509369,1,4,0,15,3.75
3_B_Mar23_anon.csv,289163,6,2.75,9,15,0
3_B_Mar23_anon.csv,976464,0,3.75,3,15,2.5
3_B_Mar23_anon.csv,935965,0,4.5,0,11,2.5
3_B_Mar23_anon.csv,411906,3,4,10,15,5
3_B_Mar23_anon.csv,819135,3,3.75,0,15,2.5
3_B_Mar23_anon.csv,766313,3,4.75,0,5,3.25
