source,anon_id,views5,pv_op,pv_cv,confound,internal,interpret,external
5_A_Mar23_anon.csv,781336,3,10,10,10,10,10,10
5_A_Mar23_anon.csv,958843,0,8.5,6.5,2,6,5,10
5_A_Mar23_anon.csv,684227,2,9,10,10,10,10,5
5_A_Mar23_anon.csv,282874,1,7,10,10,10,10,10
5_A_Mar23_anon.csv,666059,0,10,3.75,10,10,5,10
5_A_Mar23_anon.csv,920816,0,7,2.5,7,3,10,10
5_A_Mar23_anon.csv,796147,4,9,10,10,10,10,10
5_A_Mar23_anon.csv,327020,2,8,7.75,2,10,4,8
5_A_Mar23_anon.csv,238823,0,10,7.5,10,10,10,8
5_A_Mar23_anon.csv,142556,0,8,8.5,9,10,7.5,7
5_A_Mar23_anon.csv,886232,0,10,4,2,9,5,10
5_A_Mar23_anon.csv,243610,1,10,10,10,4,10,10
5_A_Mar23_anon.csv,340708,1,10,6.5,2,7,5,0
5_A_Mar23_anon.csv,737475,1,9,10,10,10,10,10
5_A_Mar23_anon.csv,937053,0,10,10,10,10,7.5,10
5_A_Mar23_anon.csv,617396,0,8,10,6,9,10,7
5_A_Mar23_anon.csv,448698,0,9,0,2,7,5,10
5_A_Mar23_anon.csv,460606,1,9,10,10,10,0,10
5_A_Mar23_anon.csv,165680,3,9,10,2,10,0,7
5_A_Mar23_anon.csv,962814,1,8.5,0,2,8,5,7
5_A_Mar23_anon.csv,309943,1,10,0,2,10,5,9
5_A_Mar23_anon.csv,426634,0,9,9,10,10,10,10
5_A_Mar23_anon.csv,571323,0,7,0,2,5.5,10,0
5_A_Mar23_anon.csv,708858,0,9.5,7.5,2,10,0,10
5_A_Mar23_anon.csv,941242,1,10,9,10,10,7.5,10
5_A_Mar23_anon.csv,184622,1,10,10,10,4,10,10
5_A_Mar23_anon.csv,478268,1,6,7,2,3,5,2
5_A_Mar23_anon.csv,496293,0,8,7,10,9,5,10
5_A_Mar23_anon.csv,676794,0,9,0,2,9,5,5
5_A_Mar23_anon.csv,494166,0,9,5.75,10,8,10,9
5_A_Mar23_anon.csv,882657,0,8.5,5.5,2,8,5,1
5_A_Mar23_anon.csv,846172,0,9,2,2,8,7.5,10
5_A_Mar23_anon.csv,850664,3,9.5,6,2,4,5,6
5_A_Mar23_anon.csv,819135,1,10,10,10,10,7.5,8
5_A_Mar23_anon.csv,808560,4,10,4.25,10,4,6.5,7
5_A_Mar23_anon.csv,635780,0,9,6.5,10,8,0,1
5_A_Mar23_anon.csv,980134,2,9,10,9,10,10,10
5_A_Mar23_anon.csv,210273,0,9,10,2,10,7.5,10
5_A_Mar23_anon.csv,587423,1,10,10,10,10,7.5,10
5_A_Mar23_anon.csv,878864,1,9,10,10,8,5,10
5_A_Mar23_anon.csv,670267,0,9,10,2,10,10,10
5_A_Mar23_anon.csv,863924,1,10,10,9,10,10,10
5_A_Mar23_anon.csv,620808,1,8,8,10,10,9,10
5_A_Mar23_anon.csv,378876,1,9,10,2,6.5,10,8
5_A_Mar23_anon.csv,739544,0,9,10,10,8,10,10
5_A_Mar23_anon.csv,822014,3,9.5,4.5,2,10,7.5,8
5_A_Mar23_anon.csv,451623,1,8,10,10,10,10,10
5_A_Mar23_anon.csv,760890,1,8,0,2,4,0,10
5_A_Mar23_anon.csv,323859,2,9,9,10,10,10,9
5_A_Mar23_anon.csv,880562,3,10,10,10,10,2.5,10
5_A_Mar23_anon.csv,306957,1,10,6,1,10,7.5,10
5_A_Mar23_anon.csv,685171,3,8,0,2,4,0,8
5_A_Mar23_anon.csv,187418,0,9,7,2,10,5,10
5_A_Mar23_anon.csv,878824,5,9,2,10,10,10,10
5_A_Mar23_anon.csv,669717,1,10,8.5,2,10,7.5,10
5_A_Mar23_anon.csv,311227,0,8,5.75,10,10,5,10
5_A_Mar23_anon.csv,341372,4,9,10,10,10,10,10
5_A_Mar23_anon.csv,796250,1,10,8.5,10,6,7.5,6
5_A_Mar23_anon.csv,499213,1,9,0,2,1,5,10
5_A_Mar23_anon.csv,868406,0,10,8,2,10,0,10
5_A_Mar23_anon.csv,710489,0,4,6,2,3,9,10
5_A_Mar23_anon.csv,879263,1,10,4.75,10,9,6.5,9
5_A_Mar23_anon.csv,329867,0,10,10,10,10,2.5,10
5_A_Mar23_anon.csv,522922,1,9,3.75,2,7,5,10
5_A_Mar23_anon.csv,179184,0,9,0,2,10,0,8
5_A_Mar23_anon.csv,637438,0,10,10,10,10,10,10
5_A_Mar23_anon.csv,877116,0,9,10,10,5,7.5,10
5_A_Mar23_anon.csv,450272,0,9,7.5,10,10,10,10
5_A_Mar23_anon.csv,172263,1,10,8,2,8,7.5,10
5_A_Mar23_anon.csv,353441,1,8.5,8.5,10,10,7.5,10
5_A_Mar23_anon.csv,376854,1,10,9,7,10,10,10
5_A_Mar23_anon.csv,361425,1,10,9,2,10,5,10
5_A_Mar23_anon.csv,158198,0,9,9.5,10,4,5,10
5_A_Mar23_anon.csv,337398,1,10,10,10,10,7.5,10
5_A_Mar23_anon.csv,502302,2,10,10,10,10,10,10
5_A_Mar23_anon.csv,425200,2,10,9.5,10,10,10,10
5_A_Mar23_anon.csv,768234,1,10,10,10,9,5,10
5_A_Mar23_anon.csv,141625,0,9,8.5,2,10,2.5,10
5_A_Mar23_anon.csv,504530,1,9,10,2,6,7.5,10
5_A_Mar23_anon.csv,147145,0,9,0,2,4,0,10
5_A_Mar23_anon.csv,928498,0,9,0,3,9,7.5,10
5_A_Mar23_anon.csv,947959,2,8,0,10,9,7.5,0
5_A_Mar23_anon.csv,690036,4,8.5,3.25,10,9,5,10
5_A_Mar23_anon.csv,116004,2,10,10,10,10,10,10
5_A_Mar23_anon.csv,652357,0,8.5,6,10,8,5,10
5_A_Mar23_anon.csv,292900,0,9,9,7,0,7.5,10
5_A_Mar23_anon.csv,356382,2,9,9,2,4,2.5,10
5_A_Mar23_anon.csv,785013,1,10,10,10,8,9,7
5_A_Mar23_anon.csv,946353,0,10,8,2,10,7.5,8
5_A_Mar23_anon.csv,237582,0,10,3.25,2,3,0,10
5_A_Mar23_anon.csv,751500,1,10,0,10,7,5,10
5_A_Mar23_anon.csv,568721,1,9.5,0,2,10,7.5,10
5_A_Mar23_anon.csv,298429,0,10,6.5,10,10,7.5,10
5_A_Mar23_anon.csv,627572,3,10,7,2,9,5,4
5_A_Mar23_anon.csv,829820,0,10,6.5,10,10,10,10
5_A_Mar23_anon.csv,903345,0,9,0,2,10,5,10
5_A_Mar23_anon.csv,482126,2,10,6.5,10,10,5,10
5_A_Mar23_anon.csv,766084,0,10,5.5,2,4,5,10
5_A_Mar23_anon.csv,354907,0,9,10,10,10,10,10
5_A_Mar23_anon.csv,205295,0,10,10,9,10,2.5,10
5_A_Mar23_anon.csv,756469,0,9,9,10,10,7.5,10
5_A_Mar23_anon.csv,681486,0,9.5,6.5,2,10,2.5,10
5_A_Mar23_anon.csv,221844,1,9,4.75,10,4,2.5,10
5_A_Mar23_anon.csv,700506,0,9,10,10,10,10,9
5_A_Mar23_anon.csv,852104,0,10,10,2,10,7.5,10
5_A_Mar23_anon.csv,720293,1,1,0,2,3,10,10
5_A_Mar23_anon.csv,789124,2,9,10,2,10,7.5,10
5_A_Mar23_anon.csv,122746,1,10,9,10,9,10,10
5_A_Mar23_anon.csv,936964,1,10,9,2,4,6.5,10
5_A_Mar23_anon.csv,618706,2,9,8.5,10,7,10,10
5_A_Mar23_anon.csv,978499,2,9,5,2,10,2.5,5
5_A_Mar23_anon.csv,533181,0,9,7.5,2,0,5,10
5_A_Mar23_anon.csv,465537,1,10,6.5,10,7,5,2
5_A_Mar23_anon.csv,132340,1,10,9,2,9,0,10
5_A_Mar23_anon.csv,951938,0,10,9,10,10,7.5,9
5_A_Mar23_anon.csv,117848,1,10,9,2,10,7.5,10
5_A_Mar23_anon.csv,370790,2,10,10,2,4,7.5,10
5_B_Mar23_anon.csv,607045,0,8,0,6,10,0,10
5_B_Mar23_anon.csv,993306,0,8,6.5,4,4,5,10
5_B_Mar23_anon.csv,566878,0,7,4.5,5,6,5,10
5_B_Mar23_anon.csv,453529,3,9,6.5,6.5,6,5,10
5_B_Mar23_anon.csv,819274,1,10,9.5,4,10,5,10
5_B_Mar23_anon.csv,158549,0,7,10,6.5,6,5,10
5_B_Mar23_anon.csv,736790,0,7,6.5,10,10,10,10
5_B_Mar23_anon.csv,965522,1,10,9.25,8,6,7.5,10
5_B_Mar23_anon.csv,832756,1,7.5,7.75,8,10,0,10
5_B_Mar23_anon.csv,208750,0,9.5,6,10,6,7.5,10
5_B_Mar23_anon.csv,957708,0,10,8,8,6,5,10
5_B_Mar23_anon.csv,742806,0,10,8,10,10,2.5,10
5_B_Mar23_anon.csv,975639,0,8,5.5,8,8,2.5,10
5_B_Mar23_anon.csv,582644,0,9,9,10,10,10,10
5_B_Mar23_anon.csv,863048,0,10,8.25,8,6,2.5,10
5_B_Mar23_anon.csv,634523,1,9,5,8,7,5,10
5_B_Mar23_anon.csv,687838,0,10,6.75,10,10,5,10
5_B_Mar23_anon.csv,917655,0,10,8,8,10,5,10
5_B_Mar23_anon.csv,553565,0,7,2,10,10,5,10
5_B_Mar23_anon.csv,444720,1,10,10,4,6,7.5,8
5_B_Mar23_anon.csv,550977,2,9,9.25,8,10,5,10
5_B_Mar23_anon.csv,866180,0,10,0,8,4,5,10
5_B_Mar23_anon.csv,186775,1,9,6,8,6,7.5,10
5_B_Mar23_anon.csv,980472,1,10,10,10,10,7.5,10
5_B_Mar23_anon.csv,224768,2,9,4.5,8,10,5,10
5_B_Mar23_anon.csv,297437,2,9,0,4,5,0,10
5_B_Mar23_anon.csv,313801,0,8,5.25,4,4,5,9
5_B_Mar23_anon.csv,806967,1,10,10,10,10,10,10
5_B_Mar23_anon.csv,769753,1,8.5,6.5,10,8,5,10
5_B_Mar23_anon.csv,509369,1,9,8,8,4,5,10
5_B_Mar23_anon.csv,907662,0,7.5,3.5,10,4,5,10
5_B_Mar23_anon.csv,207486,0,10,10,10,10,2.5,10
5_B_Mar23_anon.csv,859374,1,10,10,10,10,10,10
5_B_Mar23_anon.csv,392325,0,10,9,10,6,5,10
5_B_Mar23_anon.csv,324135,1,8,5.75,10,4,5,10
5_B_Mar23_anon.csv,676277,0,9,10,8,10,7.5,10
5_B_Mar23_anon.csv,711072,3,9.5,10,10,10,5,10
5_B_Mar23_anon.csv,530411,3,10,8,10,8,5,10
5_B_Mar23_anon.csv,193776,0,10,10,8,10,5,10
5_B_Mar23_anon.csv,130380,1,10,5.5,8,8,0,10
5_B_Mar23_anon.csv,266782,0,10,5,8,7,10,10
5_B_Mar23_anon.csv,254596,0,8,6,8,6,0,10
5_B_Mar23_anon.csv,215621,1,10,6.5,8,10,2.5,10
5_B_Mar23_anon.csv,564146,2,2,6.75,8,6,0,10
5_B_Mar23_anon.csv,331418,1,10,6,10,8,7.5,10
5_B_Mar23_anon.csv,514088,0,9.5,7,10,10,5,10
5_B_Mar23_anon.csv,231177,0,9,5.5,8,10,7.5,10
5_B_Mar23_anon.csv,357173,0,9,0,10,10,5,10
5_B_Mar23_anon.csv,437305,2,10,10,10,10,9,10
5_B_Mar23_anon.csv,689023,1,10,5.5,10,4,7.5,10
5_B_Mar23_anon.csv,570810,2,8,3,10,10,0,10
5_B_Mar23_anon.csv,202048,0,8.5,8,6,10,0,10
5_B_Mar23_anon.csv,485565,0,9,10,10,10,7.5,10
5_B_Mar23_anon.csv,298840,1,8.5,0,10,8,0,0
5_B_Mar23_anon.csv,100915,1,10,6,10,6,10,10
5_B_Mar23_anon.csv,562658,1,10,8.5,8,0,5,10
5_B_Mar23_anon.csv,484728,0,8,6,8,4,7.5,10
5_B_Mar23_anon.csv,259122,0,8,5,10,4,7.5,10
5_B_Mar23_anon.csv,623912,0,10,6.75,10,6,5,10
5_B_Mar23_anon.csv,270982,5,8,6,8,6,6.5,10
5_B_Mar23_anon.csv,839513,0,10,9,10,2,5,10
5_B_Mar23_anon.csv,555054,0,9.5,2.5,10,6,5,10
5_B_Mar23_anon.csv,877109,1,10,5.5,8,10,7.5,10
5_B_Mar23_anon.csv,840840,0,9,9,10,10,5,10
5_B_Mar23_anon.csv,543411,1,8,0,10,10,10,10
5_B_Mar23_anon.csv,914016,0,8,0,6,10,0,10
5_B_Mar23_anon.csv,166548,0,8,1,10,10,7.5,10
5_B_Mar23_anon.csv,335731,0,10,1.5,10,10,5,10
5_B_Mar23_anon.csv,377090,1,10,10,10,10,7.5,10
5_B_Mar23_anon.csv,955242,3,10,10,10,10,10,10
5_B_Mar23_anon.csv,199772,1,10,5.5,10,6,2.5,10
5_B_Mar23_anon.csv,487505,0,9,1.25,4,6,5,10
5_B_Mar23_anon.csv,515838,0,9,1,6,4,0,10
5_B_Mar23_anon.csv,331406,0,10,5.25,8,2,5,10
5_B_Mar23_anon.csv,850435,1,10,10,10,10,7.5,10
5_B_Mar23_anon.csv,205809,0,10,10,10,6,7.5,10
5_B_Mar23_anon.csv,471494,1,10,4.5,10,10,10,10
5_B_Mar23_anon.csv,505593,2,8.5,4.5,8,10,7.5,10
5_B_Mar23_anon.csv,785732,0,8.5,3.5,10,2,0,10
5_B_Mar23_anon.csv,783735,4,10,9.25,10,4,10,10
5_B_Mar23_anon.csv,884161,1,8,5,4,4,5,5
5_B_Mar23_anon.csv,912689,0,5,0,8,8,5,4
5_B_Mar23_anon.csv,274235,0,10,5,10,4,5,9
5_B_Mar23_anon.csv,868195,0,9,9,10,10,7.5,10
5_B_Mar23_anon.csv,999023,3,8,4.75,10,10,5,10
5_B_Mar23_anon.csv,100168,0,8,10,10,6,5,10
5_B_Mar23_anon.csv,929062,1,10,8,10,10,5,10
5_B_Mar23_anon.csv,298091,0,7.5,0,10,4,5,9
5_B_Mar23_anon.csv,755204,0,10,6.5,10,10,10,10
5_B_Mar23_anon.csv,652942,2,9,4,10,10,7.5,10
5_B_Mar23_anon.csv,127794,1,10,7.75,6,10,5,10
5_B_Mar23_anon.csv,423080,0,7,7.5,10,10,5,10
5_B_Mar23_anon.csv,868090,0,7,0,10,4,5,8
5_B_Mar23_anon.csv,348715,1,9,9.5,4,10,5,8
5_B_Mar23_anon.csv,706979,0,8,8.5,10,10,5,9
5_B_Mar23_anon.csv,889441,0,8.5,5.5,10,8,5,10
5_B_Mar23_anon.csv,805441,3,8.5,3.75,10,6,0,10
5_B_Mar23_anon.csv,257545,0,10,4,10,10,5,10
5_B_Mar23_anon.csv,177840,1,8.5,10,10,10,7.5,10
5_B_Mar23_anon.csv,646241,1,9.5,10,10,10,7.5,10
5_B_Mar23_anon.csv,957384,0,9.5,5.5,10,10,7.5,10
5_B_Mar23_anon.csv,920586,1,8.5,3,10,7,5,10
5_B_Mar23_anon.csv,469937,0,9.5,5.75,10,10,7.5,10
5_B_Mar23_anon.csv,197878,1,8,7,8.5,8.5,7.5,8
5_C_Mar23_anon.csv,268619,0,10,1,0,10,4,10
5_C_Mar23_anon.csv,624947,0,10,10,2.5,0,7.5,10
5_C_Mar23_anon.csv,693045,0,10,10,10,10,0,10
5_C_Mar23_anon.csv,780541,0,10,10,10,10,7.5,10
5_C_Mar23_anon.csv,557781,0,10,9,2.5,10,7.5,10
5_C_Mar23_anon.csv,695840,1,8.25,6.5,10,0,7.5,10
5_C_Mar23_anon.csv,883903,1,10,8.5,10,10,10,10
5_C_Mar23_anon.csv,151246,0,10,6.5,7.5,10,5,10
5_C_Mar23_anon.csv,187671,0,10,10,7.5,0,2.5,10
5_C_Mar23_anon.csv,189428,1,10,10,10,10,10,10
5_C_Mar23_anon.csv,427397,1,10,10,10,10,5,10
5_C_Mar23_anon.csv,307053,0,10,1,10,0,4,10
5_C_Mar23_anon.csv,970613,0,10,8.5,10,10,7.5,10
5_C_Mar23_anon.csv,761526,0,10,9,10,10,5,10
5_C_Mar23_anon.csv,109338,1,8.25,9.75,10,10,10,10
5_C_Mar23_anon.csv,607016,1,10,10,4,10,5,10
5_C_Mar23_anon.csv,690064,0,2,1,2.5,0,5,0
5_C_Mar23_anon.csv,388918,1,10,9.5,10,10,7.5,10
5_C_Mar23_anon.csv,840605,0,10,7,2.5,10,5,10
5_C_Mar23_anon.csv,749976,0,10,10,2.5,10,10,10
5_C_Mar23_anon.csv,819157,1,10,9,7.5,10,10,10
5_C_Mar23_anon.csv,676026,3,10,6.5,8.5,10,5,10
5_C_Mar23_anon.csv,439234,0,10,9,7.5,10,5,10
5_C_Mar23_anon.csv,873291,0,10,10,10,10,2,10
5_C_Mar23_anon.csv,357577,0,8.5,0,10,0,2.5,8
5_C_Mar23_anon.csv,124193,1,10,10,10,10,10,10
5_C_Mar23_anon.csv,843368,1,10,7,7.5,10,5,10
5_C_Mar23_anon.csv,861958,0,9.75,9.5,2.5,10,10,10
5_C_Mar23_anon.csv,518197,1,5.75,0,10,10,7.5,10
5_C_Mar23_anon.csv,766313,2,8.5,7,10,10,5,10
5_C_Mar23_anon.csv,935965,1,10,9.5,10,8.5,2.5,10
