Student,ID,SIS User ID,anon_id,SIS Login ID,Section,Syllabus FAQ Video (965983),Collaboration vs Cheating (965972),PsycLearn 1 (966004),PsycLearn 2 (966009),VW.RS.i Research Summary Intro (965978),VW: Null and Research Hypotheses (965991),PsycLearn 5 (966012),VW: Variables (965988),VW:RS1 (Video Worksheet - Research Summary 1 - Hangry) (965979),PsycLearn 7 (966014),VW: Correlation coefficients (965975),VW: Reliabilty and Validity (965986),VW.RS.2 (Video Worksheet - Research Summary 2 - Conversations with Strangers) (965995),VW.RS.3 (Video Worksheet - Research Summary 3 - Vocal Fry) (965976),VW: Verbs (965987),PsycLearn 8 (966015),VW: Construct Validity (Method Match and Circular Reasoning) (965971),VW:CT.i Video Worksheet - Critical Thinking - Intro (965977),VW:CT1 (Video Worksheet- Critical Thinking 1 - ADHD) (965967),VW:CT2 (Video worksheet- Critical Thinking 2 - VizualEdge) (965969),VW:CT3 (Video Worksheet- Critical Thinking 3 - DHA) (965968),VW:CT4 (Video Worksheet- Critical Thinking 4 - Verbal Advantage) (965984),PsycLearn 9 (966016),VW: Threats to internal validity (965989),PsycLearn 10 (966005),VW: Hypothesis Review (965973),Tell us! Show us! 1 (966017),PsycLearn 3 (966010),VW: Summarize the findings (965990),PsycLearn 4 (966011),VW: Distinguishing fact from opinion (965992),PsycLearn 6 (966013),VW: Sampling (965982),VW: Interpreting results (965994),PsycLearn 11 (966006),VW: Factorial Design (965970),VW: Which statistic? (965985),VW: Interpret inferential statistics (965974),PsycLearn 12 (966007),VW: Validity Review (965981),PsycLearn 13 (966008),Tell Us! Show Us! 2 (966018),iClicker Grade (966003),Unit 1 Lecture 3 (1008394),Exam 1 (965996),Exam 2 (965997),Exam 3 (965998),Exam 4 (965999),Exam 5 (966000),Final Exam (966002),Exam Corrections  (966001),Mini Personality Inventory (965980),Demographics (965993),Points (1034609),Prep+Participation (up to 250 points) Current Points,Prep+Participation (up to 250 points) Final Points,Prep+Participation (up to 250 points) Current Score,Prep+Participation (up to 250 points) Unposted Current Score,Prep+Participation (up to 250 points) Final Score,Prep+Participation (up to 250 points) Unposted Final Score,Exams Current Points,Exams Final Points,Exams Current Score,Exams Unposted Current Score,Exams Final Score,Exams Unposted Final Score,Extra Credit Current Points,Extra Credit Final Points,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Grade Calculation Current Points,Grade Calculation Final Points,Grade Calculation Current Score,Grade Calculation Unposted Current Score,Grade Calculation Final Score,Grade Calculation Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score
redacted,redacted,redacted,364560,redacted,PSC 041 001 WQ 2023,6.5,4,20,20,4,4,20,2,4.5,19.17,2,1.5,4.75,4.5,2,20,3,4,4,4,4,4,20,2,20,1,,20,2,20,2,18.95,2,2,20,1,1,1,20,1,20,0,36,4,111,126.5,131.5,124,131.5,0,0,5,5,884.5,375.86,375.86,93.04,93.04,90.79,90.79,624.5,624.5,83.27,83.27,83.27,83.27,10,10,66.67,66.67,66.67,66.67,0,0,,,,,1010.36,1010.36,86.43,86.43,85.7,85.7
redacted,redacted,redacted,781336,redacted,PSC 041 002 WQ 2023,6.5,4,20,20,4,4,20,2,0,20,2,1.5,4.75,0,2,20,3,4,4,0,4,4,20,2,20,1,,20,0,5.19,0,20,0,2,20,0,0,0,,0,,0,48,4,142.25,142.5,141.25,149,150,0,0,5,5,985,311.94,311.94,85.7,85.7,75.35,75.35,725,725,96.67,96.67,96.67,96.67,10,10,66.67,66.67,66.67,66.67,0,0,,,,,1046.94,1046.94,92.73,92.73,88.8,88.8
redacted,redacted,redacted,266622,redacted,PSC 041 002 WQ 2023,6.17,4,20,20,3.75,4,18.4,2,0,20,2,1.5,4.51,4.5,2,20,3,4,0,0,0,0,20,0,,1,,20,2,20,2,,2,2,20,1,1,1,20,1,20,0,32,4,116,131,138.5,109,127,117,0,5,5,881.5,308.83,308.83,84.84,84.84,74.6,74.6,629.5,629.5,83.93,83.93,83.93,83.93,10,10,66.67,66.67,66.67,66.67,0,0,,,,,948.33,948.33,84,84,80.44,80.44
redacted,redacted,redacted,684227,redacted,PSC 041 001 WQ 2023,6.33,4,20,18.82,4,4,20,1.75,4.5,20,2,1,4.17,3.71,2,20,2.75,4,4,4,3.75,4,20,1.5,20,1,,20,2,20,2,20,2,2,19.43,1,1,1,20,1,20,0,52,4,140,122.5,131.25,124.25,127,135,4,5,5,908,388.71,388.71,96.22,96.22,93.89,93.89,657.5,657.5,87.67,87.67,87.67,87.67,14,14,93.33,93.33,93.33,93.33,0,0,,,,,1060.21,1060.21,90.69,90.69,89.92,89.92
redacted,redacted,redacted,268619,redacted,PSC 041 001 WQ 2023,6.5,4,19.09,20,4,4,20,2,4.75,19.17,2,1.5,4.63,4.5,2,20,2.5,4,4,4,4,4,20,2,20,1,10,20,2,20,2,20,2,1.75,20,1,1,1,20,1,20,9,52,3.6,105.75,81,125,107.75,109,0,0,5,5,788.5,409.98,409.98,99.03,99.03,99.03,99.03,528.5,528.5,70.47,70.47,70.47,70.47,10,10,66.67,66.67,66.67,66.67,0,0,,,,,948.48,948.48,80.45,80.45,80.45,80.45
redacted,redacted,redacted,566878,redacted,PSC 041 002 WQ 2023,6.5,4,19.09,20,3.83,4,,2,4.75,19.17,2,1.5,4.5,2.71,2,20,3,4,4,4,4,4,19.05,2,19.05,1,,20,2,19.26,0,6.32,0,2,,0,0,0,,0,,0,32,4,119.25,116,111.25,110.5,116.5,0,4.9,5,5,838.4,265.72,265.72,82.01,82.01,64.18,64.18,573.5,573.5,76.47,76.47,76.47,76.47,14.9,14.9,99.33,99.33,99.33,99.33,0,0,,,,,854.12,854.12,78.43,78.43,72.44,72.44
redacted,redacted,redacted,624947,redacted,PSC 041 001 WQ 2023,6.5,4,20,18.82,4,4,20,2,4,19.17,2,1.5,1.1,4.5,2,20,3,3.5,2,2,0,0,19.05,0,19.05,0.83,,,0,18.52,0,20,0,0,16,0,0,0,3.08,0,,0,8,3.8,138,128,137.75,139.5,108,0,0,5,5,911.25,252.41,252.41,69.34,69.34,60.97,60.97,651.25,651.25,86.83,86.83,86.83,86.83,10,10,66.67,66.67,66.67,66.67,0,0,,,,,913.66,913.66,80.93,80.93,77.49,77.49
redacted,redacted,redacted,175573,redacted,PSC 041 001 WQ 2023,6.5,4,20,20,4,4,20,2,4.75,20,2,1.5,4.58,4.5,2,20,3,4,4,4,4,4,20,2,20,1,,20,2,19.26,2,18.95,2,2,19.43,1,0.5,0.5,20,1,20,0,4,4,107.5,107.75,120.5,126.75,109,0,0,5,5,831.5,342.46,342.46,84.77,84.77,82.72,82.72,571.5,571.5,76.2,76.2,76.2,76.2,10,10,66.67,66.67,66.67,66.67,0,0,,,,,923.96,923.96,79.04,79.04,78.37,78.37
redacted,redacted,redacted,453529,redacted,PSC 041 001 WQ 2023,6.5,4,20,20,4,4,20,2,4.75,20,2,1.5,4.75,4.5,2,20,3,4,4,4,4,4,20,2,20,1,,20,2,,2,,2,2,,1,1,1,,1,,0,40,4,136,134,133,127.5,130,132,0,5,5,919.5,282,282,92.76,92.76,68.12,68.12,665,665,88.67,88.67,88.67,88.67,10,10,66.67,66.67,66.67,66.67,0,0,,,,,957,957,89.52,89.52,81.17,81.17
redacted,redacted,redacted,370790,redacted,PSC 041 001 WQ 2023,6.5,4,20,20,4,4,20,2,4.5,20,2,1.5,4.75,4.21,2,20,3,4,4,4,4,4,20,2,20,1,,20,2,20,2,20,2,2,20,1,1,1,7.69,1,,0,28,4,137,144.75,142.25,65,128.5,141,5,5,5,882.5,337.15,337.15,87.8,87.8,81.44,81.44,693.5,693.5,92.47,92.47,92.47,92.47,15,15,100,100,100,100,0,0,,,,,1045.65,1045.65,91.01,91.01,88.69,88.69
redacted,redacted,redacted,993306,redacted,PSC 041 002 WQ 2023,6.5,4,20,20,4,4,19.2,2,4.75,20,2,1.5,4.75,4.5,2,,3,4,4,4,4,4,20,2,20,1,10,20,2,20,2,20,2,1.5,20,1,1,0.92,20,1,20,10,24,4,102,92.75,97.5,111.5,108,0,5,5,5,775.75,364.62,364.62,92.54,92.54,88.07,88.07,511.75,511.75,68.23,68.23,68.23,68.23,15,15,100,100,100,100,0,0,,,,,891.37,891.37,76.91,76.91,75.6,75.6
redacted,redacted,redacted,590181,redacted,PSC 041 001 WQ 2023,6.5,4,2.73,4.71,0,4,3.2,1,1,18.33,2,1.5,4.23,3.04,2,20,2.67,2.5,4,4,0,0,14.29,1.5,20,1,,4.29,0,9.63,2,,0,0,19.43,1,0,0.17,19.23,0,,0,40,4,84.75,74,84.5,73.25,0,66,0,5,5,554.44,227.94,227.94,62.62,62.62,55.06,55.06,382.5,382.5,51,51,51,51,10,10,66.67,66.67,66.67,66.67,0,0,,,,,620.44,620.44,54.95,54.95,52.62,52.62
redacted,redacted,redacted,958843,redacted,PSC 041 002 WQ 2023,6.5,4,20,20,4,4,19.2,2,4.75,20,2,1.5,4.75,4.5,2,20,3,3.5,4,4,4,4,20,2,19.05,1,10,20,2,20,2,20,2,2,20,1,1,1,20,1,20,10,28,4,103.5,87.75,91.5,95.5,97,0,5,5,5,739.25,387.75,387.75,93.66,93.66,93.66,93.66,475.25,475.25,63.37,63.37,63.37,63.37,15,15,100,100,100,100,0,0,,,,,878,878,74.47,74.47,74.47,74.47
redacted,redacted,redacted,687940,redacted,PSC 041 001 WQ 2023,6.5,0,20,20,0,0,20,1.5,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20,0,20,0,,20,0,8.15,0,4.21,0,0,20,0,0.5,0.25,2.31,1,,0,48,0,111.75,121,111.5,122,108.25,0,0,0,0,824.5,252.42,252.42,65.73,65.73,60.97,60.97,574.5,574.5,76.6,76.6,76.6,76.6,0,0,0,0,0,0,0,0,,,,,826.92,826.92,71.97,71.97,70.14,70.14
redacted,redacted,redacted,338114,redacted,PSC 041 002 WQ 2023,6.5,4,18.18,16.47,4,3,4,1.5,3.5,19.17,1,1.5,0,2.83,1,18.26,2,0,0,0,0,0,2.86,0,,0.83,,,0,,0,,0,0,,0,0,0,,0,,0,16,3.6,0,61.25,0,0,0,0,0,5,5,201.45,130.2,130.2,49.32,49.32,31.45,31.45,61.25,61.25,8.17,8.17,8.17,8.17,10,10,66.67,66.67,66.67,66.67,0,0,,,,,201.45,201.45,19.58,19.58,17.09,17.09
