"source","SID","views1","h0","h1","pv_op","ov_op","claim_ex","interpret"
"Exam_1A_scores.csv",922527904,7,10,9,10,10,5,3
"Exam_1A_scores.csv",920442395,1,10,9,3,9,8,10
"Exam_1A_scores.csv",922513484,0,8,8,3,0,5,10
"Exam_1A_scores.csv",918851859,0,10,10,10,6.5,5,10
"Exam_1A_scores.csv",921809623,2,10,7,4,7.5,5,10
"Exam_1A_scores.csv",922645611,4,8,10,10,10,8,10
"Exam_1A_scores.csv",921079835,1,10,8,10,8,10,10
"Exam_1A_scores.csv",920904370,2,8,10,8,7,5,10
"Exam_1A_scores.csv",919582509,3,10,9,9,9,10,10
"Exam_1A_scores.csv",921103769,2,10,10,10,10,8,10
"Exam_1A_scores.csv",921139555,1,10,10,9.5,10,10,10
"Exam_1A_scores.csv",922332791,1,8,10,9,9,5,10
"Exam_1A_scores.csv",922145399,5,10,10,10,9,8,10
"Exam_1A_scores.csv",919898992,2,8,10,9,7.5,5,10
"Exam_1A_scores.csv",921887234,3,9,10,9,4.5,10,10
"Exam_1A_scores.csv",922014022,2,7,8,5,9,5,3
"Exam_1A_scores.csv",922038040,10,10,10,9.5,9,3,3
"Exam_1A_scores.csv",922232176,3,10,10,8,7,10,10
"Exam_1A_scores.csv",921293365,2,8,8,9,8,0,10
"Exam_1A_scores.csv",922748055,0,10,10,6,8,8,10
"Exam_1A_scores.csv",920966884,3,7,10,0,0.5,5,10
"Exam_1A_scores.csv",920085435,7,10,10,6,10,5,10
"Exam_1A_scores.csv",920924952,1,10,9,9.5,5.5,8,10
"Exam_1A_scores.csv",922378179,6,10,6,5,8.5,3,10
"Exam_1A_scores.csv",922712984,1,8,10,9,7,3,10
"Exam_1A_scores.csv",921900700,0,8,10,0,7,8,10
"Exam_1A_scores.csv",922726475,8,10,10,0,10,5,10
"Exam_1A_scores.csv",918405988,0,7,4,7,6.5,0,3
"Exam_1A_scores.csv",922648621,2,10,10,2,9,8,10
"Exam_1A_scores.csv",921885676,0,10,10,10,10,10,10
"Exam_1A_scores.csv",920440054,7,9,10,10,9.5,8,10
"Exam_1A_scores.csv",922332021,1,8,4,9,6,5,10
"Exam_1A_scores.csv",921246273,7,6,10,3,4,8,10
"Exam_1A_scores.csv",921101910,2,10,8,9,9,8,0
"Exam_1A_scores.csv",920724178,3,6,9,8,9.5,8,10
"Exam_1A_scores.csv",922596401,7,6,9,1,0,5,10
"Exam_1A_scores.csv",921041258,0,8,10,2,9,8,10
"Exam_1A_scores.csv",919235636,2,8,10,10,6.5,5,10
"Exam_1A_scores.csv",918510297,3,10,8,2,8,10,8.5
"Exam_1A_scores.csv",922315394,2,10,10,8,8,3,10
"Exam_1A_scores.csv",921079903,1,9,8,2,3,3,10
"Exam_1A_scores.csv",919647114,2,7,10,9,6,5,10
"Exam_1A_scores.csv",922582486,7,8,4,0,1,0,10
"Exam_1A_scores.csv",920486513,5,9,10,10,10,10,10
"Exam_1A_scores.csv",922217175,1,8,10,10,9,0,0
"Exam_1A_scores.csv",921916082,1,7,4,4,4,5,8.5
"Exam_1A_scores.csv",922401143,1,9,9,0,8,5,10
"Exam_1A_scores.csv",920990669,0,6,10,6,0,5,10
"Exam_1A_scores.csv",919987780,1,10,10,1,2,10,10
"Exam_1A_scores.csv",922737671,4,10,4,4.5,0,10,10
"Exam_1A_scores.csv",922209073,1,10,10,9,10,5,10
"Exam_1A_scores.csv",919226768,3,10,9,6,10,8,10
"Exam_1A_scores.csv",919908989,5,10,10,10,10,5,10
"Exam_1A_scores.csv",916566421,0,10,9,0,0,0,10
"Exam_1A_scores.csv",920003572,1,10,10,8.5,6,8,10
"Exam_1A_scores.csv",918029924,1,7,8,9,7,10,10
"Exam_1A_scores.csv",920962888,2,10,10,8.5,10,5,10
"Exam_1A_scores.csv",922090347,18,10,10,9,10,10,10
"Exam_1A_scores.csv",921678058,2,7,9,9.5,8.5,8,10
"Exam_1A_scores.csv",921144346,4,10,10,2,9,8,10
"Exam_1A_scores.csv",918820958,0,10,8,2,9,0,10
"Exam_1A_scores.csv",921971535,2,10,10,10,10,8,10
"Exam_1A_scores.csv",921073844,5,10,10,9,10,10,10
"Exam_1A_scores.csv",921860594,2,8,10,4.5,1,3,10
"Exam_1A_scores.csv",918739858,7,8,9,2,8,0,10
"Exam_1A_scores.csv",920693827,3,9,9,10,10,3,10
"Exam_1A_scores.csv",920627893,1,10,10,9,10,8,10
"Exam_1A_scores.csv",922558944,3,10,8,9,9,5,10
"Exam_1A_scores.csv",922026418,1,8,8,3,1,5,8.5
"Exam_1A_scores.csv",922395673,3,10,10,9,9.5,3,10
"Exam_1A_scores.csv",920587140,2,6,10,8.5,8,5,10
"Exam_1A_scores.csv",922127676,2,10,10,9.5,10,8,10
"Exam_1A_scores.csv",920876534,4,9,8,0,6,5,10
"Exam_1A_scores.csv",922352959,0,10,10,10,10,3,10
"Exam_1A_scores.csv",922452930,1,8,9,10,9,5,10
"Exam_1A_scores.csv",921800318,6,6,9,3,7.5,8,10
"Exam_1A_scores.csv",920810341,3,9,4,8.5,3,0,7
"Exam_1A_scores.csv",919606854,1,7,9,9,8.5,8,3
"Exam_1A_scores.csv",920879120,5,10,10,10,6.5,0,10
"Exam_1A_scores.csv",919406397,1,10,10,9,8,3,10
"Exam_1A_scores.csv",919975585,1,10,4,0,7,0,10
"Exam_1A_scores.csv",919860234,6,6,10,2,7,0,10
"Exam_1A_scores.csv",921173760,1,2,8,0,7.5,5,8.5
