"source","SID","views2","pv_op","pv_cv","ov_cv","interpret"
"Exam_2C_scores.csv",921726531,1,2,0,7.5,5
"Exam_2C_scores.csv",919649675,3,10,15,15,5
"Exam_2C_scores.csv",922513484,0,1,0,3,5
"Exam_2C_scores.csv",922527904,3,10,15,20,0
"Exam_2C_scores.csv",921826114,4,4,13,20,5
"Exam_2C_scores.csv",918851859,0,4,16,20,5
"Exam_2C_scores.csv",996793395,0,4,13,3,5
"Exam_2C_scores.csv",920825666,0,2,11,15,5
"Exam_2C_scores.csv",922377701,2,6,16,15,5
"Exam_2C_scores.csv",919582509,2,3,16,12.5,5
"Exam_2C_scores.csv",922053805,1,5,18,12.5,5
"Exam_2C_scores.csv",922729566,0,8.5,16,17.5,5
"Exam_2C_scores.csv",919487646,5,9,13,12.5,5
"Exam_2C_scores.csv",921746540,1,6,12,12.5,5
"Exam_2C_scores.csv",920587920,0,4,13,14.5,5
"Exam_2C_scores.csv",922659717,1,7,20,20,5
"Exam_2C_scores.csv",920990669,0,8,16,20,5
"Exam_2C_scores.csv",920771736,1,6.5,18,17.5,5
"Exam_2C_scores.csv",921916082,3,4,16,3,2.5
"Exam_2C_scores.csv",922737671,4,3,9,1,5
"Exam_2C_scores.csv",921859411,1,4,11,15.5,5
"Exam_2C_scores.csv",921850339,1,5,16,7,5
"Exam_2C_scores.csv",922209073,1,8,20,5.5,5
"Exam_2C_scores.csv",919226768,2,9,18,20,5
"Exam_2C_scores.csv",919309229,0,9.5,20,17.5,5
"Exam_2C_scores.csv",919484597,2,6.5,18,20,5
"Exam_2C_scores.csv",921144346,3,10,20,20,5
"Exam_2C_scores.csv",921073844,5,8,16,12.5,5
"Exam_2C_scores.csv",921936318,1,10,20,17.5,5
"Exam_2C_scores.csv",922086160,4,4,18,7.5,5
"Exam_2C_scores.csv",922159592,6,6.5,18,17.5,5
"Exam_2C_scores.csv",918029924,0,4,13,12.5,5
"Exam_2C_scores.csv",922270620,1,5.5,12,0,5
"Exam_2C_scores.csv",921681870,0,2,7,3,2.5
"Exam_2C_scores.csv",919695454,4,7,20,10,5
"Exam_2C_scores.csv",920876534,7,3.5,16,3,5
"Exam_2C_scores.csv",920693827,2,9,20,20,5
"Exam_2C_scores.csv",918739858,5,5,16,15,5
"Exam_2C_scores.csv",921939852,2,10,18,20,5
"Exam_2C_scores.csv",922026418,1,2,7,3,5
"Exam_2C_scores.csv",919902765,1,2,11,5.5,5
"Exam_2C_scores.csv",922395673,5,6,17,20,0
"Exam_2C_scores.csv",919186358,0,7.5,18,20,5
"Exam_2C_scores.csv",920810341,3,5.5,18,12.5,5
"Exam_2C_scores.csv",920105920,5,7,20,9.5,5
"Exam_2C_scores.csv",921828552,5,7,18,15,5
"Exam_2C_scores.csv",921993270,4,10,18,20,5
"Exam_2C_scores.csv",920879120,4,7,18,5.5,5
"Exam_2C_scores.csv",919407752,1,3.5,11,3,5
"Exam_2C_scores.csv",919860234,3,1.5,11,3,2.5
"Exam_2C_scores.csv",919870334,0,8.5,10,17.5,5
"Exam_2C_scores.csv",921173760,0,0,5,0,2.5
"Exam_2C_scores.csv",920504806,1,3,13,17.5,5
"Exam_2C_scores.csv",919975585,1,2,7,17.5,5
"Exam_2C_scores.csv",922199581,3,8,18,3,5
"Exam_2C_scores.csv",919586945,1,6,15,7.5,5
"Exam_2C_scores.csv",922259793,1,5,13,12.5,5
"Exam_2C_scores.csv",919927766,7,4.5,14,7,0
"Exam_2C_scores.csv",919571497,1,6.5,9,3,5
"Exam_2C_scores.csv",922273740,2,9,18,15,5
"Exam_2C_scores.csv",922009558,1,6,16,20,0
"Exam_2C_scores.csv",922388017,0,7,18,20,5
"Exam_2C_scores.csv",922639575,2,4,14,20,5
"Exam_2C_scores.csv",920978102,4,6,18,20,5
"Exam_2C_scores.csv",920513813,1,8,14,15,5
"Exam_2C_scores.csv",919223651,1,7,18,20,5
"Exam_2C_scores.csv",920985849,5,9,18,17.5,5
"Exam_2C_scores.csv",922393060,14,5,20,5.5,0
"Exam_2C_scores.csv",921168364,0,4,18,17.5,5
"Exam_2C_scores.csv",921083070,1,8,20,17.5,5
"Exam_2C_scores.csv",921096287,3,5.5,16,5.5,5
"Exam_2C_scores.csv",922131905,4,7.5,20,20,5
"Exam_2C_scores.csv",920672071,2,8,18,7,5
"Exam_2C_scores.csv",921139555,2,8,18,17.5,5
