"source","SID","views3","pv_def","pv_cv","confound","interpret"
"Exam_3B_scores.csv",921096818,0,9,12,10,3
"Exam_3B_scores.csv",921826114,3,8,13,15,3
"Exam_3B_scores.csv",920680636,1,9,2,5,2.5
"Exam_3B_scores.csv",921161345,3,10,16,7.5,3
"Exam_3B_scores.csv",918851859,0,10,16,15,2.5
"Exam_3B_scores.csv",920904370,2,10,9,15,3
"Exam_3B_scores.csv",922302718,1,10,11,5,2
"Exam_3B_scores.csv",919487646,3,10,16,5,5
"Exam_3B_scores.csv",918645625,0,10,18,15,5
"Exam_3B_scores.csv",919060827,0,9,16,5,2.5
"Exam_3B_scores.csv",922729566,0,9,13,2.5,5
"Exam_3B_scores.csv",921746540,0,10,15,10,2
"Exam_3B_scores.csv",921899125,2,10,15,15,1.5
"Exam_3B_scores.csv",922014022,2,7,9,15,3
"Exam_3B_scores.csv",922151383,8,9,16,15,3.5
"Exam_3B_scores.csv",922659717,2,9,9,15,3
"Exam_3B_scores.csv",920672071,2,8,13,10,2.5
"Exam_3B_scores.csv",921139555,1,9,16,15,5
"Exam_3B_scores.csv",922712984,0,9,20,15,4.5
"Exam_3B_scores.csv",920085435,3,10,13,15,2.5
"Exam_3B_scores.csv",918553872,0,10,15,15,1
"Exam_3B_scores.csv",918405988,0,8,2,15,3
"Exam_3B_scores.csv",921101910,1,8,15,15,3
"Exam_3B_scores.csv",921860594,0,10,14,10,2.5
"Exam_3B_scores.csv",922000269,5,10,14,15,3.5
"Exam_3B_scores.csv",920627893,1,10,15,15,3
"Exam_3B_scores.csv",920919640,2,8,14,10,4
"Exam_3B_scores.csv",920693827,1,10,11,5,3
"Exam_3B_scores.csv",922542581,1,9,18,10,1
"Exam_3B_scores.csv",918739858,5,10,16,15,3
"Exam_3B_scores.csv",921992679,1,8,16,10,4.5
"Exam_3B_scores.csv",922026418,3,0,6,5,0
"Exam_3B_scores.csv",919186358,0,10,20,15,5
"Exam_3B_scores.csv",921800318,3,8,18,7.5,3
"Exam_3B_scores.csv",922452930,4,10,16,5,2.5
"Exam_3B_scores.csv",919407752,2,7,14,5,3
"Exam_3B_scores.csv",919406397,1,10,16,12.5,3
"Exam_3B_scores.csv",919860234,3,6,0,5,3
"Exam_3B_scores.csv",919870334,0,6,5,7.5,3
"Exam_3B_scores.csv",920544277,0,9,15,15,2.5
"Exam_3B_scores.csv",919586945,1,7,13,12.5,3
"Exam_3B_scores.csv",919927766,5,9,14,10,2.5
"Exam_3B_scores.csv",919571497,2,7,11,7.5,3
"Exam_3B_scores.csv",919265240,0,8,13,15,4
"Exam_3B_scores.csv",922639575,1,9,13,5,3
"Exam_3B_scores.csv",922388017,1,8,14,5,3
"Exam_3B_scores.csv",922315394,1,10,18,15,3
"Exam_3B_scores.csv",920440054,1,9,16,5,3
"Exam_3B_scores.csv",919235636,4,9,9,5,1.5
"Exam_3B_scores.csv",921779287,1,8,13,5,0
"Exam_3B_scores.csv",920724178,0,9,16,5,3
"Exam_3B_scores.csv",918499774,2,7,13,15,1.5
"Exam_3B_scores.csv",921395179,4,9,13,15,2.5
"Exam_3B_scores.csv",922582486,5,6,0,7.5,2.5
"Exam_3B_scores.csv",920621886,3,9,13,15,2.5
"Exam_3B_scores.csv",921887629,4,8,13,10,3.5
"Exam_3B_scores.csv",922703537,1,10,18,15,3
"Exam_3B_scores.csv",922217175,0,10,13,10,1.5
"Exam_3B_scores.csv",922774171,0,10,16,15,2
"Exam_3B_scores.csv",920990669,0,10,18,15,2.5
"Exam_3B_scores.csv",921916082,3,10,13,12.5,2
"Exam_3B_scores.csv",920771736,1,9,11,15,3
"Exam_3B_scores.csv",919987780,0,6,15,15,4
"Exam_3B_scores.csv",921859411,2,6,11,10,2.5
"Exam_3B_scores.csv",921850339,5,10,18,5,1
"Exam_3B_scores.csv",919309229,0,10,18,10,3
"Exam_3B_scores.csv",922090347,11,8,11,15,5
"Exam_3B_scores.csv",918820958,4,8,9,5,2.5
"Exam_3B_scores.csv",921144346,2,10,20,15,4.5
"Exam_3B_scores.csv",921971535,1,10,18,15,3
"Exam_3B_scores.csv",916566421,0,8,11,10,3
"Exam_3B_scores.csv",919948871,0,9,0,7.5,1
"Exam_3B_scores.csv",918029924,0,3,6,7.5,1
"Exam_3B_scores.csv",921681870,0,6,4,5,1
"Exam_3B_scores.csv",921991201,1,10,18,15,3
"Exam_3B_scores.csv",919933828,4,9,18,15,5
"Exam_3B_scores.csv",920513813,2,10,16,15,3
"Exam_3B_scores.csv",922401143,3,9,14,7.5,3
"Exam_3B_scores.csv",920985849,2,10,13,15,2.5
"Exam_3B_scores.csv",921168364,0,7,13,10,1
"Exam_3B_scores.csv",921206268,0,8,9,10,1.5
"Exam_3B_scores.csv",922188657,1,9,0,7.5,2
"Exam_3B_scores.csv",921096287,5,9,6,7.5,2.5
"Exam_3B_scores.csv",921788278,2,0,11,5,3
"Exam_3B_scores.csv",922547007,1,10,15,7.5,4
"Exam_3B_scores.csv",922254183,6,10,13,15,2.5
"Exam_3B_scores.csv",922219416,4,7,10,5,1.5
"Exam_3B_scores.csv",922612893,3,9,16,7.5,2.5
"Exam_3B_scores.csv",920584509,2,10,18,15,2.5
"Exam_3B_scores.csv",922549270,0,9,16,15,3
"Exam_3B_scores.csv",920940622,0,9,9,7.5,1.5
"Exam_3B_scores.csv",922110272,5,10,13,15,4.5
"Exam_3B_scores.csv",921085861,0,9,12,15,1
"Exam_3B_scores.csv",919522996,1,9,13,15,2.5
"Exam_3B_scores.csv",919527577,5,10,7,10,3
"Exam_3B_scores.csv",922509197,8,9,13,15,3
"Exam_3B_scores.csv",922074952,1,8,13,15,3
"Exam_3B_scores.csv",918226853,8,8,9,15,2
"Exam_3B_scores.csv",922484982,2,10,16,12.5,4
"Exam_3B_scores.csv",921408574,2,9,0,5,3
"Exam_3B_scores.csv",921791456,10,9,13,10,3.5
"Exam_3B_scores.csv",922360792,0,0,0,5,1
"Exam_3B_scores.csv",922658048,11,9,5,15,2
"Exam_3B_scores.csv",922413995,4,9,11,7.5,3
"Exam_3B_scores.csv",922640483,10,10,11,15,3
"Exam_3B_scores.csv",919315323,6,10,16,15,2
"Exam_3B_scores.csv",922145399,4,10,11,15,5
"Exam_3B_scores.csv",922332791,1,8,0,12.5,3
"Exam_3B_scores.csv",921103769,2,7,11,15,4
"Exam_3B_scores.csv",920479520,0,10,18,15,2.5
"Exam_3B_scores.csv",922049686,0,10,18,15,2
"Exam_3B_scores.csv",922075799,3,7,13,15,2.5
"Exam_3B_scores.csv",920777808,3,10,13,15,3
"Exam_3B_scores.csv",921320717,1,10,13,15,3
"Exam_3B_scores.csv",922201259,1,10,20,15,3.5
"Exam_3B_scores.csv",921910017,2,10,18,15,4
"Exam_3B_scores.csv",920818479,0,7,13,15,4
"Exam_3B_scores.csv",921011217,0,7,16,15,2.5
"Exam_3B_scores.csv",919997453,2,10,17,15,4
"Exam_3B_scores.csv",922711943,0,8,18,15,3
"Exam_3B_scores.csv",921958710,0,10,13,15,2.5
"Exam_3B_scores.csv",922330777,4,10,14,15,2
"Exam_3B_scores.csv",920779686,4,8,7,2.5,1.5
"Exam_3B_scores.csv",922557110,1,9,18,15,3
"Exam_3B_scores.csv",921096850,2,5,0,7.5,2
"Exam_3B_scores.csv",919716168,4,8,13,15,3
"Exam_3B_scores.csv",918641946,1,8,13,10,3
"Exam_3B_scores.csv",921982621,0,0,9,15,3
"Exam_3B_scores.csv",922398489,5,10,18,15,4
"Exam_3B_scores.csv",919458701,3,6,14,10,3
"Exam_3B_scores.csv",922296963,6,10,18,12.5,4.5
"Exam_3B_scores.csv",922374241,0,8,16,12.5,2.5
"Exam_3B_scores.csv",919649109,2,9,18,15,5
"Exam_3B_scores.csv",921226002,1,10,13,12.5,3
"Exam_3B_scores.csv",922304606,0,8,8,12.5,1.5
"Exam_3B_scores.csv",922048056,1,10,9,15,3
"Exam_3B_scores.csv",922680906,3,9,9,12.5,3
"Exam_3B_scores.csv",922590821,1,10,11,15,4.5
"Exam_3B_scores.csv",920730191,6,10,13,15,3
"Exam_3B_scores.csv",921944643,14,10,15,12.5,3.5
"Exam_3B_scores.csv",921262561,5,7,14,15,3
"Exam_3B_scores.csv",921186058,1,10,16,15,4
"Exam_3B_scores.csv",921081425,1,9,10,15,3
"Exam_3B_scores.csv",920704981,1,8,11,12.5,2.5
"Exam_3B_scores.csv",921353807,0,10,0,10,3
"Exam_3B_scores.csv",922355396,5,10,13,15,2
"Exam_3B_scores.csv",920866780,2,10,16,15,4.5
"Exam_3B_scores.csv",919195255,1,5,0,5,2.5
"Exam_3B_scores.csv",919663253,1,9,16,5,3
"Exam_3B_scores.csv",919875669,2,7,0,12.5,2
"Exam_3B_scores.csv",922503151,0,9,10,5,1.5
"Exam_3B_scores.csv",919279948,1,7,11,5,1.5
"Exam_3B_scores.csv",921149396,2,3,12,5,2.5
"Exam_3B_scores.csv",920417799,4,9,11,15,1
"Exam_3B_scores.csv",920516140,1,8,16,15,3
"Exam_3B_scores.csv",920810341,2,9,16,7.5,2
"Exam_3B_scores.csv",921650555,3,9,0,7.5,1.5
"Exam_3B_scores.csv",918732101,4,5,14,15,3
"Exam_3B_scores.csv",922418424,3,8,16,15,4
"Exam_3B_scores.csv",920727340,3,8,14,12.5,3
"Exam_3B_scores.csv",922713970,0,6,13,5,3
"Exam_3B_scores.csv",922664922,3,8,20,15,3.5
"Exam_3B_scores.csv",922758252,1,9,20,15,1
"Exam_3B_scores.csv",922635388,4,6,9,15,3
"Exam_3B_scores.csv",919902765,2,7,11,7.5,0
"Exam_3B_scores.csv",920548998,2,9,14,7.5,3.5
"Exam_3B_scores.csv",922371367,4,0.5,2,7.5,1
"Exam_3B_scores.csv",922465011,3,10,18,5,3
"Exam_3B_scores.csv",922010628,5,8,15,7.5,4.5
"Exam_3B_scores.csv",922509692,5,7,14,15,3
"Exam_3B_scores.csv",921677017,2,10,16,10,3
