"source","SID","views4","ov_op","ov_cv","internal","confound","external"
"Exam_4A_scores.csv",921726531,1,7,0,5,4,10
"Exam_4A_scores.csv",922513484,0,7,0,0,6,10
"Exam_4A_scores.csv",919505117,0,7,10,0,10,10
"Exam_4A_scores.csv",921826114,1,10,10,2,6,10
"Exam_4A_scores.csv",921161345,1,10,10,3,10,10
"Exam_4A_scores.csv",918851859,0,9,3.5,5,8,10
"Exam_4A_scores.csv",996793395,10,7.5,3.5,10,3,10
"Exam_4A_scores.csv",920904370,1,10,9,4,7,10
"Exam_4A_scores.csv",921809623,0,10,0,6,3,10
"Exam_4A_scores.csv",922302718,1,9,3.5,7,4,10
"Exam_4A_scores.csv",919487646,3,10,10,8,3,10
"Exam_4A_scores.csv",918645625,4,9,8.5,6,10,10
"Exam_4A_scores.csv",922377701,4,8,7,10,10,10
"Exam_4A_scores.csv",919582509,2,10,1,2,3,10
"Exam_4A_scores.csv",922729566,0,10,8.5,0,6,9
"Exam_4A_scores.csv",922388017,0,10,10,9,6,10
"Exam_4A_scores.csv",921991201,1,9,10,7,8,10
"Exam_4A_scores.csv",920978102,3,8,5.5,5,8,10
"Exam_4A_scores.csv",920513813,0,10,6.5,6,8,10
"Exam_4A_scores.csv",921057967,0,10,4.5,4,6,10
"Exam_4A_scores.csv",920223433,1,10,7.5,10,1,10
"Exam_4A_scores.csv",919284438,4,10,10,7,9,10
"Exam_4A_scores.csv",922401143,1,8,7.5,3,6,10
"Exam_4A_scores.csv",919223651,1,9,9,10,10,10
"Exam_4A_scores.csv",920985849,0,9,10,4,10,10
"Exam_4A_scores.csv",922393060,2,9,9,10,6,10
"Exam_4A_scores.csv",921083070,1,10,10,7,10,10
"Exam_4A_scores.csv",921206268,0,7,4.5,7,3,3
"Exam_4A_scores.csv",921813729,2,10,10,5,10,10
"Exam_4A_scores.csv",921788278,2,10,10,0,6,10
"Exam_4A_scores.csv",922547007,1,7,9,10,8,10
"Exam_4A_scores.csv",922254183,8,9,9,6,8,9
"Exam_4A_scores.csv",922219416,3,7,2.5,0,3,10
"Exam_4A_scores.csv",922612893,1,7,9,3,6,10
"Exam_4A_scores.csv",919677692,0,10,7.5,2,6,5
"Exam_4A_scores.csv",919150397,2,10,10,10,8,9
"Exam_4A_scores.csv",922110272,4,7,4,8,5,10
"Exam_4A_scores.csv",920940622,0,7,0,0,10,10
"Exam_4A_scores.csv",920968798,0,10,5.5,10,6,10
"Exam_4A_scores.csv",919527577,5,8,10,0,8,9
"Exam_4A_scores.csv",921147929,3,10,6.5,9,5,10
"Exam_4A_scores.csv",922509197,8,10,10,5,10,10
"Exam_4A_scores.csv",921942771,4,10,10,2,6,10
"Exam_4A_scores.csv",919716168,4,9,9,7,10,10
"Exam_4A_scores.csv",922151383,6,10,10,10,10,10
"Exam_4A_scores.csv",920672071,2,7,0,3,8,10
"Exam_4A_scores.csv",922232176,3,10,8.5,6,8,10
"Exam_4A_scores.csv",922038040,4,10,10,4,10,10
"Exam_4A_scores.csv",921293365,2,8,0,3,3,10
"Exam_4A_scores.csv",920924952,0,7,5.5,8,9,6
"Exam_4A_scores.csv",922712984,0,9,10,7,6,10
"Exam_4A_scores.csv",920460131,2,10,8.5,2,10,10
"Exam_4A_scores.csv",920085435,3,7,7.5,10,10,10
"Exam_4A_scores.csv",920966884,1,7,0,0,6,8
"Exam_4A_scores.csv",918553872,0,9,0,0,6,10
"Exam_4A_scores.csv",921246273,3,7,2.5,0,8,10
"Exam_4A_scores.csv",921101910,0,7,10,2,10,10
"Exam_4A_scores.csv",921079903,0,10,9,7,10,10
"Exam_4A_scores.csv",920440054,1,9,10,2,10,10
"Exam_4A_scores.csv",919235636,5,8,10,0,0,10
"Exam_4A_scores.csv",918499774,1,8,10,8,10,10
"Exam_4A_scores.csv",922332021,4,8,5.5,0,2,10
"Exam_4A_scores.csv",921887629,4,1,5.5,5,9,10
"Exam_4A_scores.csv",922366068,6,9,7.5,4,0,10
"Exam_4A_scores.csv",922217175,1,9,0,0,0,10
"Exam_4A_scores.csv",921916082,3,10,10,0,0,10
"Exam_4A_scores.csv",919987780,0,10,7.5,3,7,10
"Exam_4A_scores.csv",919233214,3,7,0,2,3,10
"Exam_4A_scores.csv",921859411,1,7,4.5,3,3,10
"Exam_4A_scores.csv",920829976,4,10,10,10,4,10
"Exam_4A_scores.csv",922090347,10,8,6.5,8,7,10
"Exam_4A_scores.csv",921073844,3,9,10,7,3,10
"Exam_4A_scores.csv",921971535,1,10,8.5,9,8,10
"Exam_4A_scores.csv",916566421,0,6.5,3.5,5,7,10
"Exam_4A_scores.csv",921936318,2,8,8.5,10,9,10
"Exam_4A_scores.csv",919908989,3,10,9,6,8,10
"Exam_4A_scores.csv",920003572,2,10,6.5,3,8,10
"Exam_4A_scores.csv",919948871,2,1,0,4,5,10
"Exam_4A_scores.csv",918029924,0,7,0,4,6,10
"Exam_4A_scores.csv",921108421,1,7,0,2,3,10
"Exam_4A_scores.csv",920919640,2,10,10,7,10,10
"Exam_4A_scores.csv",919695454,7,9,6.5,10,10,10
"Exam_4A_scores.csv",918739858,4,10,10,5,10,10
"Exam_4A_scores.csv",921992679,2,10,7.5,8,9,10
"Exam_4A_scores.csv",921939852,1,10,10,10,10,10
"Exam_4A_scores.csv",920876534,4,10,4.5,2,1,10
"Exam_4A_scores.csv",922026418,0,4.5,0,0,2,5
"Exam_4A_scores.csv",920810341,4,7,6.5,3,8,10
"Exam_4A_scores.csv",921828552,8,3,6.5,2,10,10
"Exam_4A_scores.csv",921993270,2,10,10,5,8,10
"Exam_4A_scores.csv",920879120,1,5,6.5,1,9,10
"Exam_4A_scores.csv",919407752,0,7,3,3,5,10
"Exam_4A_scores.csv",919860234,3,7,6.5,7,3,7
"Exam_4A_scores.csv",920964637,1,7,5.5,9,10,10
"Exam_4A_scores.csv",919870334,1,6,5.5,6,3,10
"Exam_4A_scores.csv",922588150,2,10,10,10,10,10
"Exam_4A_scores.csv",920504806,2,9,7.5,5,5,6
"Exam_4A_scores.csv",919975585,2,4,0,5,6,10
"Exam_4A_scores.csv",921889452,1,9,7.5,8,10,10
"Exam_4A_scores.csv",916864262,0,3,0,0,10,10
"Exam_4A_scores.csv",919927766,4,10,6.5,7,10,10
"Exam_4A_scores.csv",922273740,1,10,5,8,7,10
"Exam_4A_scores.csv",919265240,1,9,10,10,10,10
"Exam_4A_scores.csv",919649675,0,10,8.5,10,10,10
"Exam_4A_scores.csv",919215850,2,10,10,10,7,10
"Exam_4A_scores.csv",919997453,2,9,10,10,6,10
"Exam_4A_scores.csv",922711943,0,10,10,7,10,10
"Exam_4A_scores.csv",920976052,0,10,10,2,6,10
"Exam_4A_scores.csv",920680636,1,10,0,1,9,10
"Exam_4A_scores.csv",921094234,1,9,9,0,9,10
"Exam_4A_scores.csv",922041464,0,8,3,0,5,10
"Exam_4A_scores.csv",919562383,1,10,8,10,10,10
"Exam_4A_scores.csv",920724592,1,8,10,9,8,10
"Exam_4A_scores.csv",921169680,2,10,10,1,5,10
"Exam_4A_scores.csv",921910017,2,9,10,3,10,10
"Exam_4A_scores.csv",920818479,0,3,3,4,6,10
"Exam_4A_scores.csv",922201259,1,8,10,5,8,10
"Exam_4A_scores.csv",919653179,4,7,5.5,10,4,10
"Exam_4A_scores.csv",919428171,0,9,10,8,10,10
"Exam_4A_scores.csv",922075799,2,8,8,9,7,10
"Exam_4A_scores.csv",921881450,0,10,7.5,6,7,10
"Exam_4A_scores.csv",917993611,0,10,10,10,8,10
"Exam_4A_scores.csv",922567870,2,10,10,10,10,10
"Exam_4A_scores.csv",922347139,3,8,8.5,8,10,10
"Exam_4A_scores.csv",922225358,1,9,6.5,3,7,10
"Exam_4A_scores.csv",922437751,2,10,10,10,10,10
"Exam_4A_scores.csv",919905908,4,10,4.5,10,8,10
"Exam_4A_scores.csv",920691735,0,7,3.5,5,5,10
"Exam_4A_scores.csv",920866162,1,7,10,10,10,10
"Exam_4A_scores.csv",921747112,0,9,6.5,7,8,10
"Exam_4A_scores.csv",920004937,5,10,7.5,2,8,10
"Exam_4A_scores.csv",922613038,3,9,5.5,0,6,10
"Exam_4A_scores.csv",922612440,3,10,8.5,8,9,10
"Exam_4A_scores.csv",922353796,0,7,8,2,3,10
"Exam_4A_scores.csv",921320717,1,8,6.5,7,8,10
"Exam_4A_scores.csv",920479520,0,9,10,5,7,10
"Exam_4A_scores.csv",922748055,0,9,10,2,6,10
"Exam_4A_scores.csv",921920861,0,10,10,6,6,8
"Exam_4A_scores.csv",922658048,6,10,10,3,8,10
"Exam_4A_scores.csv",919315323,1,7,10,5,10,10
"Exam_4A_scores.csv",920685107,3,8,10,6,3,10
"Exam_4A_scores.csv",922264267,1,10,10,10,10,10
"Exam_4A_scores.csv",922119435,0,10,8.5,10,8,10
"Exam_4A_scores.csv",919563353,0,4,5.5,2,4,10
"Exam_4A_scores.csv",919898992,3,8,10,0,6,10
"Exam_4A_scores.csv",919702101,0,2,0,5,2,10
"Exam_4A_scores.csv",920573769,2,3,2,4,7,10
"Exam_4A_scores.csv",920638853,2,8,5,0,8,10
"Exam_4A_scores.csv",920645176,1,7.5,8.5,10,8,10
"Exam_4A_scores.csv",921427173,0,0,6.5,5,5,5
"Exam_4A_scores.csv",920624948,1,8,10,3,10,10
"Exam_4A_scores.csv",919229969,2,8,7.5,6,8,10
"Exam_4A_scores.csv",922277733,0,6.5,10,9,9,10
"Exam_4A_scores.csv",922513976,3,9,7.5,7,6,10
"Exam_4A_scores.csv",922381182,0,1.5,5.5,3,5,10
"Exam_4A_scores.csv",921041258,1,10,3.5,7,6,10
"Exam_4A_scores.csv",921881984,3,10,7.5,10,8,10
"Exam_4A_scores.csv",920581764,1,7,10,10,0,10
"Exam_4A_scores.csv",920716115,3,9,7.5,0,6,9
"Exam_4A_scores.csv",922566538,1,10,10,7,4,10
"Exam_4A_scores.csv",921451602,3,8,6.5,7,9,10
"Exam_4A_scores.csv",922712421,18,1,10,6,7,10
"Exam_4A_scores.csv",921862767,0,7,4.5,3,4,10
"Exam_4A_scores.csv",920542619,0,9,10,7,6,3
"Exam_4A_scores.csv",921850957,1,9,10,10,10,10
"Exam_4A_scores.csv",920071999,6,8,6.5,3,10,10
"Exam_4A_scores.csv",920645354,2,8,7.5,1,5,10
"Exam_4A_scores.csv",920579132,1,6,3,0,6,10
"Exam_4A_scores.csv",921356817,4,10,8.5,5,9,10
"Exam_4A_scores.csv",921882556,1,0,0,5,5,8
"Exam_4A_scores.csv",922509692,0,9,10,6,10,8
"Exam_4A_scores.csv",921678058,1,9,10,7,10,10
"Exam_4A_scores.csv",920795958,1,2,3,5,4,8
"Exam_4A_scores.csv",922475687,0,4.5,8.5,10,6,10
"Exam_4A_scores.csv",922465011,1,9,8.5,10,10,10
"Exam_4A_scores.csv",920055106,0,3,0,7,9,10
"Exam_4A_scores.csv",921943660,3,10,9,0,8,10
"Exam_4A_scores.csv",921012863,1,10,8.5,4,7,10
"Exam_4A_scores.csv",921253541,2,10,8.5,5,7,10
"Exam_4A_scores.csv",920432473,4,10,10,5,10,10
"Exam_4A_scores.csv",921014023,2,9,10,7,8,10
"Exam_4A_scores.csv",921353807,0,7,4,1,6,10
"Exam_4A_scores.csv",919393060,1,10,3.5,3,3,10
"Exam_4A_scores.csv",921081425,2,10,10,10,7,10
"Exam_4A_scores.csv",920730191,0,10,7.5,9,8,10
"Exam_4A_scores.csv",922048056,3,8,10,7,7,10
"Exam_4A_scores.csv",920643068,2,8,6.5,10,7,7
"Exam_4A_scores.csv",922374241,1,8,8,7,10,10
"Exam_4A_scores.csv",922232901,1,8,10,10,9,10
"Exam_4A_scores.csv",922224168,1,10,10,10,8,10
"Exam_4A_scores.csv",918641946,0,4,4.5,4,6,10
"Exam_4A_scores.csv",920779686,4,10,7.5,3,7,10
"Exam_4A_scores.csv",919216969,3,7,7.5,10,6,10
"Exam_4A_scores.csv",920548998,1,7,10,9,10,10
"Exam_4A_scores.csv",922371367,4,3,2.5,7,7,10
