"source","SID","views5","ov_op","ov_cv","confound","internal","interpret","external"
"Exam_5A_scores.csv",922026418,0,0,0,0,10,2,0
"Exam_5A_scores.csv",922127676,1,8,10,10,10,6,8
"Exam_5A_scores.csv",922395673,1,8,8.5,0,10,8,10
"Exam_5A_scores.csv",919186358,0,8,4,10,10,8,8
"Exam_5A_scores.csv",921800318,0,8,10,10,7,4,9
"Exam_5A_scores.csv",919606854,0,6,10,10,9,1,10
"Exam_5A_scores.csv",920879120,0,8,7.5,10,0,2,8
"Exam_5A_scores.csv",919407752,0,7,9,10,0,2,10
"Exam_5A_scores.csv",922588150,1,8,10,10,10,6,10
"Exam_5A_scores.csv",919858000,1,8,8.5,8,0,6,8
"Exam_5A_scores.csv",920504806,0,5,7.5,10,5,6,10
"Exam_5A_scores.csv",922199581,0,5,5,10,0,7,8
"Exam_5A_scores.csv",921889452,0,8,4.5,10,10,6,10
"Exam_5A_scores.csv",916864262,0,7,1,0,10,2,10
"Exam_5A_scores.csv",919571497,0,6,8,0,0,4,10
"Exam_5A_scores.csv",919901753,0,0,0,0,5,3,10
"Exam_5A_scores.csv",921991201,1,9,7.5,10,10,8,10
"Exam_5A_scores.csv",922217269,0,6,6.5,0,0,1,8
"Exam_5A_scores.csv",921096818,0,0,8.5,7,4,8,9
"Exam_5A_scores.csv",920442395,0,9,10,10,7,8,10
"Exam_5A_scores.csv",922527904,0,9,7.5,10,7,7,8
"Exam_5A_scores.csv",921826114,0,8,7.5,10,4,6,10
"Exam_5A_scores.csv",921161345,1,7,10,7,4,6,10
"Exam_5A_scores.csv",996793395,0,6,3,0,5,6,10
"Exam_5A_scores.csv",920904370,0,7,7,10,0,4,10
"Exam_5A_scores.csv",922302718,0,8,5.5,10,5,6,10
"Exam_5A_scores.csv",920825666,0,5,10,10,0,3,8
"Exam_5A_scores.csv",919487646,0,6,6,10,10,6,10
"Exam_5A_scores.csv",918645625,0,8,7.5,10,10,6,10
"Exam_5A_scores.csv",922645611,1,9,6.5,10,5,6,8
"Exam_5A_scores.csv",921746540,0,8,10,0,5,4,10
"Exam_5A_scores.csv",919399019,0,8,4.5,10,5,4,10
"Exam_5A_scores.csv",921899125,0,5,8,0,10,6,10
"Exam_5A_scores.csv",920587920,0,8,6.5,10,5,4,8
"Exam_5A_scores.csv",922659717,0,9,8,7,10,10,10
"Exam_5A_scores.csv",920978102,1,6,6,10,10,10,10
"Exam_5A_scores.csv",920513813,0,6,4,10,5,4,8
"Exam_5A_scores.csv",919284438,2,9,7.5,10,10,6,10
"Exam_5A_scores.csv",919223651,0,7,10,10,10,10,10
"Exam_5A_scores.csv",920985849,0,9,10,10,10,4,10
"Exam_5A_scores.csv",922393060,1,9,10,10,10,10,10
"Exam_5A_scores.csv",921096287,0,7,7.5,10,10,4,8
"Exam_5A_scores.csv",921788278,3,8,5,10,0,1,10
"Exam_5A_scores.csv",922547007,1,9,7.5,0,10,6,10
"Exam_5A_scores.csv",922612893,0,8,3,7,5,6,8
"Exam_5A_scores.csv",922008643,2,7,6.5,10,6,6,10
"Exam_5A_scores.csv",920940622,0,6,6,9,10,10,10
"Exam_5A_scores.csv",921085861,1,8,10,10,0,2,10
"Exam_5A_scores.csv",919522996,0,8,9,10,5,4,8
"Exam_5A_scores.csv",920968798,0,8,5.5,10,10,4,10
"Exam_5A_scores.csv",919527577,2,7,10,10,10,10,10
"Exam_5A_scores.csv",921147929,0,9,5,10,10,10,10
"Exam_5A_scores.csv",922074952,0,6,10,10,10,6,10
"Exam_5A_scores.csv",918684424,0,4,5,0,10,4,10
"Exam_5A_scores.csv",918226853,0,9,10,10,10,10,8
"Exam_5A_scores.csv",922484982,0,8,10,10,3,6,10
"Exam_5A_scores.csv",922232176,0,6,10,0,10,6,8
"Exam_5A_scores.csv",921293365,0,3,1,0,10,2,10
"Exam_5A_scores.csv",918553872,0,7,6.5,10,0,10,10
"Exam_5A_scores.csv",922648621,0,8,6,10,10,6,8
"Exam_5A_scores.csv",921246273,1,8,7.5,10,5,4,10
"Exam_5A_scores.csv",921101910,0,8,10,0,10,10,10
"Exam_5A_scores.csv",922596401,2,8,10,10,10,4,10
"Exam_5A_scores.csv",922091906,0,9,7.5,10,10,8,10
"Exam_5A_scores.csv",921779287,0,8,9,10,10,6,10
"Exam_5A_scores.csv",920724178,0,6,6.5,10,5,0,10
"Exam_5A_scores.csv",922332021,0,6,4.5,10,0,4,0
"Exam_5A_scores.csv",921395179,1,8,9,10,10,10,10
"Exam_5A_scores.csv",920983540,0,8,8,0,0,4,10
"Exam_5A_scores.csv",919647114,0,8,6,7,10,4,10
