"SID","views1","h0","h1","pv_op","ov_op","claim_ex","interpret"
922527904,7,10,9,10,10,5,3
920442395,1,10,9,3,9,8,10
922513484,0,8,8,3,0,5,10
918851859,0,10,10,10,6.5,5,10
921809623,2,10,7,4,7.5,5,10
922645611,4,8,10,10,10,8,10
921079835,1,10,8,10,8,10,10
920904370,2,8,10,8,7,5,10
919582509,3,10,9,9,9,10,10
921103769,2,10,10,10,10,8,10
921139555,1,10,10,9.5,10,10,10
922332791,1,8,10,9,9,5,10
922145399,5,10,10,10,9,8,10
919898992,2,8,10,9,7.5,5,10
921887234,3,9,10,9,4.5,10,10
922014022,2,7,8,5,9,5,3
922038040,10,10,10,9.5,9,3,3
922232176,3,10,10,8,7,10,10
921293365,2,8,8,9,8,0,10
922748055,0,10,10,6,8,8,10
920966884,3,7,10,0,0.5,5,10
920085435,7,10,10,6,10,5,10
920924952,1,10,9,9.5,5.5,8,10
922378179,6,10,6,5,8.5,3,10
922712984,1,8,10,9,7,3,10
921900700,0,8,10,0,7,8,10
922726475,8,10,10,0,10,5,10
918405988,0,7,4,7,6.5,0,3
922648621,2,10,10,2,9,8,10
921885676,0,10,10,10,10,10,10
920440054,7,9,10,10,9.5,8,10
922332021,1,8,4,9,6,5,10
921246273,7,6,10,3,4,8,10
921101910,2,10,8,9,9,8,0
920724178,3,6,9,8,9.5,8,10
922596401,7,6,9,1,0,5,10
921041258,0,8,10,2,9,8,10
919235636,2,8,10,10,6.5,5,10
918510297,3,10,8,2,8,10,8.5
922315394,2,10,10,8,8,3,10
921079903,1,9,8,2,3,3,10
919647114,2,7,10,9,6,5,10
922582486,7,8,4,0,1,0,10
920486513,5,9,10,10,10,10,10
922217175,1,8,10,10,9,0,0
921916082,1,7,4,4,4,5,8.5
922401143,1,9,9,0,8,5,10
920990669,0,6,10,6,0,5,10
919987780,1,10,10,1,2,10,10
922737671,4,10,4,4.5,0,10,10
922209073,1,10,10,9,10,5,10
919226768,3,10,9,6,10,8,10
919908989,5,10,10,10,10,5,10
916566421,0,10,9,0,0,0,10
920003572,1,10,10,8.5,6,8,10
918029924,1,7,8,9,7,10,10
920962888,2,10,10,8.5,10,5,10
922090347,18,10,10,9,10,10,10
921678058,2,7,9,9.5,8.5,8,10
921144346,4,10,10,2,9,8,10
918820958,0,10,8,2,9,0,10
921971535,2,10,10,10,10,8,10
921073844,5,10,10,9,10,10,10
921860594,2,8,10,4.5,1,3,10
918739858,7,8,9,2,8,0,10
920693827,3,9,9,10,10,3,10
920627893,1,10,10,9,10,8,10
922558944,3,10,8,9,9,5,10
922026418,1,8,8,3,1,5,8.5
922395673,3,10,10,9,9.5,3,10
920587140,2,6,10,8.5,8,5,10
922127676,2,10,10,9.5,10,8,10
920876534,4,9,8,0,6,5,10
922352959,0,10,10,10,10,3,10
922452930,1,8,9,10,9,5,10
921800318,6,6,9,3,7.5,8,10
920810341,3,9,4,8.5,3,0,7
919606854,1,7,9,9,8.5,8,3
920879120,5,10,10,10,6.5,0,10
919406397,1,10,10,9,8,3,10
919975585,1,10,4,0,7,0,10
919860234,6,6,10,2,7,0,10
921173760,1,2,8,0,7.5,5,8.5
922009558,4,10,9,9,9,8,10
919927766,5,8,10,7.5,5,5,10
922206089,3,6,10,10,10,10,10
922259793,0,8,10,1,8,3,10
919571497,3,8,4,1,0,10,10
919265240,2,10,10,10,10,10,10
919586945,3,6,8,7.5,10,5,10
920978102,4,9,10,10,10,5,10
917159468,4,9,10,10,10,5,10
922639575,1,10,7,10,10,5,10
921057967,1,8,10,10,7.5,3,10
921991201,1,10,10,9,9,8,10
920004937,7,10,10,10,7,5,10
921096287,5,10,10,9.5,4.5,5,10
921788278,3,8,10,9,9,5,10
922613038,5,8,10,4.5,6,10,10
921168364,0,8,10,8,7,5,10
918058788,3,8,10,1,7.5,3,8.5
922547007,1,6,10,10,9,8,10
919897472,2,4,10,7.5,10,0,8.5
922219416,3,4,4,2,8,5,8.5
919677692,0,9,10,10,9,3,10
922008643,3,9,9,10,9,8,10
921147929,3,10,10,9.5,8.5,8,10
922110272,7,7,10,7,7,5,10
918226853,2,10,10,2.5,9,8,3
922296963,9,6,10,10,10,10,10
920816950,2,6,10,9,9,5,10
921791456,8,10,8,2.5,6,10,10
922810941,2,10,8,10,10,10,10
922292132,1,8,10,9,9.5,10,10
919060827,1,4,10,10,8.5,5,8.5
922421437,1,10,10,10,9,8,10
920997895,1,7,10,10,10,10,10
920082522,1,10,10,10,10,10,10
921034524,6,8,0,0,0,3,10
920559521,0,4,10,10,10,0,7
922420700,6,10,10,4.5,8.5,8,10
921803014,3,9.5,0,8.5,8,0,10
922511334,4,10,10,10,8.5,10,10
922725612,0,10,10,10,10,10,10
922761906,1,10,9,4,6.5,3,10
922160109,4,8,10,5,8,3,10
922720659,4,10,10,10,9.5,10,10
919665879,2,10,10,8.5,8.5,8,10
922319235,2,8,4,6,4,5,10
921877613,2,10,10,7.5,8,3,10
920581780,6,10,9,9.5,8.5,10,10
919883266,5,9,10,10,10,5,10
919305168,2,10,10,6,9,5,10
921674900,8,8,10,0,0,0,10
