"SID","views1","h0","h1","pv_op","ov_op","claim_ex","interpret"
919649675,7,10,10,10,10,8,5.5
922711943,0,10,10,10,10,5,8.5
921726531,2,8,7,9,7,0,7
921826114,2,10,8,9,10,10,5.5
920680636,7,10,10,1,1,10,0
921161345,1,10,10,10,10,8,7
922217269,2,8,4,4,0,5,7
919505117,1,8,6,9.5,9,8,7
921096818,1,8,8,0,0,0,5.5
920926552,3,10,6,10,10,10,7
918645625,0,8,9,10,9.5,5,3
922053805,1,10,6,7,3.5,10,5.5
921274229,0,10,10,10,10,8,8.5
996793395,1,8,6,10,9.5,5,7
919487646,5,10,10,8,7.5,5,7
921828552,4,9,10,5,0,5,7
922302718,2,10,9,9,7,5,7
922729566,0,10,8,8.5,9,3,7
922659717,0,10,10,10,10,8,8.5
922151383,11,10,10,10,7.5,8,5.5
921899125,3,10,4,0,8.5,8,5.5
921746540,1,8,8,7.5,9.5,5,7
922131905,7,10,10,1,9,3,7
920587920,3,10,9,8,8,5,7
919701319,3,10,10,6,5,0,5.5
920672071,2,9,9,3,9,5,7
922638835,1,8,9,9,10,8,7
922062016,1,8,10,7,9,8,7
920460131,0,9,9,9,4.5,5,7
918553872,0,9,10,7,8,5,7
922906444,0,4,9,10,10,10,7
920983540,7,8,10,2.5,0,5,7
921395179,6,9,9,8.5,10,5,0
918499774,0,8,10,6,3,5,7
922091906,1,10,10,10,9,10,7
921779287,1,9,6,2,8.5,5,7
920621886,4,10,9,7,8,10,7
922703537,3,10,10,10,8,3,7
921887629,2,9,9,2.5,7.5,3,7
921133412,2,10,10,8,6.5,10,5.5
922366068,5,8,10,2,8,5,5.5
922774171,0,10,10,10,9.5,8,7
920771736,2,9,9,6,8,8,7
920829976,4,8,9,7,8,9,7
919233214,4,10,10,8,1.5,5,5.5
919309229,1,10,10,10,10,8,7
921859411,3,10,10,0,0,5,5.5
921980131,2,10,10,8.5,9.5,10,7
920453151,7,10,10,8,8,10,7
921850339,1,10,10,8,8.5,3,5.5
919475069,0,8,6,10,7.5,0,0
919484597,3,9,8,10,6.5,8,7
922000269,5,10,10,8.5,8.5,10,7
922086160,5,8,10,9,9,8,7
919948871,2,2,6,1,0,5,5.5
921936318,1,10,10,10,10,10,7
922270620,1,10,10,1,2,10,7
922314890,3,9,10,4,4,10,5.5
921681870,0,8,8,0,0,5,5.5
918227292,3,9,10,2,8,10,5.5
922159592,8,10,10,6,10,0,5.5
922075317,0,10,10,4,8.5,10,8.5
921108421,0,10,10,9,9.5,5,7
919902765,4,10,10,0,0,5,7
919186358,0,10,10,7.5,7,8,7
920919640,2,10,10,10,10,3,5.5
919695454,6,10,10,6,0,2.5,7
921992679,2,10,10,10,8,8,8.5
922198757,9,10,10,7.5,8,8,5.5
921939852,4,10,10,10,8,3,5.5
920105920,2,9,9,10,9,8,7
921993270,4,9,9,4.5,4.5,0,7
919407752,1,9,6,7.5,2,8,0
919870334,2,8,10,9.5,10,0,7
919858000,3,10,10,10,9,8,8.5
920544277,2,8,8,0,0,8,5.5
922588150,5,10,10,8,9.5,3,7
921939195,2,10,8,8,9,10,7
922199581,1,4,6,10,9,0,7
916864262,0,8,8,8,8,5,7
922273740,0,10,10,8,9,10,6.5
921889452,2,8,10,7,1.5,8,5.5
919505573,1,10,10,8,9,3,7
919933828,4,10,10,8,10,8,7
922567870,7,10,10,10,10,10,7
920985849,2,10,10,8,10,8,5.5
919284438,5,10,10,8,10,8,5.5
922388017,1,8,10,8.5,8,8,7
919223651,1,10,10,10,8.5,10,5.5
920513813,4,10,10,10,9,10,7
918614504,2,8,9,6.5,8,5,0
922219047,0,2,7,0,0,5,5.5
921206268,1,10,10,4,0.5,0,7
921083070,1,10,10,10,9,3,7
922188657,0,8,10,9,8,0,8.5
922393060,4,8,10,10,7.5,5,7
921813729,4,10,10,9,9,8,7
922612893,5,9,7,7,8,5,5.5
919527577,5,10,10,9,9,8,7
920584509,6,10,10,10,9,8,5.5
922549270,0,10,10,8,10,8,10
919150397,5,9,9,9,8.5,5,7
920940622,3,9,8,8.5,7.5,5,7
922509197,6,8,10,9,9,0,7
921085861,0,9,10,8,9,8,8.5
919522996,1,10,9,8,8.5,2.5,7
920968798,0,8,10,10,10,5,7
922074952,1,10,10,7.5,10,3,5.5
922484982,3,10,10,9,7.5,8,7
919716168,6,8,10,10,9,10,5.5
921408574,2,10,10,10,9,5,0
918684424,0,10,10,9,9,5,5.5
