"SID","views1","h0","pv_op","ov_op","claim_ex","interpret"
920976052,0,8,4,8,8,10
919215850,0,10,9,7.25,5,0
921958710,0,10,7,8,5,10
919997453,4,8,6,8,5,10
922041464,0,10,5.5,8,5,10
918856249,0,10,7,7.5,10,10
919336360,0,10,4.5,8,8,10
919653179,9,8,6,8,10,10
921320717,1,10,10,10,10,10
921673176,4,10,7,8,5,8.5
920479520,0,10,8,10,5,10
921237635,3,10,8,8,10,10
922413995,3,8,5,8,5,0
919562383,2,10,8,10,10,10
920685107,3,10,6,9.25,10,10
920526347,2,10,6,10,10,10
919702101,1,10,5,9.25,7.5,10
919563353,0,10,1,6,5,10
921322799,3,10,6,7.25,10,10
922119435,3,8,6.5,6,10,0
920645176,3,10,6,7.25,10,10
919943928,1,10,10,9.25,10,10
919182116,0,8,5,7.25,10,10
921111557,3,10,6,8,10,10
921376017,2,8,5,7.25,5,10
919241617,9,8,6,7.25,10,0
919864256,2,10,7,6.25,10,10
922396711,1,10,6,9.25,10,10
921923677,0,0,5,7.25,5,10
919768349,0,10,3,5.25,8,10
922381182,4,10,6,7.25,5,0
920775787,3,8,4,3,5,0
922760677,2,10,4,8,10,5
922566538,3,8,6,0,10,10
921088392,5,10,2,7,5,10
920707823,2,10,8,4.25,10,10
920581764,4,10,8,7.25,10,10
921313371,1,10,7,7.25,10,10
920716115,3,10,2,6.25,10,10
921451602,2,10,7,6.25,5,10
920787869,0,10,8,7.25,5,10
920542619,0,10,6,8,5,10
920899731,2,10,7,9.25,7.5,10
920645354,4,10,9,7.25,10,10
921850957,7,10,7,8,10,10
920071999,1,10,8,8,10,10
920660876,4,10,6,7,5,10
922184677,2,8,10,10,10,10
921882556,1,10,9,10,10,10
922010628,3,10,4,8,5,10
921677017,1,10,8,7.25,10,10
922465011,7,10,3,6.25,10,10
922371367,3,10,3,2,8,0
921494083,5,4,4,3,5,10
922758252,1,4,4,7.25,10,10
922664922,6,10,9,10,10,10
922390270,0,8,2,0,5,10
922206296,2,10,3,7.25,10,3
919378687,2,10,6,7.25,5,10
919161247,2,10,5,6.25,5,10
920727340,4,8,10,10,7.5,6.5
921929710,0,10,7,4,10,10
922542581,0,10,4,7.25,5,10
920931877,1,8,7,6.75,5,10
921931821,10,10,10,10,10,10
922380248,3,10,10,6,5,10
922418424,4,10,3,7.25,5,10
920417799,2,8,1,3,10,0
922437175,3,10,4,3,7.5,10
922143281,2,10,3,7.25,10,10
919875669,3,10,1,4,5,5
919195255,3,10,2,4,10,3
920499610,0,10,3,8,8,10
920501430,1,10,1,8,5,10
918652647,0,0,2,6.25,5,10
919427114,4,10,9,9.25,10,10
921121657,8,10,8,4,5,10
921144511,0,10,7,10,10,10
921452533,3,10,8,7.25,10,10
921759074,1,10,9,7.25,10,10
922697517,0,8,1,7.25,10,0
919905908,7,10,3,0,10,10
921747112,1,10,5,7.25,10,10
920691735,1,10,4,5,5,10
922014365,1,10,7,2,5,10
920055106,1,10,3,4.25,10,10
921943660,5,8,8,7.25,10,10
920894707,3,10,4,7,10,10
922550007,3,10,5,7.25,10,10
919614370,1,10,6,6,5,10
921014023,3,10,9,7.25,10,10
922400814,1,10,6,7.25,10,3
922355396,3,10,9,8,5,10
921081425,4,10,6,7.25,10,10
920432473,2,10,6,8,10,10
921944643,13,10,6,7.25,10,10
922806191,0,10,4,7.25,10,10
922590821,1,10,7,7.25,10,10
920730191,3,10,2,6,8,7
921262561,10,10,8,5,10,10
922117796,0,10,5,5.25,5,10
919766930,0,10,2,2,5,5.5
922680906,3,10,8.5,7.25,10,10
922048056,4,10,8,10,10,10
922374241,2,8,5,4,10,3
921942771,7,10,7,7.25,7.5,10
918641946,1,8,2,2,5,10
919458701,4,10,3,7.25,10,10
922133754,3,8,3,3,5,10
921982621,1,10,5,3,10,10
921155487,6,10,4,3,5,10
922398489,9,10,7,6,5,10
919837924,0,8,5,4,5,10
920779686,4,10,8,10,5,10
921356817,2,10,10,10,5,10
921881984,1,10,2,7.25,5,10
921769938,6,10,5,7.25,10,10
