"SID","views1","h0","h1","pv_op","ov_op","claim_ex","interpret"
920841433,6,10,10,9,10,10,10
922330777,4,8,10,10,10,10,10
922651058,4,10,10,10,8,5,10
922496378,3,8,8,6,10,5,10
921094234,1,10,10,10,3,10,10
921011217,0,8,10,3,6,5,10
921169680,2,10,10,10,10,10,10
920724592,17,8,8,10,10,8,10
921910017,3,10,10,10,10,10,10
919428171,4,10,10,10,6,10,10
920777808,6,8,8,5,5,10,10
922049686,2,10,10,10,10,10,10
920770397,0,10,10,10,10,5,10
922075799,3,10,10,10,10,10,10
921793917,1,10,10,10,7,10,10
922640483,10,10,10,0,2,5,10
919315323,2,10,10,10,10,10,10
922658048,5,8,8,10,10,5,10
922264267,7,10,10,10,10,5,10
921180009,3,10,8,10,3,5,10
921920861,1,10,10,10,5.25,8,10
922360792,1,4,7,3,4.25,0,10
920960385,1,10,10,10,10,5,10
916378839,0,10,10,10,10,10,10
921972055,3,10,10,10,10,5,10
920579132,2,8,10,9,10,8,10
922475687,0,10,10,10,10,5,10
920795958,1,10,10,10,10,10,10
922509692,4,10,10,4,10,5,10
921229054,3,8,10,5,10,10,10
920548998,1,10,10,6,6.25,10,10
922068696,5,10,10,10,10,10,10
922198155,2,10,10,10,10,5,10
921286916,0,10,10,10,10,7.5,10
922713970,1,10,10,10,10,5,10
921295981,1,8,8,3,6,5,3
921650555,6,10,10,10,10,5,10
920767559,3,8,10,10,10,5,10
920516140,2,10,10,10,10,8,10
921160650,4,4,10,10,10,10,10
921149396,4,10,10,5,10,5,10
922513413,4,10,10,3,9,10,10
919279948,0,10,10,8,10,10,10
921305855,0,10,10,4,4,0,10
922503151,0,10,10,4,10,8,10
920964637,2,8,10,10,10,5,10
920866780,1,10,10,10,10,5,10
919663253,4,10,10,10,10,10,10
920596717,2,10,10,10,5.25,10,10
919953950,1,10,10,10,10,10,10
921284112,2,10,10,10,10,10,10
922017427,5,8,8,9,10,10,10
919246874,10,10,10,7,10,10,0
921890946,1,10,10,10,5.25,5,3
922607471,0,8,10,10,4.25,10,10
920595190,2,10,10,10,10,10,10
919509935,4,10,10,10,10,10,10
921881450,0,10,10,10,10,10,10
922225358,2,8,10,10,10,10,10
922347139,3,10,10,10,10,5,10
919552746,2,0,10,2,8.25,0,3
922437751,3,10,10,10,10,10,10
917993611,1,10,10,10,10,10,10
920223433,1,10,10,10,10,5,10
919660023,5,2,8,0,10,0,0
922661378,0,10,10,10,8,3,10
920866162,1,10,10,10,10,5,10
919215229,6,10,10,10,6,10,10
921012863,1,10,10,2,10,10,10
922353796,0,10,10,2,8,5,10
922612440,2,10,10,10,10,10,10
922202290,8,10,10,10,10,5,10
921253541,16,10,8,10,10,5,10
921353807,0,10,10,2,10,5,10
922254183,3,10,10,6,10,5,10
920704981,1,4,10,0,2.5,10,10
919393060,1,10,10,1,5,0,0
921186058,2,10,10,10,10,10,10
922304606,1,8,8,5,6.25,5,10
920643068,2,10,10,10,6.25,10,10
920925281,2,10,10,10,6.25,10,10
921226002,3,10,10,6,8,5,10
919399019,0,10,10,7,10,10,10
920573769,6,2,10,3,8,5,10
920638853,3,10,10,10,10,10,10
919896541,1,8,10,3,7.25,5,0
920624948,4,10,10,10,10,0,10
920725973,2,10,10,10,10,5,10
919229969,2,10,10,10,10,10,10
922513976,1,10,10,10,10,10,3
922386080,3,10,10,8,10,10,10
920076936,1,10,10,10,10,10,10
920803756,1,4,10,7,10,5,10
922342189,3,10,10,10,10,5,10
922477216,4,10,10,10,10,5,7
921870241,0,10,10,10,8,10,10
922389278,1,10,10,9,9.25,5,10
922712421,14,10,10,10,10,10,10
922275803,2,8,10,10,10,5,0
999365775,0,4,10,10,7,5,10
919649109,0,10,10,10,10,10,10
915162415,5,10,10,2,7.5,10,10
921807214,10,10,8,3.5,7,5,0
922224168,2,8,10,8,10,0,10
922250365,10,10,10,3,3,5,10
922007563,6,10,10,10,10,10,10
922457443,3,10,10,10,10,5,10
922232901,1,10,10,10,10,5,10
922454763,6,10,10,6.5,10,10,10
921096850,4,10,10,5,10,10,10
922557110,2,10,10,5,10,5,10
919216969,3,10,10,10,10,5,10
922017317,0,6,4,7,8,5,3
922277733,2,10,10,6,8,5,10
921911281,0,0,4,4,3,0,0
