"SID","views1","pv_op","pv_cv","interpret"
921726531,1,2,0,5
919649675,3,10,15,5
922513484,0,1,0,5
922527904,3,10,15,0
921826114,4,4,13,5
918851859,0,4,16,5
996793395,0,4,13,5
920825666,0,2,11,5
922377701,2,6,16,5
919582509,2,3,16,5
922053805,1,5,18,5
922729566,0,8.5,16,5
919487646,5,9,13,5
921746540,1,6,12,5
920587920,0,4,13,5
922659717,1,7,20,5
920990669,0,8,16,5
920771736,1,6.5,18,5
921916082,3,4,16,2.5
922737671,4,3,9,5
921859411,1,4,11,5
921850339,1,5,16,5
922209073,1,8,20,5
919226768,2,9,18,5
919309229,0,9.5,20,5
919484597,2,6.5,18,5
921144346,3,10,20,5
921073844,5,8,16,5
921936318,1,10,20,5
922086160,4,4,18,5
922159592,6,6.5,18,5
918029924,0,4,13,5
922270620,1,5.5,12,5
921681870,0,2,7,2.5
919695454,4,7,20,5
920876534,7,3.5,16,5
920693827,2,9,20,5
918739858,5,5,16,5
921939852,2,10,18,5
922026418,1,2,7,5
919902765,1,2,11,5
922395673,5,6,17,0
919186358,0,7.5,18,5
920810341,3,5.5,18,5
920105920,5,7,20,5
921828552,5,7,18,5
921993270,4,10,18,5
920879120,4,7,18,5
919407752,1,3.5,11,5
919860234,3,1.5,11,2.5
919870334,0,8.5,10,5
921173760,0,0,5,2.5
920504806,1,3,13,5
919975585,1,2,7,5
922199581,3,8,18,5
919586945,1,6,15,5
922259793,1,5,13,5
919927766,7,4.5,14,0
919571497,1,6.5,9,5
922273740,2,9,18,5
922009558,1,6,16,0
922388017,0,7,18,5
922639575,2,4,14,5
920978102,4,6,18,5
920513813,1,8,14,5
919223651,1,7,18,5
920985849,5,9,18,5
922393060,14,5,20,0
921168364,0,4,18,5
921083070,1,8,20,5
921096287,3,5.5,16,5
922131905,4,7.5,20,5
920672071,2,8,18,5
921139555,2,8,18,5
922638835,0,7.5,18,0
920085435,11,7,18,0
920966884,2,0,8,5
922712984,0,7.5,20,5
920460131,1,4,14,5
921246273,4,8.5,14,5
921101910,3,5,16,5
922596401,6,5,14,5
921887234,3,8,18,5
921079903,0,8.5,14,5
922091906,1,4,18,5
922315394,1,8,20,5
920440054,3,7,18,5
919235636,2,9.5,16,0
