"SID","views1","pv_def","pv_cv","internal2","interpret"
921096818,0,9,12,10,3
921826114,3,8,13,15,3
920680636,1,9,2,5,2.5
921161345,3,10,16,7.5,3
918851859,0,10,16,15,2.5
920904370,2,10,9,15,3
922302718,1,10,11,5,2
919487646,3,10,16,5,5
918645625,0,10,18,15,5
919060827,0,9,16,5,2.5
922729566,0,9,13,2.5,5
921746540,0,10,15,10,2
921899125,2,10,15,15,1.5
922014022,2,7,9,15,3
922151383,8,9,16,15,3.5
922659717,2,9,9,15,3
920672071,2,8,13,10,2.5
921139555,1,9,16,15,5
922712984,0,9,20,15,4.5
920085435,3,10,13,15,2.5
918553872,0,10,15,15,1
918405988,0,8,2,15,3
921101910,1,8,15,15,3
921860594,0,10,14,10,2.5
922000269,5,10,14,15,3.5
920627893,1,10,15,15,3
920919640,2,8,14,10,4
920693827,1,10,11,5,3
922542581,1,9,18,10,1
918739858,5,10,16,15,3
921992679,1,8,16,10,4.5
922026418,3,0,6,5,0
919186358,0,10,20,15,5
921800318,3,8,18,7.5,3
922452930,4,10,16,5,2.5
919407752,2,7,14,5,3
919406397,1,10,16,12.5,3
919860234,3,6,0,5,3
919870334,0,6,5,7.5,3
920544277,0,9,15,15,2.5
919586945,1,7,13,12.5,3
919927766,5,9,14,10,2.5
919571497,2,7,11,7.5,3
919265240,0,8,13,15,4
922639575,1,9,13,5,3
922388017,1,8,14,5,3
922315394,1,10,18,15,3
920440054,1,9,16,5,3
919235636,4,9,9,5,1.5
921779287,1,8,13,5,0
920724178,0,9,16,5,3
918499774,2,7,13,15,1.5
921395179,4,9,13,15,2.5
922582486,5,6,0,7.5,2.5
920621886,3,9,13,15,2.5
921887629,4,8,13,10,3.5
922703537,1,10,18,15,3
922217175,0,10,13,10,1.5
922774171,0,10,16,15,2
920990669,0,10,18,15,2.5
921916082,3,10,13,12.5,2
920771736,1,9,11,15,3
919987780,0,6,15,15,4
921859411,2,6,11,10,2.5
921850339,5,10,18,5,1
919309229,0,10,18,10,3
922090347,11,8,11,15,5
918820958,4,8,9,5,2.5
921144346,2,10,20,15,4.5
921971535,1,10,18,15,3
916566421,0,8,11,10,3
919948871,0,9,0,7.5,1
918029924,0,3,6,7.5,1
921681870,0,6,4,5,1
921991201,1,10,18,15,3
919933828,4,9,18,15,5
920513813,2,10,16,15,3
922401143,3,9,14,7.5,3
920985849,2,10,13,15,2.5
921168364,0,7,13,10,1
921206268,0,8,9,10,1.5
922188657,1,9,0,7.5,2
921096287,5,9,6,7.5,2.5
921788278,2,0,11,5,3
922547007,1,10,15,7.5,4
922254183,6,10,13,15,2.5
922219416,4,7,10,5,1.5
922612893,3,9,16,7.5,2.5
920584509,2,10,18,15,2.5
922549270,0,9,16,15,3
920940622,0,9,9,7.5,1.5
922110272,5,10,13,15,4.5
921085861,0,9,12,15,1
919522996,1,9,13,15,2.5
919527577,5,10,7,10,3
922509197,8,9,13,15,3
922074952,1,8,13,15,3
918226853,8,8,9,15,2
922484982,2,10,16,12.5,4
921408574,2,9,0,5,3
921791456,10,9,13,10,3.5
922360792,0,0,0,5,1
922658048,11,9,5,15,2
922413995,4,9,11,7.5,3
922640483,10,10,11,15,3
919315323,6,10,16,15,2
922145399,4,10,11,15,5
922332791,1,8,0,12.5,3
921103769,2,7,11,15,4
920479520,0,10,18,15,2.5
922049686,0,10,18,15,2
922075799,3,7,13,15,2.5
920777808,3,10,13,15,3
921320717,1,10,13,15,3
922201259,1,10,20,15,3.5
921910017,2,10,18,15,4
920818479,0,7,13,15,4
921011217,0,7,16,15,2.5
919997453,2,10,17,15,4
922711943,0,8,18,15,3
921958710,0,10,13,15,2.5
922330777,4,10,14,15,2
920779686,4,8,7,2.5,1.5
922557110,1,9,18,15,3
921096850,2,5,0,7.5,2
919716168,4,8,13,15,3
918641946,1,8,13,10,3
921982621,0,0,9,15,3
922398489,5,10,18,15,4
919458701,3,6,14,10,3
922296963,6,10,18,12.5,4.5
922374241,0,8,16,12.5,2.5
919649109,2,9,18,15,5
921226002,1,10,13,12.5,3
922304606,0,8,8,12.5,1.5
922048056,1,10,9,15,3
922680906,3,9,9,12.5,3
922590821,1,10,11,15,4.5
920730191,6,10,13,15,3
921944643,14,10,15,12.5,3.5
921262561,5,7,14,15,3
921186058,1,10,16,15,4
921081425,1,9,10,15,3
920704981,1,8,11,12.5,2.5
921353807,0,10,0,10,3
922355396,5,10,13,15,2
920866780,2,10,16,15,4.5
919195255,1,5,0,5,2.5
919663253,1,9,16,5,3
919875669,2,7,0,12.5,2
922503151,0,9,10,5,1.5
919279948,1,7,11,5,1.5
921149396,2,3,12,5,2.5
920417799,4,9,11,15,1
920516140,1,8,16,15,3
920810341,2,9,16,7.5,2
921650555,3,9,0,7.5,1.5
918732101,4,5,14,15,3
922418424,3,8,16,15,4
920727340,3,8,14,12.5,3
922713970,0,6,13,5,3
922664922,3,8,20,15,3.5
922758252,1,9,20,15,1
922635388,4,6,9,15,3
919902765,2,7,11,7.5,0
920548998,2,9,14,7.5,3.5
922371367,4,0.5,2,7.5,1
922465011,3,10,18,5,3
922010628,5,8,15,7.5,4.5
922509692,5,7,14,15,3
921677017,2,10,16,10,3
921882556,0,10,9,7.5,4
920795958,1,10,13,15,3
920071999,3,10,14,15,2
921850957,5,10,20,15,5
920899731,3,3,13,12.5,3
921451602,1,8,16,7.5,2.5
920787869,0,9,13,15,3
920581764,1,9,20,15,5
920716115,4,8,14,15,1.5
921133412,3,6,13,12.5,4
921881984,3,10,16,7.5,3
922381182,2,6,0,15,1.5
922513976,3,8,18,10,1.5
920803756,1,3,18,7.5,1.5
920775787,2,7,12,7.5,1.5
920076936,2,7,16,10,3
922017317,1,7,13,7.5,1.5
922396711,13,7,13,10,3.5
920725973,0,10,12,10,1.5
