"SID","views1","pv_def","pv_cv","internal2","interpret"
921083070,8,10,12,10,5
922219047,0,7,4,0,2
921813729,2,6,14,10,4
918058788,2,9,16,5,3
919897472,1,10,16,5,3
919150397,1,10,20,15,3
922008643,5,10,16,5,3
920968798,0,9,16,12.5,4
921147929,5,9,9,15,3
920816950,3,10,20,15,2
922810941,1,8,16,15,5
922292132,0,10,12,12.5,4
922232176,1,10,18,15,4
919898992,1,6,8,5,4
922038040,5,10,20,15,4
921293365,2,8,2,7.5,1
920924952,0,7,16,15,5
922378179,7,10,2,15,3
922726475,5,10,2,7.5,3
920966884,1,0,7,0,3
922062016,1,10,16,15,5
922420700,3,7,14,15,3
922648621,1,10,6,15,4
922906444,0,9,2,0,2
921246273,2,10,18,15,2
922596401,7,8,2,7.5,2
922091906,1,10,16,15,4
921885676,1,10,18,15,3
918510297,2,10,16,12.5,2
922332021,0,10,7,5,2
920983540,4,9,9,10,3
919647114,1,8,6,0,2
921726531,0,10,0,15,3
922217269,0,5,12,2.5,2
922513484,0,9,0,7.5,3
920442395,0,9,16,15,4
919505117,0,7,14,0,5
922133301,4,3,0,15,3
922527904,4,9,20,5,5
996793395,2,10,8,7.5,3
921809623,0,7,16,12.5,3
920825666,0,7,18,5,3
920926552,1,10,20,15,5
922377701,2,8,18,15,3
922645611,2,10,20,7.5,5
919582509,3,4,14,7.5,3
921079835,1,9,20,12.5,5
922053805,2,8,16,5,3
920587920,0,4,10,0,2
921887234,3,9,8,7.5,3
919701319,0,0,12,0,3
922131905,4,10,18,15,5
920931877,0,9,18,15,5
922127676,4,7,16,15,5
922395673,3,7,2,0,5
921939852,2,9,20,15,4
919606854,8,8,2,15,3
920105920,5,9,7,0,3
921828552,7,7,10,5,3
920879120,2,10,18,0,2
919858000,5,10,20,7.5,5
922588150,2,10,18,15,4
920504806,2,10,18,15,3
919975585,1,8,2,15,2
921889452,0,9,2,0,4
919505573,3,10,14,0,2
922259793,0,9,8,5,3
916864262,0,10,8,7.5,2
920661765,0,3,0,0,2
922273740,0,10,18,15,2
922009558,1,8,8,0,4
919872439,3,1.5,8,0,2
920978102,4,7,16,15,0
919284438,6,10,18,15,4
919223651,1,9,19,15,3
922393060,2,10,20,15,4
918614504,1,6,8,0,3
920486513,3,8,13,15,5
922366068,6,10,18,15,3
922163290,1,9,10,7.5,3
921862767,0,2,7,12.5,3
