"SID","views1","ov_op","ov_cv","internal","cofound","external"
922378179,2,10,9,10,10,10
922726475,7,3,5.5,10,0,10
922648621,2,7,7,5,10,7
918405988,0,5,0,5,1,9
922596401,9,10,6,4,0,10
922091906,2,9,7.5,5,10,10
922315394,1,10,10,10,10,10
918510297,3,6,1.5,10,0,6
921779287,2,9,10,3,6,10
920724178,1,9,9,3,6,6
921395179,2,9,9,6,1,5
920983540,2,9,6.5,3,1,10
919647114,0,10,5.5,10,6,10
922582486,5,6,10,2,10,0
920621886,2,10,8,10,1,8
920486513,0,10,9,9,0,7
922703537,1,10,10,10,10,7
922163290,1,9,10,10,8,7
922774171,0,10,10,10,10,10
922217269,0,8,10,2,6,10
921096818,0,9,8,5,10,0
920442395,1,10,9,0,10,10
922527904,7,10,9,10,10,9
920825666,0,9,9,6,0,10
920926552,1,10,10,10,10,10
922053805,2,10,10,2,10,9
922645611,2,10,7.5,5,10,10
919060827,0,7,3.5,5,8,7
921746540,1,4,10,0,10,10
919399019,1,0,5.5,5,0,10
921899125,1,8,8,5,1,10
920587920,1,9,5.5,2,10,10
922014022,0,7,10,10,10,10
921887234,7,9,10,3,8,8
922659717,1,10,9,10,10,10
922131905,3,10,10,9,10,10
921139555,3,8,10,8,10,10
922352959,0,10,9,5,10,10
922198757,7,9,9,10,1,9
920627893,2,9,8,10,8,9
920693827,0,10,8,6,10,7
919902765,6,5,5.5,4,10,10
922127676,1,9,10,4,10,10
922395673,4,10,9,8,10,9
919186358,0,10,10,8,8,10
921800318,1,5,1,8,8,10
919606854,1,9,10,8,8,10
920105920,5,10,7,10,10,9
922452930,5,9,9,6,10,5
919406397,1,9,10,2,10,10
920544277,0,3,3.5,7,3,0
921079835,1,9,10,3,10,8
919858000,3,8,9,10,6,9
922199581,3,5,6.5,0,3,8
919586945,2,9,9,4,10,10
919505573,1,2,0,3,10,9
922259793,0,7,3.5,3,8,8
919571497,1,5,0,5,0,0
922009558,1,9,10,10,10,10
919901753,0,3,10,2,3,10
922639575,1,10,10,2,8,10
919933828,2,10,9,10,10,10
921168364,0,5,6.5,6,10,10
918614504,1,4,0,2,1,0
922219047,0,5,0,2,1,9
921096287,1,7,4.5,6,5,0
918058788,2,8,0,10,10,6
919897472,5,7,7,3,8,10
921085861,0,7,10,2,1,9
920584509,2,10,10,10,10,10
922549270,0,9,10,10,10,10
922008643,5,10,10,3,1,10
919522996,0,10,9,10,1,10
922074952,1,10,10,10,10,10
920816950,6,7,8,5,8,8
918684424,0,8,7.5,10,1,10
918226853,3,10,7.5,6,8,10
922810941,1,10,8,6,10,10
922484982,2,9,3.5,10,3,10
921791456,4,4,5.5,9,3,10
920990669,1,8,10,5,1,10
920771736,2,10,10,10,7,10
922062016,1,10,8,10,1,10
922737671,2,7,5.5,2,10,6
921850339,2,10,10,8,10,10
922209073,1,9,7.5,10,10,10
921980131,1,10,4.5,8,10,10
919226768,1,10,8,10,10,10
919309229,0,9,10,10,10,10
920453151,2,10,10,6,10,10
921144346,2,10,10,7,10,10
919484597,2,10,10,6,1,0
918820958,0,9,9,2,10,7
918227292,3,10,10,5,10,9
922314890,1,9,1,1,8,4
922159592,4,9,10,10,10,10
922086160,2,9,10,8,5,10
922270620,1,9,6.5,8,10,6
921681870,0,0,0,0,0,4
920962888,0,8,10,3,8,10
921860594,0,7,4.5,2,10,9
922000269,5,10,9,3,1,8
922558944,1,10,10,10,10,9
920841433,5,8,2.5,8,1,7
918856249,0,9,10,6,10,0
922330777,2,10,10,10,10,10
922496378,5,7,7.5,0,1,0
921958710,0,9,7.5,6,3,8
921011217,0,10,10,10,10,10
922133301,2,8,7.5,10,10,8
922651058,4,10,8,6,6,10
919336360,0,10,7.5,6,1,0
921376017,4,7.5,7,9,10,10
922635388,3,10,10,10,10,10
921237635,2,10,10,6,10,10
921673176,2,7,6.5,2,10,0
920777808,2,6,5.5,1,5,0
920770397,0,10,10,10,10,10
922049686,1,9,10,10,10,10
921793917,1,9,10,6,10,10
921103769,1,7,10,4,10,10
922640483,10,10,3.5,7,0,0
921911281,0,5,0,0,1,6
921286916,2,10,8,10,3,10
