"SID","views1","ov_op","ov_cv","interpretation"
922026418,0,0,0,2
922127676,1,8,10,6
922395673,1,8,8.5,8
919186358,0,8,4,8
921800318,0,8,10,4
919606854,0,6,10,1
920879120,0,8,7.5,2
919407752,0,7,9,2
922588150,1,8,10,6
919858000,1,8,8.5,6
920504806,0,5,7.5,6
922199581,0,5,5,7
921889452,0,8,4.5,6
916864262,0,7,1,2
919571497,0,6,8,4
919901753,0,0,0,3
921991201,1,9,7.5,8
922217269,0,6,6.5,1
921096818,0,0,8.5,8
920442395,0,9,10,8
922527904,0,9,7.5,7
921826114,0,8,7.5,6
921161345,1,7,10,6
996793395,0,6,3,6
920904370,0,7,7,4
922302718,0,8,5.5,6
920825666,0,5,10,3
919487646,0,6,6,6
918645625,0,8,7.5,6
922645611,1,9,6.5,6
921746540,0,8,10,4
919399019,0,8,4.5,4
921899125,0,5,8,6
920587920,0,8,6.5,4
922659717,0,9,8,10
920978102,1,6,6,10
920513813,0,6,4,4
919284438,2,9,7.5,6
919223651,0,7,10,10
920985849,0,9,10,4
922393060,1,9,10,10
921096287,0,7,7.5,4
921788278,3,8,5,1
922547007,1,9,7.5,6
922612893,0,8,3,6
922008643,2,7,6.5,6
920940622,0,6,6,10
921085861,1,8,10,2
919522996,0,8,9,4
920968798,0,8,5.5,4
919527577,2,7,10,10
921147929,0,9,5,10
922074952,0,6,10,6
918684424,0,4,5,4
918226853,0,9,10,10
922484982,0,8,10,6
922232176,0,6,10,6
921293365,0,3,1,2
918553872,0,7,6.5,10
922648621,0,8,6,6
921246273,1,8,7.5,4
921101910,0,8,10,10
922596401,2,8,10,4
922091906,0,9,7.5,8
921779287,0,8,9,6
920724178,0,6,6.5,0
922332021,0,6,4.5,4
921395179,1,8,9,10
920983540,0,8,8,4
919647114,0,8,6,4
922582486,1,5,4,2
921887629,1,8,7.5,10
922366068,0,6,6,6
920990669,0,6,10,6
920771736,0,7,10,6
921916082,1,6,5.5,6
919233214,0,0,0,4
919475069,0,0,0,4
921850339,0,8,7.5,3
922209073,1,8,10,6
921980131,0,9,10,10
919226768,0,6,10,10
920453151,0,9,10,7
919309229,0,9,10,10
922090347,6,7,10,10
921144346,1,9,10,10
916566421,0,6,7.5,4
918227292,0,8,7.5,6
921936318,0,9,9,6
922086160,3,9,10,6
919948871,0,4,5,6
921108421,0,8,9,4
921681870,0,0,4,2
921860594,0,6,5,6
922000269,1,9,10,10
922558944,2,9,10,10
919695454,2,8,10,10
920627893,1,6,1,10
920876534,0,5,6.5,4
920587140,0,6,3,4
921992679,0,9,9,8
922557110,0,7,10,10
921096850,1,5,0,4
922292132,0,8,4.5,6
922133754,1,6,10,10
922398489,1,9,10,10
922250365,1,9,10,10
922304606,0,0,6.5,4
922048056,1,9,7.5,6
920730191,0,8,6.5,10
920643068,1,9,10,10
921944643,7,8,6.5,10
921262561,1,9,0,10
921186058,1,8,7.5,10
920704981,0,7,1,4
920432473,2,8,7.5,10
921353807,0,8,1,4
