"SID","views1","ov_op","ov_cv","internal","interpretation"
922549270,0,6,10,10,7
919150397,0,8,10,10,10
922110272,1,10,10,10,10
922509197,1,9,10,10,10
921942771,0,10,10,10,8
919716168,0,6,10,10,7
922810941,0,9,10,10,10
920816950,0,9,10,10,7
922296963,0,9,10,10,8
921408574,0,9,10,10,7
921791456,3,7,10,10,8
921726531,0,0,10,10,5
919505117,0,8,10,10,10
918851859,0,5,10,10,10
921809623,0,4,10,10,5
920926552,1,6,10,10,9
922377701,2,7,10,10,8
919582509,0,8,10,10,8
922053805,0,6,10,10,10
922729566,0,8,10,10,8
921079835,0,8,10,10,8
921887234,3,7,10,10,9
922151383,1,8,10,10,9
922014022,0,8,10,10,9
922748055,0,7,10,10,6
922131905,3,8,9,10,8
920672071,0,5,9,10,5
919898992,1,8,10,10,9
921139555,0,9,10,10,9
922638835,0,7,10,10,8
920924952,0,8,10,10,8
922712984,0,6,7,10,6
920460131,1,6,10,10,9
922378179,2,8,10,10,10
922726475,0,9,8.5,8,2
920966884,1,0,5,10,2
921079903,0,8,10,10,10
922315394,0,8,10,10,8
920440054,0,7,10,10,0
919235636,0,7,10,10,6
921885676,0,8,10,10,8
921041258,0,8,10,10,5
918499774,0,8,10,10,6
920621886,0,8,10,10,8
922703537,0,8,10,10,8
922163290,1,8,10,10,6
922217175,0,7,5.5,9,6
922774171,0,8,10,10,9
919987780,0,6,10,10,5
922737671,0,0,10,10,5
922062016,0,9,10,10,10
920829976,3,9,10,10,8
919484597,2,9,10,10,6
921073844,3,6,10,10,9
921971535,0,8,10,10,10
919908989,1,8,10,10,8
922314890,0,0,10,10,5
920003572,0,8,10,10,6
922075317,0,7,10,10,6
922159592,0,9,10,10,7
918029924,0,6,9,10,5
922270620,0,8,10,10,3
920962888,0,7,10,10,10
922352959,0,9,10,9,8
922009558,1,9,10,10,9
922388017,0,7,10,10,8
922639575,0,6,10,10,5
919933828,0,9,10,10,10
921057967,0,8,10,10,5
922401143,2,6,10,10,9
921168364,0,6,10,10,6
918614504,0,8,10,10,5
921083070,0,10,10,10,8
921206268,0,4,6.5,10,0
922219047,0,4,10,10,5
922188657,1,8,10,10,8
921813729,1,9,10,10,10
918058788,0,0,10,8,7
922219416,1,9,10,10,5
919897472,0,6,10,10,8
922254183,2,8,10,10,8
920584509,0,8,10,10,5
920919640,1,8,10,10,6
922198757,1,7,10,10,9
920693827,0,8,10,10,6
921939852,1,7,10,10,9
919902765,2,4,7,10,4
920810341,0,7,10,10,8
921828552,1,1,10,10,6
921993270,0,9,10,10,10
922452930,0,9,8,10,9
919860234,1,6,7,10,5
919870334,0,6,10,8,7
920544277,0,4,10,10,5
921173760,0,4,10,10,2
919975585,0,7,10,0,6
919586945,0,6,10,8,6
919505573,0,7,9.5,10,6
922259793,0,6,10,6,4
919927766,1,8,10,10,9
922273740,0,9,10,10,3
919265240,0,6,10,10,7
922640483,5,9,10,10,5
920479520,0,6,10,10,7
919241617,1,8,10,10,8
921673176,1,4,9,10,6
920777808,1,5,10,10,5
921169680,1,9,10,10,10
920724592,0,8,10,10,9
921094234,0,8,10,10,8
922041464,0,4,10,10,0
922711943,0,8,10,10,10
921958710,0,8,10,10,7
922496378,1,4,10,10,5
922651058,2,8,7.5,8,3
919649675,0,9,10,10,10
918856249,0,8,10,10,6
919837924,1,4,5,10,4
920779686,1,8,10,10,8
919216969,1,6,10,10,8
919458701,1,4,10,10,9
918641946,0,4,10,10,0
922224168,3,9,10,10,9
922374241,0,4,10,10,2
922007563,2,9,10,10,2
922454763,2,7,10,10,2
922232901,2,8,10,10,9
922457443,1,8,10,10,10
921226002,1,8,10,8,6
920925281,0,8,10,5,8
922590821,0,9,10,10,9
922680906,0,7,10,10,6
921081425,0,8,10,10,8
921253541,1,6,7.5,6,6
922355396,2,8,10,10,1
922400814,2,4,10,10,8
920055106,0,3,10,10,6
922014365,1,7,10,10,8
922342189,1,9,10,10,10
920775787,1,6,10,10,5
922381182,0,7,10,10,6
922513976,1,3,10,10,5
920725973,1,8,10,10,5
919229969,2,8,10,10,10
922396711,0,9,10,10,9
920624948,1,8,10,10,9
922420700,1,8,10,10,8
919864256,0,9,10,10,8
921111557,0,8,10,10,10
921376017,1,9,10,10,9
920638853,3,9,10,10,8
920085435,1,8,10,10,9
920573769,0,3,10,10,5
921180009,0,8,8,10,7
921322799,2,8,10,10,8
919702101,1,0,7.5,10,6
920685107,0,6,10,10,9
919315323,0,8,10,10,8
921911281,0,3,10,10,5
919215229,2,8,10,10,8
920894707,1,4,10,10,7
922613038,3,9,10,10,5
920866162,0,8,10,10,7
920691735,0,6,10,10,6
917159468,1,8,10,10,9
919905908,1,8,10,10,9
922697517,0,6,10,10,0
922225358,0,8,10,10,10
921759074,0,7,10,10,7
922347139,0,9,10,10,8
921493288,0,3,10,0,5
921881450,0,8,10,10,5
921890946,0,7,10,10,5
922206089,3,8,10,10,10
922017427,1,8,10,10,10
919427114,3,8,10,10,7
921284112,1,9,10,10,8
919953950,2,9,10,10,8
920499610,0,8,10,10,0
919195255,1,8,10,10,7
919406397,0,7,10,10,5
921678058,0,10,10,10,8
922509692,1,8,10,10,9
921882556,0,3,9,10,8
921972055,1,9,10,10,9
920660876,0,7,10,6,5
920071999,1,8,10,10,5
921850957,1,9,10,10,10
921859411,0,6,10,10,8
921807214,1,9,10,10,5
920542619,0,8,9,10,8
922275803,1,6,10,10,7
920899731,2,7,10,10,1
922712421,9,7,10,10,8
922566538,0,7,10,10,7
921451602,2,3,10,10,8
921313371,0,8,10,10,8
920707823,0,9,10,10,9
921088392,3,8,10,10,9
922760677,0,8,10,10,7
919875669,2,6,10,10,5
922503151,0,4,10,10,5
922513413,0,8,10,10,8
921305855,1,6,10,10,10
921149396,1,2,10,10,6
920417799,0,2,10,10,0
920767559,0,6,10,10,8
921650555,0,7,10,10,6
921160650,1,9,10,10,9
921931821,1,9,10,10,10
922418424,0,9,10,10,9
920105920,0,9,10,10,10
920931877,0,8,10,10,10
922664922,0,9,10,10,7
921929710,0,7,10,10,3
922542581,1,9,10,10,7
921286916,0,9,10,10,7
920548998,1,8,10,10,8
922465011,1,9,10,10,9
922184677,1,8,10,10,8
