"SID","exam1","exam2","exam3","exam4","exam5","final_exam","prep_p_raw","extra_credit","e_correct","p_p_final","exam_total","final_grade","opt_in"
922651058,85.3333333333333,72.3333333333333,68,81.6666666666667,75,0,270.44,14.5,4.5,250,76.4666666666667,83.8,1
921903778,0,60,64,63,69.6666666666667,54,224.37,14.5,4.5,224.37,62.1333333333333,70.487,1
922496378,65.6666666666667,53,60.3333333333333,62,76.6666666666667,58,276.4,10,0,250,64.5333333333333,74.4,0
920841433,92.6666666666667,75.6666666666667,88.6666666666667,77.6666666666667,87.6666666666667,82,260.73,5,0,250,85.7333333333333,89.8,0
921726531,70.3333333333333,52.6666666666667,72.6666666666667,78.6666666666667,58,0,333.13,10,0,250,66.4666666666667,75.85,0
921958710,85,89.6666666666667,81.6666666666667,82.3333333333333,69.3333333333333,0,278,10,0,250,81.6,87.2,0
919997453,83,95.3333333333333,94,91.6666666666667,94.6666666666667,0,293.75,10,0,250,91.7333333333333,94.8,0
919649675,89,91.6666666666667,99.3333333333333,97.3333333333333,99.3333333333333,0,311.1,10,0,250,95.3333333333333,97.5,0
922217269,52.6666666666667,71.3333333333333,62.3333333333333,82,46,62,247.58,5,0,247.58,66.0666666666667,74.808,0
921094234,87,91,87.3333333333333,82.6666666666667,80.3333333333333,0,274,10,0,250,85.6666666666667,90.25,0
922330777,91.3333333333333,93,94,98.3333333333333,90.6666666666667,0,298.57,15,5,250,93.4666666666667,96.6,1
922513484,64.3333333333333,49.3333333333333,67.6666666666667,68.3333333333333,0,54,251.2,10,0,250,60.7333333333333,71.55,0
922133301,0,48.6666666666667,60.6666666666667,87,76.3333333333333,72,254.97,10,0,250,68.9333333333333,77.7,0
921011217,69.6666666666667,97.6666666666667,91.6666666666667,95,94,0,281.5,10,0,250,89.6,93.2,0
921096818,64.3333333333333,0,66,67.6666666666667,72.6666666666667,72,259.15,10,0,250,68.5333333333333,77.4,0
920442395,91,84.6666666666667,86.6666666666667,87.6666666666667,92.6666666666667,0,267.67,10,0,250,88.5333333333333,92.4,0
922041464,60.6666666666667,72.6666666666667,72.3333333333333,63.6666666666667,66.6666666666667,0,304.78,10,0,250,67.2,76.4,0
913406306,0,0,0,0,0,0,6,0,0,6,0,0.6,0
919215850,69.1666666666667,85,87,75.3333333333333,80,78,268.52,10,0,250,81.0666666666667,86.8,0
918856249,78,83.3333333333333,75,81.6666666666667,82.6666666666667,0,234.08,10,0,234.08,80.1333333333333,84.508,0
919505117,83.3333333333333,0,80,78,91,86,292.62,10,0,250,83.6666666666667,88.75,0
919336360,83.6666666666667,58,71.6666666666667,69.6666666666667,72.6666666666667,74,241.85,10,0,241.85,74.3333333333333,80.935,0
922527904,84.6666666666667,85,84,98.6666666666667,89.3333333333333,82,352.64,15,5,250,88.3333333333333,92.75,1
921826114,81.6666666666667,74.6666666666667,85.3333333333333,81.3333333333333,85.3333333333333,0,324.23,15,5,250,81.6666666666667,87.75,1
920680636,71.3333333333333,73,77,69.3333333333333,74,70,272.86,10,0,250,73.0666666666667,80.8,0
920976052,84.3333333333333,63,76,75,55.3333333333333,48,251.64,10,0,250,70.7333333333333,79.05,0
922711943,95.6666666666667,96.6666666666667,86.6666666666667,93,97.3333333333333,0,179.35,10,0,179.35,93.8666666666667,89.335,0
921161345,93.3333333333333,95.3333333333333,85.6666666666667,93.6666666666667,86,0,311,14.5,4.5,250,90.8,94.55,1
921079835,92.3333333333333,88.3333333333333,94.3333333333333,80,94.3333333333333,0,329.6,10,0,250,89.8666666666667,93.4,0
918851859,86,86,90.3333333333333,72.6666666666667,85.3333333333333,0,282.87,15,5,250,84.0666666666667,89.55,1
921673176,79,59,79,78.6666666666667,67.3333333333333,64,272.61,10,0,250,73.6,81.2,0
920818479,0,84,70,56.6666666666667,71.3333333333333,52,227,10,0,227,66.8,73.8,0
996793395,85.3333333333333,76,76.3333333333333,75.3333333333333,68.3333333333333,72,302.55,15,5,250,77,84.25,1
921169680,91.6666666666667,96.6666666666667,96,80.6666666666667,96,0,250.8,10,0,250,92.2,95.15,0
921793917,95.6666666666667,93,93.3333333333333,93.3333333333333,81.3333333333333,84,264.31,5,0,250,91.8666666666667,94.4,0
920724592,92.6666666666667,97,98,89.6666666666667,90.3333333333333,0,263.85,10,0,250,93.5333333333333,96.15,0
922075799,97.6666666666667,69.3333333333333,82.3333333333333,86,88.6666666666667,80,333.76,15,5,250,86.9333333333333,91.7,1
921910017,93.3333333333333,96,95.3333333333333,93,91,0,285.14,5,0,250,93.7333333333333,95.8,0
920997895,93,96.3333333333333,94.6666666666667,85,92,0,344.07,10,0,250,92.2,95.15,0
919487646,86.6666666666667,79,80.6666666666667,73.6666666666667,88.6666666666667,84,303.96,10,0,250,83.8,88.85,0
919428171,88.3333333333333,94.6666666666667,77.3333333333333,96.3333333333333,86.3333333333333,72,324.17,10,0,250,88.6,92.45,0
920904370,90.3333333333333,68.3333333333333,78,81.3333333333333,67.3333333333333,0,254.12,10,0,250,77.0666666666667,83.8,0
921809623,67.3333333333333,61,69.6666666666667,63.6666666666667,68,68,283.25,14.5,4.5,250,67.3333333333333,76.95,1
922302718,74.6666666666667,82.6666666666667,76,77.3333333333333,68.6666666666667,64,254.44,10,0,250,75.8666666666667,82.9,0
921320717,95,97,92.6666666666667,86.3333333333333,75.6666666666667,0,250.06,10,0,250,89.3333333333333,93,0
920825666,0,69.6666666666667,78.6666666666667,79.3333333333333,64,82,178.99,10,0,178.99,74.7333333333333,74.949,0
920926552,83.6666666666667,96.6666666666667,100,98.3333333333333,94.6666666666667,0,254,10,0,250,94.6666666666667,97,0
918645625,83,85.3333333333333,90,88.6666666666667,77.6666666666667,80,248.98,10,0,248.98,85.4,89.948,0
922377701,0,89,91.3333333333333,89.3333333333333,90.3333333333333,94,257.78,15,5,250,90.8,94.6,1
922049686,94.3333333333333,93.6666666666667,90,97.6666666666667,94,0,260.47,10,0,250,93.9333333333333,96.45,0
920770397,96,95.3333333333333,90.6666666666667,98.3333333333333,93,0,255.16,10,0,250,94.6666666666667,97,0
920581780,88,86.3333333333333,80.3333333333333,93,91.3333333333333,0,336,10,0,250,87.8,91.85,0
922645611,94,93,91,91.6666666666667,84.6666666666667,0,347,15,5,250,90.8666666666667,94.65,1
922201259,0,94.6666666666667,99,83.6666666666667,98.6666666666667,94,252,10,0,250,94,96.5,0
919582509,94.6666666666667,79.3333333333333,67,58.3333333333333,87.3333333333333,74,251,10,0,250,80.4666666666667,86.35,0
919653179,86.3333333333333,71,70.3333333333333,82.3333333333333,89.3333333333333,72,298.77,15,5,250,80.2,86.65,1
922053805,74.6666666666667,78.6666666666667,73.3333333333333,89,90,0,285.14,14.5,4.5,250,81.1333333333333,87.3,1
920777808,67.3333333333333,37.3333333333333,88,61.3333333333333,74.3333333333333,58,360.01,10,0,250,69.8,78.35,0
919060827,75,65.3333333333333,71.6666666666667,73.6666666666667,53,0,266.8,10,0,250,67.7333333333333,76.8,0
919562383,90.3333333333333,84,91.6666666666667,86.6666666666667,94.3333333333333,0,258.06,15,5,250,89.4,93.55,1
920479520,88.6666666666667,78.6666666666667,88.3333333333333,82.3333333333333,87,0,261.39,10,0,250,85,89.75,0
922729566,88.6666666666667,87.6666666666667,77.6666666666667,87.3333333333333,91,82,269.99,10,0,250,87.3333333333333,91.5,0
921746540,75,81.3333333333333,79.3333333333333,77.6666666666667,59.6666666666667,0,337.64,15,5,250,74.6,82.45,1
919399019,84.6666666666667,59,45.6666666666667,63.3333333333333,76.3333333333333,62,286.52,10,0,250,69.0666666666667,77.8,0
921899125,77.3333333333333,86.6666666666667,93,79.6666666666667,69.3333333333333,0,289.76,10,0,250,81.2,86.9,0
920960385,85,67,86.6666666666667,78,82,0,276.55,14.5,4.5,250,79.7333333333333,86.25,1
922413995,64,77,79.6666666666667,83.3333333333333,89.6666666666667,0,302.69,10,0,250,78.7333333333333,85.05,0
920587920,74.6666666666667,55.3333333333333,60.6666666666667,72.6666666666667,76.3333333333333,64,288.8,10,0,250,69.6666666666667,78.25,0
920573769,74.6666666666667,67.6666666666667,75.3333333333333,67,63,62,339.92,10,0,250,69.5333333333333,78.15,0
921887234,85,82.3333333333333,74.3333333333333,88.6666666666667,82,78,337.25,10,0,250,83.2,88.4,0
919315323,91,95.3333333333333,80.6666666666667,93,96.6666666666667,0,297.28,15,5,250,91.3333333333333,95,1
919702101,74.5,41,62.6666666666667,51,63,48,345.57,14.5,4.5,250,59.8333333333333,71.325,1
922151383,89,85.6666666666667,89,93,95.6666666666667,78,333.07,10,0,250,90.4666666666667,93.85,0
922640483,61.6666666666667,72.6666666666667,82.6666666666667,73.3333333333333,75,70,346,10,0,250,74.7333333333333,82.05,0
922014022,73,90.6666666666667,80,94.6666666666667,91.3333333333333,0,311.91,10,0,250,85.9333333333333,90.45,0
921103769,92,96,80.6666666666667,92.3333333333333,89.6666666666667,80,330,15,5,250,90.1333333333333,94.1,1
919563353,70.3333333333333,36.6666666666667,52,65,74,0,272.86,15,5,250,59.6,71.2,1
921322799,90.5,81.6666666666667,76,94,84,92,286.78,10,0,250,88.4333333333333,92.325,0
922332791,74,67,64.3333333333333,52.6666666666667,58.6666666666667,0,297.98,10,0,250,63.3333333333333,73.5,0
921180009,87.3333333333333,85,93.6666666666667,95,91.6666666666667,0,262.32,10,0,250,90.5333333333333,93.9,0
922748055,88,85.3333333333333,0,76,87.3333333333333,84,281,10,0,250,84.1333333333333,89.1,0
