"SID","attempt","consent","age","year","gender","int","first_language","academic_exp","eng_level","ethnicity","f_edu","m_edu","p_relation","financial","program","pell_grant","minutes","hours","transfer","first_gen"
920105920,1,1,21,3,2,1,0,"90",5,4,4,3,3,6,3,1,"180","3",1,"1"
919649109,1,1,21,2,2,0,1,"90",2,NA,4,4,3,7,NA,NA,"300","60",0,"0"
921747112,1,1,18,1,1,1,0,"100",6,1,3,1,0,6,2,0,"45","10",0,"1"
920660876,1,1,19,2,1,1,1,"100",6,9,4,4,3,5,2,2,"120","2",0,"0"
918739858,1,1,21,3,2,1,0,"100",6,5,3,3,3,3,0,0,"240","10",1,"1"
920082522,1,1,20,3,2,1,0,"95",6,3,3,4,3,5,3,0,"60","24",0,"0"
922661378,1,1,18,1,3,0,0,"85",6,4,4,1,3,6,1,0,"60","18",0,"1"
919649675,1,1,20,3,2,1,0,"97",5,9,4,5,3,7,0,0,"60","37",0,"0"
921262561,1,1,19,2,2,1,0,"97",6,4,4,4,3,3,3,0,"240","40",0,"0"
922712421,1,1,19,1,2,0,1,"80",4,4,4,5,3,7,2,2,"120","14",0,"0"
920825666,1,1,19,2,2,1,0,"80",5,1,5,4,3,7,1,2,"60","14",0,"0"
920693827,1,1,19,2,2,1,0,"100",6,3,4,4,3,6,0,0,"120","4",0,"0"
922421437,1,1,22,3,1,1,1,"30",6,6,5,4,3,4,1,1,"90","60",1,"0"
921870241,1,1,18,1,2,1,0,"100",6,4,NA,1,NA,2,3,1,"80","28",0,"1"
921168364,1,1,20,2,1,NA,NA,"90",6,4,NA,NA,NA,NA,NA,NA,"200","6",0,NA
920966884,1,1,19,2,2,1,1,"90",5,5,2,2,3,5,3,1,"360","21",0,"1"
920003572,1,1,20,3,2,1,0,"90",5,4,2,2,3,3,3,1,"180","30",0,"1"
922452930,1,1,19,1,2,0,1,"60",6,1,4,4,0,7,0,0,"120","10",0,"0"
920076936,1,1,20,3,2,1,0,"100",5,5,2,1,3,2,3,2,"120","21",0,"1"
919186358,1,1,20,3,2,1,0,"100",6,9,5,4,3,7,0,0,"180","10",0,"0"
919216969,1,1,20,3,1,1,0,"100",6,5,3,3,3,4,3,0,"125","10",0,"1"
