SID,Total.Score,View.Count,pwritten,time,opt_in
919452312,99.5,0,0.679166667,1,0
918523200,117,3,0.8,1,0
920758351,134.5,2,0.920833333,1,0
921328243,121.75,1,0.814583333,1,#N/A
919530917,115,1,0.783333333,1,0
921205214,96.5,4,0.654166667,1,0
918888411,137.5,1,0.895833333,1,0
915331327,135.5,0,0.879166667,1,#N/A
920929339,119,1,0.766666667,1,0
919386022,91,1,0.583333333,1,#N/A
920482850,120,1,0.8,1,1
918552365,102.5,3,0.654166667,1,1
919499142,124,2,0.833333333,1,1
919938865,80,3,0.591666667,1,1
919590436,133,0,0.908333333,1,1
919948172,85.5,2,0.5375,1,0
920611003,49.5,0,0.3125,1,1
920758814,129,2,0.875,1,1
919396643,143.5,2,0.970833333,1,0
918631383,110,2,0.716666667,1,0
920648021,138,2,0.95,1,#N/A
919169883,142,1,0.958333333,1,0
921066877,128,1,0.816666667,1,0
918014638,65.5,1,0.520833333,1,1
918402266,116,1,0.841666667,1,0
916063005,102,1,0.725,1,1
921490977,138,0,0.925,1,0
921185745,140,0,0.916666667,1,1
920435894,130,0,0.908333333,1,1
920076868,108,1,0.725,1,0
919542934,140.5,2,0.920833333,1,1
919706903,104.5,1,0.645833333,1,#N/A
920475430,138,2,0.95,1,1
918176974,134.5,3,0.895833333,1,1
919415469,63.5,0,0.354166667,1,#N/A
920529409,146.5,1,0.970833333,1,0
920035003,111,0,0.7,1,#N/A
921300973,101,0,0.666666667,1,0
917069862,59,0,0.366666667,1,1
920077401,133.25,0,0.860416667,1,0
919859520,92,1,0.641666667,1,0
921125860,130.5,0,0.8375,1,1
920985043,69,0,0.525,1,0
919725418,116.5,0,0.770833333,1,0
918614520,140.5,2,0.970833333,1,0
920893656,131.5,0,0.845833333,1,0
921177261,123.25,1,0.802083333,1,1
919664113,68.5,1,0.320833333,1,1
920140493,54.5,1,0.354166667,1,0
919494736,138.5,1,0.904166667,1,0
917987070,138,1,0.95,1,0
920858390,76.5,1,0.4375,1,0
918805805,100.5,1,0.7375,1,0
918546601,110,0,0.766666667,1,1
919575668,117.25,0,0.802083333,1,#N/A
918144472,142.5,3,0.9375,1,0
921165862,121,0,0.883333333,1,1
921058432,133,2,0.908333333,1,0
919598360,120,2,0.8,1,1
919330780,134,3,0.941666667,1,0
920566462,90.5,3,0.579166667,1,1
919570760,140,1,0.916666667,1,1
920831825,118,2,0.808333333,1,0
916909392,81.5,0,0.579166667,1,#N/A
920802540,130.5,1,0.8625,1,0
919699573,142.5,1,0.9625,1,1
918061937,144.5,1,0.954166667,1,1
920641471,117.5,2,0.779166667,1,1
918678702,143.5,0,0.945833333,1,1
919283989,103.5,2,0.8625,1,#N/A
918572947,112,1,0.783333333,1,1
919348167,108,1,0.675,1,1
921399311,76.5,0,0.4125,1,0
920728572,139.5,4,0.9125,1,1
920914441,109.5,7,0.7625,1,0
920773417,92.5,3,0.620833333,1,1
919661873,128.5,0,0.845833333,1,#N/A
919770609,77.5,2,0.495833333,1,1
919202371,109.5,0,0.6875,1,#N/A
918281005,135.5,0,0.904166667,1,0
919230013,122,1,0.866666667,1,1
919490633,140,2,0.941666667,1,1
919739116,94.5,1,0.5875,1,1
919180464,115.5,3,0.7875,1,1
920073243,134,1,0.891666667,1,0
920101885,88.5,1,0.4875,1,0
920890235,144.5,3,0.954166667,1,0
919976364,118,2,0.783333333,1,1
920617353,73,0,0.408333333,1,1
921392813,137.5,2,0.945833333,1,1
919903874,77.5,1,0.470833333,1,1
919757415,96,1,0.625,1,#N/A
920661066,143.5,1,0.945833333,1,1
919214738,137,1,0.916666667,1,0
918306715,143.25,2,0.96875,1,0
919349551,139.5,5,0.9125,1,1
920639205,133,2,0.933333333,1,1
921345608,60,1,0.475,1,0
919750807,130.5,0,0.8375,1,#N/A
919623138,93.5,2,0.629166667,1,#N/A
920489617,74.5,5,0.470833333,1,1
918682112,134.5,5,0.870833333,1,#N/A
919791426,112.5,0,0.8125,1,#N/A
920727285,119.5,3,0.820833333,1,1
