Total.Score,View.Count,pwritten,time,student_id,opt_in
99.5,0,0.679166667,1,450198,0
117,3,0.8,1,639052,0
134.5,2,0.920833333,1,119737,0
121.75,1,0.814583333,1,#N/A,#N/A
115,1,0.783333333,1,195771,0
96.5,4,0.654166667,1,431940,0
137.5,1,0.895833333,1,22605,0
135.5,0,0.879166667,1,#N/A,#N/A
119,1,0.766666667,1,46228,0
91,1,0.583333333,1,#N/A,#N/A
120,1,0.8,1,218881,1
102.5,3,0.654166667,1,59263,1
124,2,0.833333333,1,239176,1
80,3,0.591666667,1,549967,1
133,0,0.908333333,1,759444,1
85.5,2,0.5375,1,157930,0
49.5,0,0.3125,1,636429,1
129,2,0.875,1,935667,1
143.5,2,0.970833333,1,529135,0
110,2,0.716666667,1,587190,0
138,2,0.95,1,#N/A,#N/A
142,1,0.958333333,1,852762,0
128,1,0.816666667,1,657777,0
65.5,1,0.520833333,1,812426,1
116,1,0.841666667,1,344244,0
102,1,0.725,1,751453,1
138,0,0.925,1,850089,0
140,0,0.916666667,1,91330,1
130,0,0.908333333,1,77220,1
108,1,0.725,1,480220,0
140.5,2,0.920833333,1,786495,1
104.5,1,0.645833333,1,#N/A,#N/A
138,2,0.95,1,507212,1
134.5,3,0.895833333,1,55168,1
63.5,0,0.354166667,1,#N/A,#N/A
146.5,1,0.970833333,1,581826,0
111,0,0.7,1,#N/A,#N/A
101,0,0.666666667,1,190808,0
59,0,0.366666667,1,118791,1
133.25,0,0.860416667,1,632601,0
92,1,0.641666667,1,509583,0
130.5,0,0.8375,1,235058,1
69,0,0.525,1,528554,0
116.5,0,0.770833333,1,98872,0
140.5,2,0.970833333,1,299411,0
131.5,0,0.845833333,1,991407,0
123.25,1,0.802083333,1,43757,1
68.5,1,0.320833333,1,865209,1
54.5,1,0.354166667,1,860330,0
138.5,1,0.904166667,1,330065,0
138,1,0.95,1,746481,0
76.5,1,0.4375,1,616583,0
100.5,1,0.7375,1,417319,0
110,0,0.766666667,1,974667,1
117.25,0,0.802083333,1,#N/A,#N/A
142.5,3,0.9375,1,270919,0
121,0,0.883333333,1,512211,1
133,2,0.908333333,1,481746,0
120,2,0.8,1,650154,1
134,3,0.941666667,1,810882,0
90.5,3,0.579166667,1,52942,1
140,1,0.916666667,1,722426,1
118,2,0.808333333,1,738956,0
81.5,0,0.579166667,1,#N/A,#N/A
130.5,1,0.8625,1,702967,0
142.5,1,0.9625,1,588563,1
144.5,1,0.954166667,1,135939,1
117.5,2,0.779166667,1,478761,1
143.5,0,0.945833333,1,593931,1
103.5,2,0.8625,1,#N/A,#N/A
112,1,0.783333333,1,884359,1
108,1,0.675,1,148499,1
76.5,0,0.4125,1,248654,0
139.5,4,0.9125,1,146064,1
109.5,7,0.7625,1,429624,0
92.5,3,0.620833333,1,819339,1
128.5,0,0.845833333,1,#N/A,#N/A
77.5,2,0.495833333,1,625832,1
109.5,0,0.6875,1,#N/A,#N/A
135.5,0,0.904166667,1,978945,0
122,1,0.866666667,1,698444,1
140,2,0.941666667,1,720616,1
94.5,1,0.5875,1,427233,1
115.5,3,0.7875,1,861628,1
134,1,0.891666667,1,407458,0
88.5,1,0.4875,1,891009,0
144.5,3,0.954166667,1,738900,0
118,2,0.783333333,1,800464,1
73,0,0.408333333,1,681039,1
137.5,2,0.945833333,1,943776,1
77.5,1,0.470833333,1,968101,1
96,1,0.625,1,#N/A,#N/A
143.5,1,0.945833333,1,358872,1
137,1,0.916666667,1,419144,0
143.25,2,0.96875,1,199510,0
139.5,5,0.9125,1,296676,1
133,2,0.933333333,1,341430,1
60,1,0.475,1,507517,0
130.5,0,0.8375,1,#N/A,#N/A
93.5,2,0.629166667,1,#N/A,#N/A
74.5,5,0.470833333,1,764022,1
134.5,5,0.870833333,1,#N/A,#N/A
112.5,0,0.8125,1,#N/A,#N/A
119.5,3,0.820833333,1,484404,1
142,0,0.933333333,1,245847,1
105,2,0.7,1,774132,0
115.5,1,0.7375,1,566484,1
124,2,0.833333333,1,242762,1
133,3,0.858333333,1,59135,0
102.5,1,0.729166667,1,574761,0
131.5,0,0.870833333,1,212467,0
144,0,0.975,1,506095,0
135.5,3,0.929166667,1,#N/A,#N/A
108.5,2,0.754166667,1,606922,1
137,2,0.891666667,1,382346,1
146.5,0,0.970833333,1,753426,1
130,1,0.833333333,1,648833,0
107,1,0.691666667,1,#N/A,#N/A
129,1,0.875,1,135223,0
134,3,0.891666667,1,74745,1
78,0,0.525,1,325835,1
121,3,0.758333333,1,176063,1
101.5,2,0.670833333,1,222033,0
103.5,1,0.6125,1,622456,1
136,1,0.883333333,1,451632,0
111,1,0.675,1,133842,0
144.5,0,0.954166667,1,926367,0
112,3,0.758333333,1,665605,1
116.5,4,0.745833333,1,#N/A,#N/A
140,3,0.916666667,1,461149,1
112.5,5,0.7375,1,#N/A,#N/A
116,2,0.766666667,1,285732,0
142,5,0.933333333,1,#N/A,#N/A
132,0,0.85,1,#N/A,#N/A
97,0,0.608333333,1,#N/A,#N/A
100,1,0.633333333,1,919187,1
129.5,3,0.854166667,1,765041,1
100.5,0,0.6875,1,985120,0
130.5,7,0.8625,1,869130,0
90.5,0,0.670833333,1,#N/A,#N/A
132.5,1,0.904166667,1,#N/A,#N/A
89,2,0.516666667,1,431471,0
75.5,0,0.404166667,1,124520,1
126.5,1,0.854166667,1,721234,1
116,1,0.741666667,1,907418,1
93.5,6,0.554166667,1,92678,1
74,3,0.416666667,1,363247,1
130,0,0.833333333,1,315309,0
105.25,2,0.652083333,1,465337,1
141,4,0.925,1,#N/A,#N/A
103.5,0,0.7125,1,566690,0
112.5,0,0.7125,1,558605,1
136,3,0.883333333,1,288131,1
78.5,2,0.545833333,1,517410,1
127.5,7,0.8125,1,782358,1
117.5,0,0.779166667,1,901788,0
140.5,1,0.920833333,1,359836,1
78.5,4,0.504166667,1,228847,1
118.5,1,0.7875,1,873188,1
135,2,0.9,1,267235,0
102.5,1,0.629166667,1,453977,0
78,1,0.4,1,#N/A,#N/A
126.5,1,0.804166667,1,666977,1
91,0,0.608333333,1,968096,1
99,1,0.65,1,785564,0
103.5,1,0.7125,1,#N/A,#N/A
114,2,0.8,1,133411,0
126.5,1,0.879166667,1,354442,0
102,2,0.6,1,593374,1
121,0,0.783333333,1,#N/A,#N/A
103.5,2,0.6625,1,907662,1
134,1,0.891666667,1,#N/A,#N/A
118,2,0.808333333,1,739642,0
130,0,0.858333333,1,860152,1
98,0,0.666666667,1,#N/A,#N/A
140,2,0.916666667,1,452951,0
102,1,0.625,1,#N/A,#N/A
81,2,0.525,1,#N/A,#N/A
124,0,0.833333333,1,620447,1
64,1,0.383333333,1,690944,1
126.5,2,0.829166667,1,#N/A,#N/A
80,1,0.491666667,1,74053,0
120.5,3,0.779166667,1,192121,0
98.5,0,0.695833333,1,#N/A,#N/A
116.5,0,0.820833333,1,237915,0
116,0,0.741666667,1,779885,0
135,1,0.875,1,943584,0
125.5,4,0.870833333,1,947508,1
137.5,1,0.895833333,1,435782,1
114.5,1,0.704166667,1,365616,1
107,2,0.666666667,1,652675,1
134.5,5,0.895833333,1,#N/A,#N/A
118,11,0.833333333,1,292843,1
138,1,0.9,1,660158,1
65.5,1,0.395833333,1,861908,1
107,1,0.666666667,1,#N/A,#N/A
111,0,0.675,1,580775,0
138,1,0.9,1,352635,0
127,3,0.883333333,1,558377,1
120.5,6,0.804166667,1,416201,1
119,1,0.791666667,1,92527,0
138,2,0.9,1,945105,0
123,1,0.775,1,153600,0
128.5,3,0.870833333,1,242919,1
61,1,0.383333333,1,642891,1
81.5,4,0.529166667,1,187101,1
120.5,1,0.779166667,1,#N/A,#N/A
138,1,0.95,1,513625,1
139,2,0.908333333,1,141773,0
133.5,2,0.8625,1,700204,1
123,5,0.825,1,499082,0
126,3,0.8,1,162017,1
