"time","attempt","n","totalRep","mean","sd","median","MAD"
"1","none",340,196,0.576470588235294,0.796400020864319,0,0
"2","none",367,422,1.14986376021798,1.25532471708416,1,1.4826
"3","none",369,108,0.292682926829268,0.656055082652378,0,0
"4","none",369,239,0.64769647696477,1.06857348784619,0,0
"none","1",365,349,0.956164383561644,1.07838227199456,1,1.4826
"none","2",369,453,1.22764227642276,1.30308793871862,1,1.4826
"none","3",369,101,0.273712737127371,0.610939701958972,0,0
"none","4",369,62,0.168021680216802,0.415666881108454,0,0
"1","1",340,196,0.576470588235294,0.796400020864319,0,0
"2","1",312,128,0.41025641025641,0.635213156332634,0,0
"2","2",365,294,0.805479452054795,1.02602005139658,0,0
"3","1",4,0,0,0,0,0
"3","2",317,59,0.186119873817035,0.483980487382573,0,0
"3","3",368,49,0.133152173913043,0.444388394200269,0,0
"4","1",241,25,0.103734439834025,0.378630421190139,0,0
"4","2",340,100,0.294117647058824,0.615886619680303,0,0
"4","3",340,52,0.152941176470588,0.441394474450357,0,0
"4","4",369,62,0.168021680216802,0.415666881108454,0,0
