"time","attempt","n","totalRep","mean","sd","median","MAD"
"1","none",340,196,0.576470588235294,0.796400020864321,0,0
"2","none",367,487,1.32697547683924,1.46802248197829,1,1.4826
"3","none",369,107,0.289972899728997,0.655190189216985,0,0
"4","none",369,329,0.89159891598916,1.5301889239706,0,0
"none","1",3690,NA,0.241841491841492,0.523854174223865,0,0
"none","2",1845,NA,0.398086828550405,0.760607377711803,0,0
"none","3",738,NA,0.141242937853107,0.441605189236727,0,0
"none","4",369,63,0.170731707317073,0.424276565996604,0,0
"1","1",340,196,0.576470588235294,0.796400020864321,0,0
"2","1",352,193,0.548295454545455,0.913929834023237,0,0
"2","2",365,294,0.805479452054795,1.02602005139658,0,0
"3","1",4,0,0,0,0,0
"3","2",317,58,0.182965299684543,0.481913421955056,0,0
"3","3",368,49,0.133152173913043,0.444388394200269,0,0
"4","1",241,26,0.107883817427386,0.382943755372378,0,0
"4","2",340,189,0.555882352941176,1.17739053915579,0,0
"4","3",340,51,0.15,0.439059063631457,0,0
"4","4",369,63,0.170731707317073,0.424276565996604,0,0
