"","Exam","opt_in","variable","n","mean","sd","median","MAD","Q1","Q3","IQR","min","max"
"1","p_tot1",0,"Written Score",187,75.2762430939227,14.7845053735516,77,14.826,67,86.5,19.5,30,98
"2","p_tot1",1,"Written Score",192,73.9893048128342,18.5648353293111,78.5,17.0499,63,88.25,25.25,18,99
"3","p_tot2",0,"Written Score",187,72.5074925074925,18.5351606038345,77.2727272727273,18.5324999999999,59.2045454545455,87.7272727272727,28.5227272727273,15,98.1818181818182
"4","p_tot2",1,"Written Score",192,72.3012851023322,19.4942370576951,77.7272727272727,18.1955454545454,62.0454545454545,87.0454545454545,25,11.8181818181818,100
"5","p_tot3",0,"Written Score",187,60.7063492063492,20.3115328779898,60,21.18,46.4285714285714,77.5,31.0714285714286,0,98.5714285714286
"6","p_tot3",1,"Written Score",192,63.1724924012158,19.2893466561322,65.7142857142857,22.239,47.6785714285715,78.5714285714286,30.8928571428571,9.28571428571429,97.1428571428571
"7","p_tot4",0,"Written Score",187,78.1011235955056,18.0930082596273,80.25,20.7564,65.125,93.875,28.75,8,100
"8","p_tot4",1,"Written Score",192,81.5732984293194,19.0463387588201,88,13.3434,73.5,95.75,22.25,0,100
"9","p_tot5",0,"Written Score",187,76.9444444444444,15.1959182063698,80,13.5905,67.5,87.5,20,34.5833333333333,100
"10","p_tot5",1,"Written Score",192,81.7195767195767,14.3757693410169,85,13.5905,73.3333333333333,93.3333333333333,20,17.5,100
