"SID","Total.Score","View.Count","pwritten","time"
919595813,101.25,2,0.710416666666667,3
918641454,80.25,1,0.56875,3
920919569,99.5,4,0.729166666666667,3
919230013,136,5,1,3
920003983,91.5,2,0.6625,3
920677034,119,0,0.858333333333333,3
920795518,141.75,6,1.06458333333333,3
919903874,74.25,0,0.535416666666667,3
918460949,137,3,1.025,3
920834961,137.25,3,1.01041666666667,3
920661066,145.75,3,1.06458333333333,3
921033127,79.75,2,0.53125,3
918306715,145.5,2,1.04583333333333,3
919551925,120,3,0.916666666666667,3
918530662,120,2,0.883333333333333,3
920487376,129.75,1,0.997916666666667,3
919791426,129,0,0.941666666666667,3
918769048,121.25,4,0.89375,3
921138679,140.5,1,1.0375,3
921341534,94.75,3,0.672916666666667,3
919794151,115,3,0.858333333333333,3
919692871,124.75,4,0.939583333333333,3
921327419,145,2,1.04166666666667,3
918770231,117.5,0,0.829166666666667,3
919914232,114.75,2,0.872916666666667,3
919278596,127,1,0.958333333333333,3
919355121,140.25,0,1.01875,3
921206611,119,1,0.875,3
921437600,98.25,3,0.735416666666667,3
920482850,137,4,0.991666666666667,3
918824970,127.25,2,0.960416666666667,3
918237525,121,4,0.908333333333333,3
919914818,114.5,1,0.8375,3
918680305,126.75,3,0.95625,3
919590436,131,8,0.958333333333333,3
921390556,111.25,0,0.827083333333333,3
918631383,120,1,0.883333333333333,3
918218890,98.25,6,0.71875,3
919951839,102,2,0.75,3
921066877,112.75,2,0.822916666666667,3
919560149,131.5,2,0.9625,3
919986590,104.5,0,0.7875,3
920656013,122,3,0.9,3
920751552,119.75,2,0.897916666666667,3
918578190,137.75,1,1.01458333333333,3
918550338,126,1,0.966666666666667,3
918588300,99.25,1,0.69375,3
919711558,137,4,1.025,3
920654028,141.5,3,1.0625,3
916561057,114.5,2,0.8375,3
918509156,120.75,1,0.90625,3
918193355,110.25,0,0.802083333333333,3
920522338,136.25,4,1.03541666666667,3
919743843,69.5,1,0.495833333333333,3
921395182,105.75,0,0.764583333333333,3
920734032,126,1,0.933333333333333,3
919141513,107.25,0,0.74375,3
918678702,121.75,9,0.88125,3
919283989,79,1,0.608333333333333,3
919987023,115.25,2,0.827083333333333,3
921361527,132.75,1,0.989583333333333,3
920626001,106.25,5,0.76875,3
920914441,130.25,1,0.96875,3
920773417,106,2,0.783333333333333,3
919380086,123.75,1,0.93125,3
919809499,140,5,1.03333333333333,3
920029789,141.25,12,1.02708333333333,3
919542934,130,5,0.933333333333333,3
918436504,106,0,0.783333333333333,3
920014105,125.5,3,0.929166666666667,3
921504261,110.75,1,0.80625,3
920967469,126,2,0.916666666666667,3
920495805,114.5,0,0.804166666666667,3
920674639,130.75,5,0.939583333333333,3
919813414,118.75,2,0.85625,3
920462197,130.25,0,0.985416666666667,3
917214277,132,1,0.983333333333333,3
920916669,130.75,5,0.95625,3
918614520,136.5,6,1.00416666666667,3
920893656,120.75,0,0.889583333333333,3
919859520,84,0,0.6,3
921361129,131,2,0.975,3
921125860,136.25,1,1.01875,3
920887442,135,2,0.958333333333333,3
919361571,89.75,4,0.697916666666667,3
918054805,120.25,2,0.885416666666667,3
917362242,108.5,1,0.820833333333333,3
919494736,130.5,1,0.970833333333333,3
920140493,47,1,0.308333333333333,3
918525347,134.5,3,1.00416666666667,3
921000655,124.75,5,0.922916666666667,3
918752835,101.75,2,0.764583333333333,3
919295087,106.75,2,0.75625,3
918572947,118.75,1,0.872916666666667,3
918523200,109.25,1,0.827083333333333,3
920958135,143.25,7,1.06041666666667,3
921269629,98,3,0.733333333333333,3
921328243,139.5,3,1.02916666666667,3
920758351,138.75,3,1.00625,3
921438764,118.5,6,0.870833333333333,3
920112191,114,3,0.85,3
919329539,135.75,6,1.01458333333333,3
915331327,92,0,0.666666666666667,3
920062843,118,1,0.85,3
