"anon_id","consent","age","year","gender","int_student","esl","e_exp","e_lvl","URM","p_education","m_education","par_rel","fin_support","ses","grant","soc_med","hw_time","transfer","first_gen"
453529,1,18,"1","Woman","0","1",100,5,"3",6,5,"Together",6,"0","0",240,720,"0","0"
134149,1,19,"2","Man","0","1",100,6,"2",2,3,"Separated",1,"0","1",90,8,"0","1"
388918,1,18,"1","Woman","0","1",99,6,"4",2,3,"Together",6,"2","2",300,18,"0","1"
603399,1,19,"2","Woman","0","1",100,6,"2",5,5,"Together",7,"0","1",300,35,"0","0"
190818,1,18,"1","Woman","0","1",100,6,"9",6,6,"Together",6,"0","0",120,2,"0","0"
495024,1,19,"1","Woman","0","1",90,6,"3",5,5,"Together",6,"0","0",300,40,"0","0"
142556,1,18,"1","Woman","0","0",100,6,"9",5,NA,"Together",7,"0","0",300,14,"0","0"
766084,1,20,"2","Man","0","0",100,6,"3",2,NA,"Single",7,"0","0",90,6.5,"0","1"
210273,1,20,"3","Woman","0","1",100,6,"3",5,5,"Together",7,"0","0",240,32,"0","0"
378876,1,19,"2","Woman","0","0",90,3,"3",5,4,"Divorced",4,"2","1",300,36,"0","1"
338114,1,25,"3","Woman","0","1",85,1,"1",4,4,NA,NA,"1","0",120,6,"1","1"
208750,1,20,"2","Woman","0","1",100,6,"4",5,5,"Together",5,"0",NA,100,12,"0","0"
889441,1,19,"2","Woman","0","1",100,6,"3",4,6,"Separated",5,"2","1",240,3,"0","1"
216877,1,19,"1","Other","0","0",99,6,"2",5,6,"Divorced",1,"2","1",180,50,"0","0"
587423,1,20,"3","Man","0","1",90,4,"2",5,5,"Divorced",6,"0","0",100,20,"0","0"
493377,1,19,"2","Man","0","0",90,4,"9",2,4,"Together",7,"2","0",45,4,"0","1"
113553,1,20,"2","Woman","0","0",85,4,"3",2,5,"Together",2,"2","1",600,8,"0","1"
331406,1,19,"2","Other","0","0",100,5,"4",3,3,"Together",1,"2","1",60,300,"0","1"
444720,1,19,"2","Woman","0","1",100,6,"1",6,6,"Together",7,"0","0",120,30,"0","0"
