"gender" "education" "age" "ACT"
"Female" "Some College" 19 24
"Female" "Some College" 23 35
"Female" "Some College" 20 21
"Male" "Undergraduate Degree" 27 26
"Male" "Finished High School" 33 31
"Male" "Graduate Degree" 26 28
"Female" "Graduate Degree" 30 36
"Male" "Some College" 19 22
"Female" "Undergraduate Degree" 23 22
"Female" "Graduate Degree" 40 35
"Male" "Some College" 23 32
"Female" "Undergraduate Degree" 34 29
"Male" "Undergraduate Degree" 32 21
"Female" "Undergraduate Degree" 41 35
"Female" "Some College" 20 27
"Female" "Undergraduate Degree" 24 27
"Female" "Some College" 19 33
"Female" "Undergraduate Degree" 24 32
"Male" "Undergraduate Degree" 35 28
"Female" "Undergraduate Degree" 46 32
"Female" "Finished High School" 55 28
"Female" "Undergraduate Degree" 25 30
"Male" "Undergraduate Degree" 50 30
"Male" "Undergraduate Degree" 35 31
"Male" "Some College" 21 30
"Female" "Finished High School" 34 30
"Female" "Undergraduate Degree" 37 21
"Female" "Graduate Degree" 27 28
"Female" "Graduate Degree" 29 33
"Male" "Some College" 23 24
"Male" "Some College" 22 27
"Male" "Undergraduate Degree" 23 31
"Male" "Undergraduate Degree" 54 33
"Female" "Some College" 20 29
"Male" "Finished High School" 41 28
"Female" "Graduate Degree" 52 24
"Female" "Some College" 18 27
"Male" "Graduate Degree" 35 31
"Male" "Undergraduate Degree" 27 28
"Female" "Undergraduate Degree" 23 29
"Female" "Graduate Degree" 39 30
"Female" "Graduate Degree" 30 36
"Male" "Graduate Degree" 53 36
"Female" "Some College" 17 26
"Male" "Undergraduate Degree" 27 33
"Male" "Undergraduate Degree" 30 27
"Female" "Undergraduate Degree" 34 23
"Female" "Graduate Degree" 27 33
"Male" "Undergraduate Degree" 35 35
"Female" "Undergraduate Degree" 24 28
"Female" "Undergraduate Degree" 23 28
"Female" "Graduate Degree" 27 33
"Female" "Undergraduate Degree" 23 34
"Male" "Undergraduate Degree" 28 26
"Female" "Undergraduate Degree" 24 36
"Female" "Some College" 20 28
"Female" "Graduate Degree" 32 18
"Female" "Some College" 19 34
"Male" "Graduate Degree" 48 34
"Male" "Graduate Degree" 43 32
"Female" "Some College" 33 36
"Male" "Undergraduate Degree" 35 34
"Female" "Undergraduate Degree" 31 31
"Female" "Undergraduate Degree" 23 29
"Female" "Undergraduate Degree" 29 29
"Female" "Some College" 21 24
"Male" "Finished High School" 19 26
"Male" "Some College" 19 29
"Female" "Graduate Degree" 27 28
"Male" "Undergraduate Degree" 40 32
"Female" "Graduate Degree" 35 32
"Female" "Undergraduate Degree" 24 27
"Female" "Some College" 30 28
"Female" "Some College" 17 32
"Female" "Finished High School" 27 15
"Female" "Graduate Degree" 40 21
"Male" "Undergraduate Degree" 36 26
"Male" "Graduate Degree" 30 25
"Male" "Graduate Degree" 25 31
"Female" "Graduate Degree" 29 26
"Female" "Graduate Degree" 38 28
"Female" "Graduate Degree" 32 33
"Female" "Graduate Degree" 47 24
"Female" "Some College" 19 32
"Male" "Undergraduate Degree" 23 31
"Female" "Some College" 38 30
"Male" "Undergraduate Degree" 23 32
"Male" "Some College" 19 36
"Female" "Undergraduate Degree" 21 32
"Male" "Undergraduate Degree" 23 30
"Female" "Undergraduate Degree" 29 27
"Female" "Graduate Degree" 24 35
"Male" "Graduate Degree" 31 29
"Male" "Undergraduate Degree" 53 33
"Female" "Some College" 20 30
"Female" "Undergraduate Degree" 24 32
"Female" "Graduate Degree" 50 26
"Male" "Undergraduate Degree" 23 36
"Female" "Undergraduate Degree" 23 36
"Male" "Graduate Degree" 23 27
"Female" "Graduate Degree" 22 26
"Male" "Undergraduate Degree" 23 29
"Female" "Graduate Degree" 65 23
"Female" "Some College" 20 23
"Male" "Undergraduate Degree" 26 29
"Male" "Graduate Degree" 39 32
"Female" "Graduate Degree" 26 32
"Male" "Some College" 21 30
