First Name,Last Name,SID,anon_id,Email,Sections,Total Score,Max Points,Status,Submission ID,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: H0 (5.0 pts),2: H0 Sketch (5.0 pts),3: H1: Directional (5.0 pts),4: H1: Non-Directional (5.0 pts),5: PV Name (5.0 pts),6: PV OP-Def (10.0 pts),7: PV Type (5.0 pts),8: PV Measure (5.0 pts),9: OV Name (5.0 pts),10: OV OP-Def (10.0 pts),11: OV Type (5.0 pts),12: OV Measure (5.0 pts),13: New OV Measure (5.0 pts),14: Claim Type (5.0 pts),15: Claim Type Explain (10.0 pts),16: Mill's Criteria (10.0 pts),17: Alternative Explanation (10.0 pts),18: Interpretation (10.0 pts),19: MC 1 (3.0 pts),20: MC 2 (3.0 pts),21: MC 3 (3.0 pts),22: MC 4 (3.0 pts),23: MC 5 (3.0 pts),24: MC 6 (3.0 pts),25: MC 7 (3.0 pts),26: MC 8 (3.0 pts),27: MC 9 (3.0 pts),28: MC 10 (3.0 pts)
redacted,redacted,redacted,354907,redacted,psc-041-001-wq-2023,121.5,150,Graded,156227780,1/19/2023 13:24,0:00:00,7,1,5,5,5,5,5,10,5,5,5,8,0,0,5,5,5,10,8,9.5,3,3,3,3,0,3,3,3,0,0
redacted,redacted,redacted,868090,redacted,psc-041-001-wq-2023,118.25,150,Graded,156227781,1/19/2023 13:24,0:00:00,1,1,3,5,5,5,5,8,5,5,2.5,8,0,5,5,0,10,9,7.75,8,3,3,3,3,0,3,3,3,0,1
redacted,redacted,redacted,482126,redacted,psc-041-002-wq-2023,108,150,Graded,156227782,1/19/2023 13:24,0:00:00,3,1,5,5,5,5,2.5,8.5,0,5,5,9,5,5,5,0,5,5,9,0,3,3,3,3,3,3,3,3,0,0
redacted,redacted,redacted,706979,redacted,psc-041-001-wq-2023,138.25,150,Graded,156227783,1/19/2023 13:24,0:00:00,2,1,5,5,5,5,5,10,5,5,5,7,0,5,5,5,10,10,9.75,9.5,3,3,3,3,0,3,3,3,3,3
redacted,redacted,redacted,678041,redacted,psc-041-002-wq-2023,128,150,Graded,156227784,1/19/2023 13:24,0:00:00,0,1,5,5,5,5,5,9,5,5,5,6.5,5,5,5,5,10,10,9,8.5,3,3,3,3,0,0,0,3,0,0
redacted,redacted,redacted,805441,redacted,psc-041-001-wq-2023,71.5,150,Graded,156227785,1/19/2023 13:24,0:00:00,9,1,2,2,5,3,5,8.5,0,0,2.5,4.5,5,5,0,0,0,2,4,8,0,3,3,0,3,0,0,0,3,3
redacted,redacted,redacted,dropped,redacted,,96.75,150,Graded,156227786,1/19/2023 13:24,0:00:00,0,1,5,5,5,5,5,8,5,5,2.5,7.5,0,5,5,0,0,0,4.75,8,3,3,3,3,0,3,3,0,3,0
redacted,redacted,redacted,352138,redacted,psc-041-001-wq-2023,117.75,150,Graded,156227787,1/19/2023 13:24,0:00:00,6,1,4,5,5,5,5,9,5,5,2.5,6,5,5,5,0,5,7.5,9.75,8,0,3,3,0,3,3,3,0,3,3
redacted,redacted,redacted,802878,redacted,psc-041-001-wq-2023,121.5,150,Graded,156227788,1/19/2023 13:24,0:00:00,3,1,4,5,4,3,5,10,5,5,2.5,7.5,5,0,0,5,10,8,10,8.5,3,3,3,3,3,3,3,3,0,0
redacted,redacted,redacted,177840,redacted,psc-041-001-wq-2023,139,150,Graded,156227789,1/19/2023 13:24,0:00:00,0,1,5,5,5,5,5,9.5,5,5,5,10,5,5,5,5,10,10,9,9.5,3,3,3,3,0,3,3,3,0,0
redacted,redacted,redacted,957384,redacted,psc-041-002-wq-2023,145.5,150,Graded,156227790,1/19/2023 13:24,0:00:00,1,1,5,5,5,3,5,9.5,5,5,5,8.5,5,5,5,5,10,10,10,9.5,3,3,3,3,3,3,3,3,3,3
redacted,redacted,redacted,458187,redacted,psc-041-002-wq-2023,97.25,150,Graded,156227791,1/19/2023 13:24,0:00:00,6,1,3,5,3,3,2.5,4.5,5,5,2.5,0,0,5,5,5,10,6,9.75,8,3,3,3,3,3,0,0,0,0,0
redacted,redacted,redacted,dropped,redacted,,129.25,150,Graded,156227794,1/19/2023 13:24,0:00:00,0,1,4,5,5,5,5,9,5,5,2.5,7.5,0,0,5,5,10,10,9.75,9.5,3,3,3,3,0,3,3,3,3,3
redacted,redacted,redacted,566878,redacted,psc-041-002-wq-2023,119.25,150,Graded,156227795,1/19/2023 13:24,0:00:00,0,1,4,5,4,4,2.5,10,5,5,2.5,10,5,5,5,5,10,0,9.75,9.5,3,3,3,3,3,0,0,3,0,0
redacted,redacted,redacted,590181,redacted,psc-041-001-wq-2023,84.75,150,Graded,156227796,1/19/2023 13:24,0:00:00,1,1,0,5,5,5,5,9.5,0,5,5,3.75,0,5,0,5,10,0,0,6.5,0,3,3,3,0,0,0,0,3,3
redacted,redacted,redacted,142556,redacted,psc-041-001-wq-2023,126,150,Graded,156227797,1/19/2023 13:24,0:00:00,1,1,3,5,5,5,5,9,5,5,2.5,10,5,5,5,5,5,10,8,1.5,3,3,3,3,0,3,3,3,3,3
redacted,redacted,redacted,158549,redacted,psc-041-002-wq-2023,105.25,150,Graded,156227798,1/19/2023 13:24,0:00:00,1,1,4,5,5,5,2.5,8,5,5,5,5.75,0,5,5,5,0,0,8,8,0,3,3,3,0,3,3,3,3,3
redacted,redacted,redacted,151246,redacted,psc-041-001-wq-2023,122,150,Graded,156227799,1/19/2023 13:24,0:00:00,1,1,5,5,5,5,5,9.5,0,5,2.5,4,5,0,0,5,10,9.5,10,9.5,3,3,3,3,0,3,3,3,3,3
redacted,redacted,redacted,557781,redacted,psc-041-002-wq-2023,131.5,150,Graded,156227800,1/19/2023 13:24,0:00:00,2,1,5,5,5,5,2.5,10,5,5,2.5,6,0,5,5,5,10,10,10,8.5,3,3,3,3,0,3,3,3,3,3
redacted,redacted,redacted,780541,redacted,psc-041-002-wq-2023,133.5,150,Graded,156227801,1/19/2023 13:24,0:00:00,3,1,5,5,5,5,5,8.5,5,5,5,9,0,5,5,5,10,10,10,10,3,3,3,3,0,0,3,0,3,3
redacted,redacted,redacted,583798,redacted,psc-041-001-wq-2023,102.5,150,Graded,156227802,1/19/2023 13:24,0:00:00,1,1,4,5,5,5,2.5,8,5,5,2.5,10,5,5,5,0,5,8,0,1.5,3,3,3,0,0,3,0,3,3,3
redacted,redacted,redacted,243610,redacted,psc-041-002-wq-2023,124,150,Graded,156227803,1/19/2023 13:24,0:00:00,8,1,5,5,5,5,5,9.5,5,5,2.5,9.5,5,5,5,5,10,8,10,1.5,3,3,3,3,3,0,3,0,0,0
redacted,redacted,redacted,187671,redacted,psc-041-001-wq-2023,130.5,150,Graded,156227804,1/19/2023 13:24,0:00:00,1,1,5,5,5,5,5,10,5,5,5,9,0,5,5,5,10,10,9,9.5,0,3,0,0,3,3,3,0,3,3
redacted,redacted,redacted,109338,redacted,psc-041-002-wq-2023,131,150,Graded,156227805,1/19/2023 13:24,0:00:00,1,1,4,5,3,5,5,9.5,5,5,2.5,8.25,0,5,5,5,10,9,9.75,8,3,3,3,3,3,3,3,0,3,3
redacted,redacted,redacted,742806,redacted,psc-041-002-wq-2023,116,150,Graded,156227806,1/19/2023 13:24,0:00:00,2,1,5,5,5,5,5,9.5,5,5,2.5,9,0,5,5,0,5,10,9,8,3,3,3,3,0,3,0,3,0,0
redacted,redacted,redacted,975639,redacted,psc-041-002-wq-2023,102.25,150,Graded,156227807,1/19/2023 13:24,0:00:00,0,1,0,5,5,5,2.5,8,5,5,2.5,10,0,0,0,5,5,9.5,9.75,7,3,3,0,3,0,3,0,0,3,3
redacted,redacted,redacted,553565,redacted,psc-041-001-wq-2023,115,150,Graded,156227808,1/19/2023 13:24,0:00:00,3,1,5,5,5,5,5,9.5,5,5,5,3,5,5,5,5,5,10,0,6.5,0,3,3,3,3,0,3,0,3,3
redacted,redacted,redacted,352012,redacted,psc-041-001-wq-2023,128,150,Graded,156227809,1/19/2023 13:24,0:00:00,5,1,5,5,5,5,5,9,5,5,5,6.25,0,5,5,5,10,10,9.75,7,3,3,3,3,0,3,3,3,0,0
redacted,redacted,redacted,460606,redacted,psc-041-002-wq-2023,110.5,150,Graded,156227810,1/19/2023 13:24,0:00:00,5,1,5,5,2,5,5,7.5,5,5,5,10,0,5,5,5,5,0,10,8,0,3,3,0,0,3,0,3,3,3
redacted,redacted,redacted,186775,redacted,psc-041-002-wq-2023,120.5,150,Graded,156227811,1/19/2023 13:24,0:00:00,2,1,5,5,5,4,2.5,10,5,5,5,7,0,5,5,5,5,10,5,8,3,3,3,3,3,3,3,3,0,0
redacted,redacted,redacted,866180,redacted,psc-041-002-wq-2023,93.75,150,Graded,156227812,1/19/2023 13:24,0:00:00,0,1,4,2,5,5,5,8,5,5,2.5,5.75,0,5,5,0,7.5,0,3,8,3,3,3,3,3,3,0,0,0,0
redacted,redacted,redacted,107302,redacted,psc-041-001-wq-2023,95.5,150,Graded,156227813,1/19/2023 13:24,0:00:00,0,1,2,2,5,4,2.5,8.5,5,5,5,6.5,5,0,5,0,7.5,0,6,8.5,0,3,3,3,3,3,0,3,0,0
redacted,redacted,redacted,426634,redacted,psc-041-001-wq-2023,135.25,150,Graded,156227814,1/19/2023 13:24,0:00:00,3,1,5,5,5,5,5,8,5,5,2.5,8.5,0,5,5,5,10,10,9.75,9.5,3,3,3,3,0,3,3,3,3,3
redacted,redacted,redacted,980472,redacted,psc-041-002-wq-2023,126.5,150,Graded,156227815,1/19/2023 13:24,0:00:00,6,1,4,5,5,5,2.5,9.5,5,5,2.5,7.75,0,5,5,5,10,10,9.75,9.5,0,3,3,3,3,3,3,0,0,3
redacted,redacted,redacted,634523,redacted,psc-041-001-wq-2023,128.5,150,Graded,156227828,1/19/2023 13:24,0:00:00,1,1,5,5,5,5,5,10,5,5,5,9,5,5,5,5,10,10,5,9.5,3,3,3,3,0,0,0,0,0,3
redacted,redacted,redacted,388918,redacted,psc-041-001-wq-2023,109.5,150,Graded,156227829,1/19/2023 13:24,0:00:00,4,1,3,5,4,3,5,10,5,5,2.5,9,0,5,5,5,10,0,10,8,0,3,3,3,0,3,0,3,0,0
redacted,redacted,redacted,517181,redacted,psc-041-001-wq-2023,139,150,Graded,156227830,1/19/2023 13:24,0:00:00,4,1,5,5,5,5,5,10,5,5,5,8.5,0,5,5,5,10,10,10,8.5,3,3,3,3,0,3,3,3,3,3
redacted,redacted,redacted,873291,redacted,psc-041-001-wq-2023,140.25,150,Graded,156227831,1/19/2023 13:24,0:00:00,4,1,5,5,5,5,5,9,5,5,5,8,5,5,5,5,10,10,9.75,9.5,3,3,3,3,0,3,0,3,3,3
redacted,redacted,redacted,789281,redacted,psc-041-001-wq-2023,133,150,Graded,156227832,1/19/2023 13:24,0:00:00,4,1,5,5,5,5,5,9.5,5,5,5,6.5,0,5,5,5,10,10,10,8,3,3,3,3,0,0,3,3,3,3
redacted,redacted,redacted,357577,redacted,psc-041-002-wq-2023,72.5,150,Graded,156227833,1/19/2023 13:24,0:00:00,1,1,0,2,3,3,5,7,5,5,2.5,0.5,0,0,0,0,7.5,0,0,8,3,3,0,3,3,3,0,3,3,3
redacted,redacted,redacted,496293,redacted,psc-041-002-wq-2023,144.5,150,Graded,156227834,1/19/2023 13:24,0:00:00,12,1,5,5,5,5,5,9.5,5,5,5,10,5,5,5,5,10,8,9,8,3,3,3,3,3,3,3,3,3,3
redacted,redacted,redacted,134149,redacted,psc-041-001-wq-2023,130.75,150,Graded,156227835,1/19/2023 13:24,0:00:00,1,1,5,5,5,5,5,9,5,5,5,9.5,5,5,5,5,10,4,9.75,1.5,3,3,3,3,0,3,3,3,3,3
redacted,redacted,redacted,207486,redacted,psc-041-001-wq-2023,143.5,150,Graded,156227836,1/19/2023 13:24,0:00:00,3,1,5,5,5,5,5,9,5,5,5,8,5,5,5,5,10,10,10,9.5,3,3,3,3,0,3,3,3,3,3
redacted,redacted,redacted,925742,redacted,psc-041-002-wq-2023,112.75,150,Graded,156227837,1/19/2023 13:24,0:00:00,0,1,4,5,5,5,5,5.5,5,5,2.5,9,0,0,5,5,2.5,0,9.75,9.5,3,3,3,3,3,3,3,3,3,3
redacted,redacted,redacted,676277,redacted,psc-041-002-wq-2023,139.75,150,Graded,156227838,1/19/2023 13:24,0:00:00,1,1,5,5,5,5,5,10,5,5,5,8,5,5,5,5,10,10,9.75,8,3,3,3,0,3,3,3,0,3,3
redacted,redacted,redacted,293634,redacted,psc-041-001-wq-2023,106.25,150,Graded,156227839,1/19/2023 13:24,0:00:00,0,1,4,5,5,4,5,9.5,5,5,2.5,5.75,0,5,5,5,10,0,0,9.5,0,3,3,0,0,3,3,3,3,3
redacted,redacted,redacted,392325,redacted,psc-041-001-wq-2023,116.75,150,Graded,156227840,1/19/2023 13:24,0:00:00,7,1,4,5,5,5,5,9,5,5,2.5,7.5,0,0,5,5,10,8,9.75,8,0,3,3,0,3,3,3,3,0,0
redacted,redacted,redacted,193857,redacted,psc-041-001-wq-2023,113.5,150,Graded,156227841,1/19/2023 13:24,0:00:00,5,1,4,5,5,5,2.5,9.5,5,5,2.5,4.5,0,5,5,5,5,8,8,8.5,3,3,0,3,3,3,3,3,0,0
redacted,redacted,redacted,530411,redacted,psc-041-001-wq-2023,145.5,150,Graded,156227842,1/19/2023 13:24,0:00:00,7,1,5,5,5,5,5,10,5,5,2.5,8.5,5,5,5,5,10,10,10,9.5,3,3,3,3,3,3,3,3,3,3
redacted,redacted,redacted,805091,redacted,psc-041-002-wq-2023,98,150,Graded,156227843,1/19/2023 13:24,0:00:00,5,1,5,5,5,5,5,10,5,5,2.5,6,0,5,5,5,10,0,0,1.5,0,3,0,0,0,3,3,3,3,3
redacted,redacted,redacted,664851,redacted,psc-041-002-wq-2023,126.25,150,Graded,156227844,1/19/2023 13:24,0:00:00,5,1,4,5,5,5,5,9.5,5,5,2.5,10,0,5,5,5,5,10,9.75,9.5,3,3,3,3,0,3,3,3,0,0
redacted,redacted,redacted,130380,redacted,psc-041-001-wq-2023,92,150,Graded,156227845,1/19/2023 13:24,0:00:00,2,1,2,5,4,5,5,10,5,5,2.5,0.5,5,5,0,5,10,0,0,8,3,3,3,0,3,3,0,0,0,0
redacted,redacted,redacted,265323,redacted,psc-041-001-wq-2023,112.25,150,Graded,156227846,1/19/2023 13:24,0:00:00,5,1,4,5,5,5,5,7.5,5,5,2.5,9.5,0,5,5,0,5,10,9.75,0,3,3,3,3,3,3,3,3,0,0
redacted,redacted,redacted,587423,redacted,psc-041-002-wq-2023,115.25,150,Graded,156227847,1/19/2023 13:24,0:00:00,3,1,4,5,5,5,5,9,5,0,2.5,7,0,5,5,0,5,8,9.75,8,3,3,3,3,0,3,3,3,3,3
redacted,redacted,redacted,254596,redacted,psc-041-002-wq-2023,98.5,150,Graded,156227848,1/19/2023 13:24,0:00:00,1,1,4,5,4,5,5,9.5,5,0,5,8,0,5,5,0,10,0,7,8,0,3,0,3,3,0,0,3,0,1
redacted,redacted,redacted,863924,redacted,psc-041-001-wq-2023,134.25,150,Graded,156227849,1/19/2023 13:24,0:00:00,3,1,5,5,5,5,5,8,5,5,5,8.5,0,5,5,5,5,10,9.75,8,3,3,3,3,3,3,3,3,3,3
redacted,redacted,redacted,776985,redacted,psc-041-002-wq-2023,105.5,150,Graded,156227886,1/19/2023 13:25,0:00:00,5,1,5,5,5,5,5,8,5,5,5,7.5,0,5,5,5,10,0,4,8,0,3,3,3,3,0,0,0,0,1
redacted,redacted,redacted,378876,redacted,psc-041-002-wq-2023,139,150,Graded,156227887,1/19/2023 13:25,0:00:00,4,1,5,5,5,5,5,10,5,5,5,9,5,5,5,5,10,7,10,8,3,3,3,3,3,3,3,3,0,1
