First Name,Last Name,SID,anon_id,Email,Sections,Total Score,Max Points,Status,Submission ID,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: H0 (5.0 pts),2: H0 Sketch (5.0 pts),3: H1: Directional (5.0 pts),4: H1: Non-Directional (5.0 pts),5: PV Name (5.0 pts),6: PV OP-Def (10.0 pts),7: PV Type (5.0 pts),8: PV Measure (5.0 pts),9: OV Name (5.0 pts),10: OV OP-Def (10.0 pts),11: OV Type (5.0 pts),12: OV Measure (5.0 pts),13: New OV Measure (5.0 pts),14: Claim Type (5.0 pts),15: Claim Type Explain (10.0 pts),16: Mill's Criteria (10.0 pts),17: Alternative Explanation (10.0 pts),18: Interpretation (10.0 pts),19: MC 1 (3.0 pts),20: MC 2 (3.0 pts),21: MC 3 (3.0 pts),22: MC 4 (3.0 pts),23: MC 5 (3.0 pts),24: MC 6 (3.0 pts),25: MC 7 (3.0 pts),26: MC 8 (3.0 pts),27: MC 9 (3.0 pts),28: MC 10 (3.0 pts)
redcated,redcated,redacted,100124,redcated,psc-041-002-wq-2023,99.5,150,Graded,156228471,1/19/2023 13:27,0:00:00,1,1,5,5,3,5,5,3,5,0,5,0,5,5,5,5,5,8,3,9.5,3,0,0,3,3,0,0,3,3,3
redcated,redcated,redacted,571323,redcated,psc-041-002-wq-2023,122,150,Graded,156228472,1/19/2023 13:27,0:00:00,5,1,5,5,5,5,5,7.5,0,5,5,9,5,0,5,5,10,10,8,6.5,3,3,3,3,3,0,0,0,3,3
redcated,redcated,redacted,693286,redcated,psc-041-001-wq-2023,134.5,150,Graded,156228473,1/19/2023 13:27,0:00:00,3,1,4,5,3.5,5,2.5,10,5,5,5,9,5,5,5,5,10,10,10,6.5,3,3,3,3,3,0,3,0,3,3
redcated,redcated,redacted,941242,redcated,psc-041-001-wq-2023,121.75,150,Graded,156228474,1/19/2023 13:27,0:00:00,2,1,5,5,5,5,5,9,5,5,5,8,5,5,5,5,5,1,7.75,7,3,3,3,0,0,3,3,3,3,3
redcated,redcated,redacted,478268,redcated,psc-041-002-wq-2023,115,150,Graded,156228475,1/19/2023 13:27,0:00:00,2,1,5,5,4,5,5,6,0,5,5,8.5,5,5,5,5,5,10,4,6.5,3,0,0,3,3,0,3,3,3,3
redcated,redcated,redacted,843368,redcated,psc-041-002-wq-2023,96.5,150,Graded,156228476,1/19/2023 13:27,0:00:00,8,1,5,5,4,5,5,0,5,0,5,5.5,5,0,5,5,10,6,8,0,3,3,3,0,3,0,3,3,0,0
redcated,redcated,redacted,184622,redcated,psc-041-002-wq-2023,137.5,150,Graded,156228477,1/19/2023 13:27,0:00:00,2,1,5,5,5,5,5,8,0,5,5,10,5,5,5,5,10,10,8,6.5,3,3,3,3,3,3,3,3,3,3
redcated,redcated,redacted,464491,redcated,psc-041-002-wq-2023,135.5,150,Graded,156228478,1/19/2023 13:27,0:00:00,1,1,5,5,5,5,5,7,5,5,5,9,5,5,5,5,10,10,3,6.5,3,3,3,3,3,3,3,3,3,3
redcated,redcated,redacted,509369,redcated,psc-041-001-wq-2023,119,150,Graded,156228479,1/19/2023 13:27,0:00:00,1,1,4,5,3,5,2.5,8,0,5,5,9,5,5,5,5,5,6,8,6.5,3,0,3,3,3,3,3,3,3,3
redcated,redcated,redacted,919451,redcated,psc-041-002-wq-2023,91,150,Graded,156228480,1/19/2023 13:27,0:00:00,2,1,3.5,5,3,5,5,7.5,5,5,5,8,5,0,5,0,5,1,2,0,3,3,0,3,3,3,0,0,3,3
