First Name,Last Name,SID,anon_id,Email,Sections,Total Score,Max Points,Status,Submission ID,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: PV OP-Def (10.0 pts),2: PV Type (5.0 pts),3: PV Measure (5.0 pts),4: Claim Type (5.0 pts),5: PV Construct Validity (20.0 pts),6: OV OP-Def (10.0 pts),7: OV Type (5.0 pts),8: OV Measure (5.0 pts),9: OV Construct Vulnerability (floater) (20.0 pts),10: Reliability Measure (10.0 pts),11: H0 Sketch (10.0 pts),12: H1 Directional (10.0 pts),13: Relationship Strength (5.0 pts),14: P-Value (5.0 pts),15: Interpretation (5.0 pts),16: MC 1 (2.0 pts),17: MC 2 (2.0 pts),18: MC 3 (2.0 pts),19: MC 4 (2.0 pts),20: MC 5 (2.0 pts),21: MC 6 (2.0 pts),22: MC 7 (2.0 pts),23: MC 8 (2.0 pts),24: MC 9 (2.0 pts),25: MC 10 (2.0 pts)
redacted,redacted,redacted,980587,redacted,psc-041-001-wq-2023,142.5,150,Graded,158997992,2/2/2023 12:39,0:00:00,10,1,7,5,5,5,18,10,5,5,20,10,10,10,5,5,2.5,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,237582,redacted,psc-041-001-wq-2023,109.5,150,Graded,158997993,2/2/2023 12:39,0:00:00,2,1,5.5,5,5,5,7.5,8,5,5,13,0,10,10,5,5,2.5,2,2,2,2,2,2,0,2,2,2
redacted,redacted,redacted,479550,redacted,psc-041-001-wq-2023,142,150,Graded,158997994,2/2/2023 12:39,0:00:00,6,1,9,5,5,5,20,9,5,5,20,8.5,10,10,5,5,2.5,2,2,2,2,2,2,2,2,2,0
redacted,redacted,redacted,568721,redacted,psc-041-002-wq-2023,110.75,150,Graded,158997995,2/2/2023 12:39,0:00:00,1,1,8.75,0,5,5,11,9,0,5,20,1.5,10,10,0,5,2.5,2,2,2,2,2,2,0,2,2,2
redacted,redacted,redacted,841390,redacted,psc-041-002-wq-2023,141.25,150,Graded,158997996,2/2/2023 12:39,0:00:00,6,1,9.75,5,5,5,20,9,5,5,20,9,10,10,5,5,2.5,0,2,2,2,2,2,2,0,2,2
redacted,redacted,redacted,423080,redacted,psc-041-002-wq-2023,132.75,150,Graded,158997997,2/2/2023 12:39,0:00:00,4,1,9,5,5,5,20,10,5,5,16,3,8,10,5,5,3.75,0,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,825875,redacted,psc-041-001-wq-2023,139,150,Graded,158997998,2/2/2023 12:39,0:00:00,1,1,10,5,5,5,19,9.5,5,5,16,10,7,10,5,5,2.5,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,348715,redacted,psc-041-001-wq-2023,138,150,Graded,158997999,2/2/2023 12:39,0:00:00,2,1,10,5,5,5,18,7.5,5,5,20,7,10,10,5,5,2.5,2,2,2,2,2,0,2,2,2,2
redacted,redacted,redacted,706979,redacted,psc-041-001-wq-2023,132,150,Graded,158998000,2/2/2023 12:39,0:00:00,3,1,10,5,5,5,20,9.5,5,5,11,7,7,10,5,5,2.5,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,324553,redacted,psc-041-001-wq-2023,134.5,150,Graded,158998001,2/2/2023 12:39,0:00:00,3,1,9,5,5,5,20,8,5,5,16,10,10,8,5,5,2.5,2,2,2,2,2,2,0,0,2,2
