First Name,Last Name,SID,anon_id,Email,Sections,Total Score,Max Points,Status,Submission ID,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: PV OP-Def (10.0 pts),2: PV Type (5.0 pts),3: PV Measure (5.0 pts),4: Claim Type (5.0 pts),5: PV Construct Validity (20.0 pts),6: OV OP-Def (10.0 pts),7: OV Type (5.0 pts),8: OV Measure (5.0 pts),9: OV Construct Vulnerability (floater) (20.0 pts),10: Reliability Measure (10.0 pts),11: H0 Sketch (10.0 pts),12: H1 Directional (10.0 pts),13: Relationship Strength (5.0 pts),14: P-Value (5.0 pts),15: Interpretation (5.0 pts),16: MC 1 (2.0 pts),17: MC 2 (2.0 pts),18: MC 3 (2.0 pts),19: MC 4 (2.0 pts),20: MC 5 (2.0 pts),21: MC 6 (2.0 pts),22: MC 7 (2.0 pts),23: MC 8 (2.0 pts),24: MC 9 (2.0 pts),25: MC 10 (2.0 pts)
redacted,redacted,redacted,624947,redacted,psc-041-001-wq-2023,128,150,Graded,159014494,2/2/2023 13:25,0:00:00,3,1,10,5,5,5,12,9,5,5,15,4,10,10,5,5,5,2,2,2,2,2,2,0,2,2,2
redacted,redacted,redacted,919266,redacted,psc-041-002-wq-2023,119,150,Graded,159014495,2/2/2023 13:25,0:00:00,9,1,10,5,0,0,17,10,5,5,20,3,10,10,0,5,5,2,0,0,2,2,2,2,0,2,2
redacted,redacted,redacted,557781,redacted,psc-041-002-wq-2023,130.25,150,Graded,159014496,2/2/2023 13:25,0:00:00,8,1,10,5,5,5,18,10,5,5,20,0,10,8,5,0,4.25,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,695840,redacted,psc-041-002-wq-2023,99.5,150,Graded,159014497,2/2/2023 13:25,0:00:00,2,1,8,5,5,5,9,8,5,5,0,0,10,10,5,5,3.5,0,0,2,2,2,2,2,2,2,2
redacted,redacted,redacted,243610,redacted,psc-041-002-wq-2023,122,150,Graded,159014498,2/2/2023 13:25,0:00:00,9,1,10,5,0,0,16,8,5,5,18,9,10,8,5,5,0,2,2,2,2,2,2,0,2,2,2
redacted,redacted,redacted,970613,redacted,psc-041-001-wq-2023,144.5,150,Graded,159014499,2/2/2023 13:25,0:00:00,1,1,10,5,5,5,19,8,5,5,20,10,10,10,5,5,2.5,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,634523,redacted,psc-041-001-wq-2023,114.5,150,Graded,159014500,2/2/2023 13:25,0:00:00,1,1,10,5,5,5,4,7,5,5,15,0,10,10,5,5,3.5,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,742806,redacted,psc-041-002-wq-2023,134.75,150,Graded,159014501,2/2/2023 13:25,0:00:00,0,1,10,5,5,5,19,3.5,5,5,20,10,10,10,0,5,4.25,2,0,2,2,2,2,2,2,2,2
redacted,redacted,redacted,600034,redacted,psc-041-002-wq-2023,110.5,150,Graded,159014502,2/2/2023 13:25,0:00:00,1,1,10,5,5,5,0,7.5,5,5,13,0,10,10,5,5,5,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,975639,redacted,psc-041-002-wq-2023,108.5,150,Graded,159014503,2/2/2023 13:25,0:00:00,0,1,10,5,5,5,14,5,5,5,20,0,10,0,5,0,3.5,0,2,2,2,2,2,2,2,2,0
redacted,redacted,redacted,109338,redacted,psc-041-002-wq-2023,117.5,150,Graded,159014504,2/2/2023 13:25,0:00:00,1,1,9.25,5,5,5,17,8,5,0,4,7,10,10,5,5,4.25,2,2,2,2,2,2,0,2,2,2
redacted,redacted,redacted,737475,redacted,psc-041-001-wq-2023,137,150,Graded,159014505,2/2/2023 13:25,0:00:00,7,1,10,5,5,5,16.5,7,5,5,20,10,10,8,5,5,2.5,2,2,2,2,2,2,2,2,2,0
redacted,redacted,redacted,448698,redacted,psc-041-001-wq-2023,103,150,Graded,159014506,2/2/2023 13:25,0:00:00,0,1,9,0,5,5,13,0.5,0,5,13,10,10,10,0,5,3.5,0,2,2,2,2,2,0,0,2,2
redacted,redacted,redacted,186775,redacted,psc-041-002-wq-2023,111.75,150,Graded,159014507,2/2/2023 13:25,0:00:00,2,1,8,0,5,0,10.5,6,5,5,20,0,10,10,5,5,4.25,2,2,2,2,2,2,0,2,2,2
redacted,redacted,redacted,426634,redacted,psc-041-001-wq-2023,145.25,150,Graded,159014508,2/2/2023 13:25,0:00:00,1,1,10,5,5,5,19,7,5,5,20,10,10,10,5,5,4.25,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,749976,redacted,psc-041-001-wq-2023,145.75,150,Graded,159014509,2/2/2023 13:25,0:00:00,2,1,10,5,5,5,18,9,5,5,20,9.5,10,10,5,5,4.25,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,840605,redacted,psc-041-002-wq-2023,89,150,Graded,159014510,2/2/2023 13:25,0:00:00,4,1,9,5,5,0,0,7,5,5,20,0,10,8,0,0,5,0,0,2,0,0,2,2,0,2,2
redacted,redacted,redacted,820879,redacted,psc-041-001-wq-2023,124.5,150,Graded,159014512,2/2/2023 13:25,0:00:00,3,1,8,5,5,5,12.5,5,5,5,20,9,10,10,5,0,0,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,819157,redacted,psc-041-002-wq-2023,124.25,150,Graded,159014513,2/2/2023 13:25,0:00:00,3,1,7.5,5,0,0,15.5,7,5,5,15,10,10,10,5,5,4.25,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,980472,redacted,psc-041-002-wq-2023,125.75,150,Graded,159014514,2/2/2023 13:25,0:00:00,7,1,9,5,5,5,17,9,5,5,8,10,10,10,5,5,1.75,2,2,2,2,2,2,0,0,2,2
redacted,redacted,redacted,741913,redacted,psc-041-001-wq-2023,107.75,150,Graded,159014515,2/2/2023 13:25,0:00:00,0,1,6,5,5,0,13,1.5,5,5,20,10,7,10,0,0,4.25,0,2,2,2,2,0,2,2,2,2
redacted,redacted,redacted,843368,redacted,psc-041-002-wq-2023,119.75,150,Graded,159014516,2/2/2023 13:25,0:00:00,3,1,10,0,5,5,6.5,5,5,5,18,10,10,10,5,5,4.25,2,0,2,2,2,2,2,0,2,2
redacted,redacted,redacted,357577,redacted,psc-041-002-wq-2023,62.5,150,Graded,159014517,2/2/2023 13:25,0:00:00,0,1,0,0,0,5,0,2,5,0,3,0,10,10,5,5,3.5,2,2,2,0,2,2,2,0,0,2
redacted,redacted,redacted,806967,redacted,psc-041-002-wq-2023,142,150,Graded,159014518,2/2/2023 13:25,0:00:00,2,1,10,5,5,5,17,7,5,5,20,10,10,10,5,5,5,2,2,2,2,2,2,2,0,2,2
redacted,redacted,redacted,564146,redacted,psc-041-001-wq-2023,120.25,150,Graded,159015401,2/2/2023 13:27,0:00:00,3,1,10,5,5,5,11,6.5,5,5,20,3,10,10,5,0,1.75,2,2,2,2,2,2,0,2,2,2
redacted,redacted,redacted,704993,redacted,psc-041-001-wq-2023,129.25,150,Graded,159015402,2/2/2023 13:27,0:00:00,0,1,9,5,5,5,17,4,5,5,20,0,10,10,5,5,4.25,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,357173,redacted,psc-041-001-wq-2023,143.25,150,Graded,159015403,2/2/2023 13:27,0:00:00,2,1,10,5,5,5,18,6,5,5,20,10,10,10,5,5,4.25,2,2,2,2,2,2,2,2,2,2
