First Name,Last Name,SID,anon_id,Email,Sections,Total Score,Max Points,Status,Submission ID,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: PV OP Def  (10.0 pts),2: PV Type (1.5 pts),3: PV Measure (2.0 pts),4: Claim Type (5.0 pts),5: Research Design (5.0 pts),6: PV CV (10.0 pts),7: OV Type (1.5 pts),8: OV Measure (2.0 pts),9: New OV Measure (2.0 pts),10: OV Compare CV (10.0 pts),11: Confound (10.0 pts),12: Internal Threat (10.0 pts),13: Sample Comparisons (5.0 pts),14: Error Bars/Relationship  (5.0 pts),15: P-values (5.0 pts),16: Interpretation (10.0 pts),17: External Threat (10.0 pts),18: Replication (10.0 pts),19: MC1 (3.0 pts),20: MC2 (3.0 pts),21: MC3 (3.0 pts),22: MC4 (3.0 pts),23: MC5 (3.0 pts),24: MC6 (3.0 pts),25: MC7 (3.0 pts),26: MC8 (3.0 pts),27: MC9 (3.0 pts),28: MC10 (3.0 pts),29: MC11 (3.0 pts),30: MC12 (3.0 pts)
redacted,redacted,redacted,364560,redacted,psc-041-001-wq-2023,131.5,150,Graded,168933753,3/16/2023 13:51,0:00:00,0,1,10,1.5,2,5,5,7,1.5,2,2,10,6.5,10,5,5,5,5,10,6,3,3,3,3,3,3,3,3,0,3,3,3
redacted,redacted,redacted,175573,redacted,psc-041-001-wq-2023,109,150,Graded,168933754,3/16/2023 13:51,0:00:00,0,1,8.5,1.5,2,5,5,1,1.5,2,2,10,6.5,10,5,5,5,4,10,7,3,0,0,3,3,0,0,3,3,0,0,3
redacted,redacted,redacted,687940,redacted,psc-041-001-wq-2023,108.25,150,Graded,168933755,3/16/2023 13:51,0:00:00,0,1,9.75,1.5,2,5,5,5.5,1.5,2,2,10,10,0,5,5,5,4,10,7,0,3,3,0,3,0,3,3,3,0,0,0
redacted,redacted,redacted,402997,redacted,psc-041-001-wq-2023,142.5,150,Graded,168933756,3/16/2023 13:51,0:00:00,1,1,7.5,1.5,2,5,5,10,1.5,2,2,10,10,10,0,5,5,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3
redacted,redacted,redacted,919266,redacted,psc-041-002-wq-2023,109.5,150,Graded,168933757,3/16/2023 13:51,0:00:00,4,1,7.5,1.5,2,5,5,7,1.5,2,2,10,6.5,6.5,5,5,5,5,10,5,3,0,0,0,3,3,3,0,3,0,3,0
redacted,redacted,redacted,720723,redacted,psc-041-002-wq-2023,115,150,Graded,168933758,3/16/2023 13:51,0:00:00,0,1,10,1.5,2,5,5,7,1.5,2,2,10,10,6.5,5,5,5,2.5,10,10,3,3,3,0,0,0,0,0,3,0,3,0
redacted,redacted,redacted,209254,redacted,psc-041-001-wq-2023,116.5,150,Graded,168933759,3/16/2023 13:51,0:00:00,0,1,8.5,1.5,2,5,5,7,1.5,2,2,10,6.5,10,5,5,5,2.5,10,10,3,3,3,0,3,0,0,0,3,3,0,0
redacted,redacted,redacted,128016,redacted,psc-041-001-wq-2023,97.5,150,Graded,168933760,3/16/2023 13:51,0:00:00,1,1,9.75,1.5,0,0,0,7,1.5,2,0,6.5,4.25,10,5,5,5,4,10,5,0,3,3,3,3,0,3,3,3,0,0,0
redacted,redacted,redacted,574860,redacted,psc-041-001-wq-2023,138.5,150,Graded,168933761,3/16/2023 13:51,0:00:00,1,1,10,1.5,2,5,5,10,1.5,2,2,10,10,10,5,5,5,7.5,10,7,3,3,3,3,3,0,3,0,3,3,3,3
redacted,redacted,redacted,822752,redacted,psc-041-001-wq-2023,140,150,Graded,168933762,3/16/2023 13:51,0:00:00,1,1,10,1.5,2,5,5,10,1.5,2,2,10,10,10,5,5,5,4,10,6,3,3,3,3,3,3,3,3,3,3,3,3
