"question_id","Notation","version","student_id","anon_id","exam"
"H0","CH01B","C",920003983,853202,1
"H0","CH01B","A",919570760,722426,1
"H0","CH01B","C",918166793,166653,1
"H0","CH01B","C",921395182,226831,1
"H0","CH01B","A",920758351,119737,1
"H0","CH01B","B",920154214,854187,1
"H0","CH01B","B",917065921,431471,1
"H0","CH01B","D",918318790,288140,1
"H0","CH01B","A",920611003,636429,1
"H0","CH01B","C",920076059,536224,1
"H0","CH01B","A",920077401,632601,1
"H0","CH01B","A",919214738,419144,1
"H0","CH01B","B",921393838,451632,1
"H0","CH01B","B",918752835,721234,1
"H0","CH01B","D",917441354,342612,1
"H0","CH01B","C",919958874,614963,1
"H0","CH01B","A",919948172,157930,1
"H0","CH01B","B",918722483,124520,1
"H0","CH01B","B",918453477,558605,1
"H0","CH01B","B",918802303,622456,1
"H0","CH01B","D",921341534,799050,1
"H0","CH01B","A",919770609,625832,1
"H0","CH01B","C",919578937,819181,1
"H0","CH01B","C",921157935,577775,1
"H0","CH01B","A",920639205,341430,1
"H0","CH01B","A",920929339,46228,1
"H0","CH01B","C",918275626,407642,1
"H0","CH01B","A",919590436,759444,1
"H0","CH01B","D",918641454,88518,1
"H0","CH01B","C",921504261,662362,1
"H0","CH01B","D",919926411,655693,1
"H0","CH01B","A",921180177,382346,1
"H0","CH01B","A",918014638,812426,1
"H0","CH01B","B",919245532,690944,1
"H0","CH01B","C",919282184,428345,1
"H0","CH01B","B",920816251,192121,1
"H0","CH01B","B",918578190,354442,1
"H0","CH02B","B",920916669,765041,1
"H0","CH02B","D",919602324,856041,1
"H0","CH02B","C",920003983,853202,1
"H0","CH02B","D",920661600,329562,1
"H0","CH02B","B",918166667,288131,1
"H0","CH02B","B",917474059,133842,1
"H0","CH02B","C",918166793,166653,1
"H0","CH02B","C",921390556,56505,1
"H0","CH02B","C",919986590,548093,1
"H0","CH02B","C",921395182,226831,1
"H0","CH02B","C",918479587,955043,1
"H0","CH02B","C",921117454,965907,1
"H0","CH02B","C",920181258,243506,1
"H0","CH02B","B",919651809,228847,1
"H0","CH02B","D",919602285,598625,1
"H0","CH02B","D",919337563,359780,1
"H0","CH02B","C",921066534,444669,1
"H0","CH02B","D",916556606,978222,1
"H0","CH02B","C",918552103,755185,1
"H0","CH02B","D",918129510,949859,1
"H0","CH02B","D",919380662,268381,1
"H0","CH02B","B",921000435,664495,1
"H0","CH02B","C",920521889,159092,1
"H0","CH02B","C",920076059,536224,1
"H0","CH02B","C",919802470,956000,1
"H0","CH02B","C",919195459,694922,1
"H0","CH02B","A",919903874,968101,1
"H0","CH02B","C",919503889,899130,1
"H0","CH02B","D",918106892,654402,1
"H0","CH02B","C",919958874,614963,1
"H0","CH02B","C",920488993,336889,1
"H0","CH02B","C",921000655,486673,1
"H0","CH02B","C",919711558,351465,1
"H0","CH02B","C",918680305,19550,1
"H0","CH02B","D",919153488,696670,1
"H0","CH02B","C",918803315,307449,1
"H0","CH02B","C",919705946,645756,1
"H0","CH02B","D",921341534,799050,1
"H0","CH02B","C",920654028,640132,1
"H0","CH02B","C",918717799,836178,1
"H0","CH02B","C",920023549,505733,1
"H0","CH02B","A",919770609,625832,1
"H0","CH02B","B",921374682,141773,1
"H0","CH02B","C",918471718,880512,1
"H0","CH02B","C",919578937,819181,1
"H0","CH02B","C",920901289,303623,1
"H0","CH02B","D",920646094,713655,1
"H0","CH02B","C",920967469,935209,1
"H0","CH02B","A",920101885,891009,1
"H0","CH02B","C",918275626,407642,1
"H0","CH02B","D",918641454,88518,1
"H0","CH02B","D",919942880,978776,1
"H0","CH02B","C",921029953,614108,1
"H0","CH02B","D",919926411,655693,1
"H0","CH02B","C",921168791,740509,1
"H0","CH02B","A",921180177,382346,1
"H0","CH02B","C",919282184,428345,1
"H0","CH02B","D",918687528,436497,1
"H0","CH02B","B",920816251,192121,1
"H0","CH02B","B",918578190,354442,1
"H0","CH02B","B",919914818,901788,1
"H0","CH02B","D",919551925,366508,1
"H0","CH03B","B",918752987,968096,1
"H0","CH03B","B",918612056,352635,1
"H0","CH03B","B",921476739,626623,1
"H0","CH03B","B",919295087,907418,1
"H0","CH03B","A",919664113,865209,1
"H0","CH03B","A",918552365,59263,1
"H0","CH03B","A",919598360,650154,1
"H0","CH03B","A",920661066,358872,1
"H0","CH03B","B",920978924,153600,1
"H0","CH03B","B",918166353,267235,1
"H0","CH03B","B",920154214,854187,1
"H0","CH03B","B",919151228,323464,1
"H0","CH03B","A",920985043,528554,1
"H0","CH03B","B",920031094,126266,1
"H0","CH03B","B",921000435,664495,1
"H0","CH03B","B",920829963,985120,1
"H0","CH03B","A",920077401,632601,1
"H0","CH03B","B",920049086,291081,1
"H0","CH03B","B",918752835,721234,1
"H0","CH03B","A",918281005,978945,1
"H0","CH03B","B",916561057,620447,1
"H0","CH03B","B",919809499,292843,1
"H0","CH03B","A",921125860,235058,1
"H0","CH03B","A",919948172,157930,1
"H0","CH03B","B",918722483,124520,1
"H0","CH03B","B",920677034,92527,1
"H0","CH03B","B",918453477,558605,1
"H0","CH03B","B",918802303,622456,1
"H0","CH03B","B",919927643,926367,1
"H0","CH03B","A",918631383,587190,1
"H0","CH03B","B",919508059,365616,1
"H0","CH03B","B",920562767,162017,1
"H0","CH03B","A",921066877,657777,1
"H0","CH03B","B",919141513,779885,1
"H0","CH03B","A",920916630,135223,1
"H0","CH03B","B",918769048,345393,1
"H0","CH03B","B",918726780,861908,1
"H0","CH03B","A",920101885,891009,1
"H0","CH03B","B",920734032,74053,1
"H0","CH03B","A",919180464,861628,1
"H0","CH03B","A",919348167,148499,1
"H0","CH03B","A",921185745,91330,1
"H0","CH03C","B",920916669,765041,1
"H0","CH03C","C",920003983,853202,1
"H0","CH03C","A",916063005,751453,1
"H0","CH03C","A",917069862,118791,1
"H0","CH03C","A",921399311,248654,1
"H0","CH03C","A",920773417,819339,1
"H0","CH03C","B",917065921,431471,1
"H0","CH03C","B",918638108,363247,1
"H0","CH03C","A",920482533,325835,1
"H0","CH03C","B",921437600,517410,1
"H0","CH03C","C",920076059,536224,1
"H0","CH03C","B",921393838,451632,1
"H0","CH03C","D",917441354,342612,1
"H0","CH03C","A",919330094,566484,1
"H0","CH03C","C",921000655,486673,1
"H0","CH03C","A",920447044,59135,1
"H0","CH03C","B",919246641,739642,1
"H0","CH03C","A",920727285,484404,1
"H0","CH03C","A",920482850,218881,1
"H0","CH03C","A",921392813,943776,1
"H0","CH03C","C",921504261,662362,1
"H0","CH03C","B",921361129,919187,1
"H0","CH03C","B",919245532,690944,1
"H0","CH03C","C",919282184,428345,1
"H0","CH03C","A",919667178,176063,1
"H0","CH03C","A",920076868,480220,1
"H0","CH03C","A",920858390,616583,1
"H0","CH03C","A",919976364,800464,1
"H0","CH03D","C",921395182,226831,1
"H0","CH03D","A",919715994,774132,1
"H0","CH03D","B",920984293,470909,1
"H0","CH03D","D",916473734,693113,1
"H0","CH03D","A",919770609,625832,1
"H0","CH03D","D",918641454,88518,1
"H0","CH03D","A",919859520,509583,1
"H1","CH12","B",919565597,943584,1
"H1","CH12","B",918752987,968096,1
"H1","CH12","B",921476739,626623,1
"H1","CH12","B",917029022,465337,1
"H1","CH12","B",920916669,765041,1
"H1","CH12","B",920502196,580775,1
"H1","CH12","A",919881239,222033,1
"H1","CH12","A",919349551,296676,1
"H1","CH12","A",919570760,722426,1
"H1","CH12","A",916063005,751453,1
"H1","CH12","A",921345608,507517,1
"H1","CH12","A",920758351,119737,1
"H1","CH12","A",919598360,650154,1
"H1","CH12","A",920661066,358872,1
"H1","CH12","B",919194104,92678,1
"H1","CH12","A",920773417,819339,1
"H1","CH12","B",920563892,700204,1
"H1","CH12","B",918187756,945105,1
"H1","CH12","B",920154214,854187,1
"H1","CH12","B",919151228,323464,1
"H1","CH12","B",920984293,470909,1
"H1","CH12","B",921314639,558377,1
"H1","CH12","B",921094205,237915,1
"H1","CH12","A",920611003,636429,1
"H1","CH12","B",918333429,593374,1
"H1","CH12","A",921058432,481746,1
"H1","CH12","A",919542934,786495,1
"H1","CH12","A",918572947,884359,1
"H1","CH12","A",920802540,702967,1
"H1","CH12","B",918752835,721234,1
"H1","CH12","B",920751552,225529,1
"H1","CH12","B",916561057,620447,1
"H1","CH12","A",919169883,852762,1
"H1","CH12","A",920447044,59135,1
"H1","CH12","A",919948172,157930,1
"H1","CH12","B",919712256,133411,1
"H1","CH12","B",920042229,660158,1
"H1","CH12","B",918802303,622456,1
"H1","CH12","A",919770609,625832,1
"H1","CH12","B",919988365,665605,1
"H1","CH12","A",921066877,657777,1
"H1","CH12","B",919023259,285732,1
"H1","CH12","A",921490977,850089,1
"H1","CH12","A",920529409,581826,1
"H1","CH12","A",919173934,753426,1
"H1","CH12","A",919494736,330065,1
"H1","CH12","A",920482850,218881,1
"H1","CH12","A",920728572,146064,1
"H1","CH12","A",921177261,43757,1
"H1","CH12","A",920831825,738956,1
"H1","CH12","B",920693704,860152,1
"H1","CH12","A",918014638,812426,1
"H1","CH12","A",919667178,176063,1
"H1","CH12","A",920758814,935667,1
"H1","CH12","A",920489617,764022,1
"H1","CH12","A",920179147,606922,1
"H1","CH12","A",919938865,549967,1
"H1","CH12","A",920076868,480220,1
"H1","CH12","B",920816251,192121,1
"H1","CH12","A",918805805,417319,1
"H1","CH12","A",921185745,91330,1
"H1","CH12","B",919914818,901788,1
"H1","CH12","A",919976364,800464,1
"H1","CH13","C",919359509,958519,1
"H1","CH13","A",919715994,774132,1
"H1","CH13","B",919396119,785564,1
"H1","CH13","A",920566462,52942,1
"H1","CH13","A",921399311,248654,1
"H1","CH13","B",917065921,431471,1
"H1","CH13","A",920985043,528554,1
"H1","CH13","B",919358047,207574,1
"H1","CH13","A",920914441,429624,1
"H1","CH13","A",921165862,512211,1
"H1","CH13","D",919796366,684715,1
"H1","DH12","C",919359509,958519,1
"H1","DH12","A",919881239,222033,1
"H1","DH12","C",921117454,965907,1
"H1","DH12","C",920181258,243506,1
"H1","DH12","C",921187471,642673,1
"H1","DH12","A",920566462,52942,1
"H1","DH12","A",921399311,248654,1
"H1","DH12","B",917065921,431471,1
"H1","DH12","A",920985043,528554,1
"H1","DH12","C",917362242,490479,1
"H1","DH12","D",918106892,654402,1
"H1","DH12","C",919958874,614963,1
"H1","DH12","C",918803315,307449,1
"H1","DH12","A",921165862,512211,1
"H1","DH12","D",918306281,179621,1
"H1","DH12","C",919864667,968141,1
"H1","DH12","D",920952225,162626,1
"OPDEF","OP2","C",920506710,318284,1
"OPDEF","OP2","C",919359509,958519,1
"OPDEF","OP2","D",920524873,258330,1
"OPDEF","OP2","C",919832301,836043,1
"OPDEF","OP2","D",920798641,305722,1
"OPDEF","OP2","C",920003983,853202,1
"OPDEF","OP2","D",920661600,329562,1
"OPDEF","OP2","D",920512814,580964,1
"OPDEF","OP2","C",921390556,56505,1
"OPDEF","OP2","D",919426270,927140,1
"OPDEF","OP2","D",918333241,94611,1
"OPDEF","OP2","C",921395182,226831,1
"OPDEF","OP2","C",921117454,965907,1
"OPDEF","OP2","C",920649075,871838,1
"OPDEF","OP2","C",919385654,108362,1
"OPDEF","OP2","D",919602285,598625,1
"OPDEF","OP2","D",919337563,359780,1
"OPDEF","OP2","D",917527498,692033,1
"OPDEF","OP2","C",919986082,34034,1
"OPDEF","OP2","D",918129510,949859,1
"OPDEF","OP2","D",918318790,288140,1
"OPDEF","OP2","C",921123901,703507,1
"OPDEF","OP2","D",919380662,268381,1
"OPDEF","OP2","C",918210092,964323,1
"OPDEF","OP2","C",917337099,881437,1
"OPDEF","OP2","C",919802470,956000,1
"OPDEF","OP2","C",915435469,374551,1
"OPDEF","OP2","D",919332652,672211,1
"OPDEF","OP2","D",917420294,142272,1
"OPDEF","OP2","C",918680305,19550,1
"OPDEF","OP2","C",919544110,822100,1
"OPDEF","OP2","D",920896103,671226,1
"OPDEF","OP2","D",921316857,689786,1
"OPDEF","OP2","D",921241692,807619,1
"OPDEF","OP2","D",919520846,448807,1
"OPDEF","OP2","D",918841791,259835,1
"OPDEF","OP2","C",918717799,836178,1
"OPDEF","OP2","C",916873842,594464,1
"OPDEF","OP2","C",918471718,880512,1
"OPDEF","OP2","D",921315269,125319,1
"OPDEF","OP2","C",919578937,819181,1
"OPDEF","OP2","C",921157935,577775,1
"OPDEF","OP2","D",918306281,179621,1
"OPDEF","OP2","C",919722259,965176,1
"OPDEF","OP2","D",919595813,92945,1
"OPDEF","OP2","D",920112191,263276,1
"OPDEF","OP2","D",921235174,139832,1
"OPDEF","OP2","D",918588300,876961,1
"OPDEF","OP2","D",920834961,950540,1
"OPDEF","OP2","D",918641454,88518,1
"OPDEF","OP2","C",919864667,968141,1
"OPDEF","OP2","D",920665936,51543,1
"OPDEF","OP2","C",919245338,690437,1
"OPDEF","OP2","D",918583017,679177,1
"OPDEF","OP2","C",921029953,614108,1
"OPDEF","OP2","C",921380320,31769,1
"OPDEF","OP2","D",919337291,444254,1
"OPDEF","OP2","D",918687528,436497,1
"OPDEF","OP2","D",918824970,769729,1
"OPDEF","OP2","D",919408081,225644,1
"OPDEF","OP2","D",920486940,58745,1
"OPDEF","OP2","D",920952225,162626,1
