"student_id","time","attempt","question_id"
915435469,1,1,"H0"
915435469,1,1,"H1"
915435469,1,1,"OPDEF"
915435469,2,2,"OPDEF"
915435469,2,1,"CV"
915435469,2,1,"Interpret"
915435469,3,3,"OPDEF"
915435469,3,2,"CV"
915435469,3,1,"CONFOUND"
915435469,4,4,"OPDEF"
915435469,4,3,"CV"
915435469,4,1,"COMPCV"
915435469,4,2,"Interpret"
915435469,4,2,"CONFOUND"
915435469,4,1,"IVTHREAT"
915435469,4,1,"REP"
916063005,1,1,"H0"
916063005,1,1,"H1"
916063005,1,1,"OPDEF"
916063005,2,2,"OPDEF"
916063005,2,1,"CV"
916063005,2,1,"Interpret"
916063005,3,3,"OPDEF"
916063005,3,2,"CV"
916063005,3,1,"CONFOUND"
916063005,4,4,"OPDEF"
916063005,4,3,"CV"
916063005,4,1,"COMPCV"
916063005,4,2,"Interpret"
916063005,4,2,"CONFOUND"
916063005,4,1,"IVTHREAT"
916063005,4,1,"REP"
916473734,1,1,"H0"
916473734,1,1,"H1"
916473734,1,1,"OPDEF"
916473734,2,2,"OPDEF"
916473734,2,1,"CV"
916473734,2,1,"Interpret"
916473734,3,3,"OPDEF"
916473734,3,2,"CV"
916473734,3,1,"CONFOUND"
916473734,4,4,"OPDEF"
916473734,4,3,"CV"
916473734,4,1,"COMPCV"
916473734,4,2,"Interpret"
916473734,4,2,"CONFOUND"
916473734,4,1,"IVTHREAT"
916473734,4,1,"REP"
916556606,1,1,"H0"
916556606,1,1,"H1"
916556606,1,1,"OPDEF"
916556606,2,2,"OPDEF"
916556606,2,1,"CV"
916556606,2,1,"Interpret"
916556606,3,3,"OPDEF"
916556606,3,2,"CV"
916556606,3,1,"CONFOUND"
916556606,4,4,"OPDEF"
916556606,4,3,"CV"
916556606,4,1,"COMPCV"
916556606,4,2,"Interpret"
916556606,4,2,"CONFOUND"
916556606,4,1,"IVTHREAT"
916556606,4,1,"REP"
916561057,1,1,"H0"
916561057,1,1,"H1"
916561057,1,1,"OPDEF"
916561057,2,2,"OPDEF"
916561057,2,1,"CV"
916561057,2,1,"Interpret"
916561057,3,3,"OPDEF"
916561057,3,2,"CV"
916561057,3,1,"CONFOUND"
916561057,4,4,"OPDEF"
916561057,4,3,"CV"
916561057,4,1,"COMPCV"
916561057,4,2,"Interpret"
916561057,4,2,"CONFOUND"
916561057,4,1,"IVTHREAT"
916561057,4,1,"REP"
916748430,1,1,"H0"
916748430,1,1,"H1"
916748430,1,1,"OPDEF"
916748430,2,2,"OPDEF"
916748430,2,1,"CV"
916748430,2,1,"Interpret"
916748430,3,3,"OPDEF"
916748430,3,2,"CV"
916748430,3,1,"CONFOUND"
916748430,4,4,"OPDEF"
916748430,4,3,"CV"
916748430,4,1,"COMPCV"
916748430,4,2,"Interpret"
916748430,4,2,"CONFOUND"
916748430,4,1,"IVTHREAT"
916748430,4,1,"REP"
916855734,1,1,"H0"
916855734,1,1,"H1"
916855734,1,1,"OPDEF"
916855734,2,2,"OPDEF"
916855734,2,1,"CV"
916855734,2,1,"Interpret"
916855734,3,3,"OPDEF"
916855734,3,2,"CV"
916855734,3,1,"CONFOUND"
916855734,4,4,"OPDEF"
916855734,4,3,"CV"
916855734,4,1,"COMPCV"
916855734,4,2,"Interpret"
916855734,4,2,"CONFOUND"
916855734,4,1,"IVTHREAT"
916855734,4,1,"REP"
916873842,1,1,"H0"
916873842,1,1,"H1"
916873842,1,1,"OPDEF"
916873842,2,2,"OPDEF"
916873842,2,1,"CV"
916873842,2,1,"Interpret"
916873842,3,3,"OPDEF"
916873842,3,2,"CV"
916873842,3,1,"CONFOUND"
916873842,4,4,"OPDEF"
916873842,4,3,"CV"
916873842,4,1,"COMPCV"
916873842,4,2,"Interpret"
916873842,4,2,"CONFOUND"
916873842,4,1,"IVTHREAT"
916873842,4,1,"REP"
917029022,1,1,"H0"
917029022,1,1,"H1"
917029022,1,1,"OPDEF"
917029022,2,2,"OPDEF"
917029022,2,1,"CV"
917029022,2,1,"Interpret"
917029022,3,3,"OPDEF"
917029022,3,2,"CV"
917029022,3,1,"CONFOUND"
917029022,4,4,"OPDEF"
917029022,4,3,"CV"
917029022,4,1,"COMPCV"
917029022,4,2,"Interpret"
917029022,4,2,"CONFOUND"
917029022,4,1,"IVTHREAT"
917029022,4,1,"REP"
917065921,1,1,"H0"
917065921,1,1,"H1"
917065921,1,1,"OPDEF"
917065921,2,2,"OPDEF"
917065921,2,1,"CV"
917065921,2,1,"Interpret"
917065921,3,3,"OPDEF"
917065921,3,2,"CV"
917065921,3,1,"CONFOUND"
