"","anon_id","consent","age","year","gender","int_student","esl","e_exp","e_lvl","URM","p_education","m_education","par_rel","fin_support","ses","grant","soc_med","hw_time","transfer"
"1",946353,"","","Sophomore - 2nd year","Woman","No, I am not an international student","English is not my first language","100","","","","","","","","","","",""
"2",514088,"","","","","","","","","","","","","","","","","",""
"3",695840,"","","","","","","","","","","","","","","","","",""
"4",781336,"","","","","","","","","","","","","","","","","4","No"
"5",623912,"","","","","","","","","","","","","","","","","",""
"6",670267,"I have read this information sheet, and I do not consent to participate in this study. I will earn the extra credit by submitting ‘decline to answer’ on each of the questions.","18","I decline to answer","I decline to answer","I decline to answer","I decline to answer","decline to answer","I decline to answer","I decline to answer","Decline to answer","I decline to answer","I decline to answer","I decline to answer","Decline to answer","Decline to answer","90","15","I decline to answer"
"7",453529,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Woman","No, I am not an international student","English is my first language","100","5- I am confident reading advanced books in English(e.g., historical literature or science non-fiction)","East or South East Asian","He earned a graduate degree (Masters or Ph.D)","She earned a 4-year degree","Together","6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","240","720","No"
"8",134149,"I have read this information sheet form, I consent to participate in this study.","19","Sophomore - 2nd year","Man","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Caucasian","He left when he graduated from high school (or GED)","She left school before she graduated from high school","Separated","1- No support","I did not qualify for 'free or reduced cost lunch' at all in high school","I do qualify for a Pell Grant","90","8","No"
"9",388918,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Woman","No, I am not an international student","English is my first language","99","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino","He left when he graduated from high school (or GED)","She left school before she graduated from high school","Together","6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)","I qualified for 'free or reduced cost lunch' for all or most of high school","I don't know if I qualify for a Pell Grant","300","18","No"
"10",603399,"I have read this information sheet form, I consent to participate in this study.","19","Sophomore - 2nd year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Middle Eastern or West Asian,Caucasian","He earned a 4-year degree","She earned a 4-year degree","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do qualify for a Pell Grant","300","35","No"
"11",190818,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","South Asian","He earned a graduate degree (Masters or Ph.D)","She earned a graduate degree (Masters or Ph.D)","Together","6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","120","2","No"
"12",495024,"I have read this information sheet form, I consent to participate in this study.","19","Freshman - 1st year","Woman","No, I am not an international student","English is my first language","90","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He earned a 4-year degree","She earned a 4-year degree","Together","6- Mostly supported (e.g. All bills, housing and tuition, but not food or spending money)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","300","40","No"
"13",142556,"I have read this information sheet form, I consent to participate in this study.","18","Freshman - 1st year","Woman","No, I am not an international student","English is not my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","South Asian","He earned a 4-year degree","She left school when she graduated from high school (or GED)","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","300","14","No"
"14",766084,"I have read this information sheet form, I consent to participate in this study.","20","Sophomore - 2nd year","Man","No, I am not an international student","English is not my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He left when he graduated from high school (or GED)","She left school when she graduated from high school (or GED)","Single","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","90","6.5","No"
"15",210273,"I have read this information sheet form, I consent to participate in this study.","20","Junior - 3rd year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","East or South East Asian","He earned a 4-year degree","She earned a 4-year degree","Together","7- Fully supported (e.g All necessities are provided or paid for)","I did not qualify for 'free or reduced cost lunch' at all in high school","I do not qualify for a Pell Grant","240","32","No"
"16",378876,"I have read this information sheet form, I consent to participate in this study.","19","Sophomore - 2nd year","Woman","No, I am not an international student","English is not my first language","90","3 - I am confident reading moderate books in English (e.g., young adult fiction)","East or South East Asian","He earned a 4-year degree","She attended some college, but left before she earned a 4-year degree","Divorced","4- Some support (e.g. Bills but not housing or small monthly allowance)","I qualified for 'free or reduced cost lunch' for all or most of high school","I do qualify for a Pell Grant","300","36","No"
"17",338114,"I have read this information sheet form, I consent to participate in this study.","25","Junior - 3rd year","Woman","No, I am not an international student","English is my first language","85%","1 - I am confident reading simple information in English (e.g., signs and instructions)","Black or African American","He attended some college, but left before he earned a 4-year degree","She attended some college, but left before she earned a 4-year degree","I decline to answer","I decline to answer","I don't know if I qualified for a 'free or reduced cost lunch' program","I do not qualify for a Pell Grant","120","6","Yes"
"18",208750,"I have read this information sheet form, I consent to participate in this study.","20","Sophomore - 2nd year","Woman","No, I am not an international student","English is my first language","100","6- I am confident reading very complex information in English(e.g., college textbooks, published papers)","Hispanic or Latino","He earned a 4-year degree","She earned a 4-year degree","Together","5- Halfway supported (e.g. All bills and housing but not tuition OR Tuition and small allowance, but not housing or bills)","I did not qualify for 'free or reduced cost lunch' at all in high school","Decline to answer","100","12","No"
