anon_id,views,h0,h1,h2,pv_op,ov_op,claim_ex,temp,alt_ex,interpret
100124,1,5,3,5,3,0,5,8,3,9.5
571323,5,5,5,5,7.5,9,10,10,8,6.5
693286,3,4,3.5,5,10,9,10,10,10,6.5
941242,2,5,5,5,9,8,5,1,7.75,7
478268,2,5,4,5,6,8.5,5,10,4,6.5
843368,8,5,4,5,0,5.5,10,6,8,0
184622,2,5,5,5,8,10,10,10,8,6.5
464491,1,5,5,5,7,9,10,10,3,6.5
509369,1,4,3,5,8,9,5,6,8,6.5
919451,2,3.5,3,5,7.5,8,5,1,2,0
992103,1,4,4.5,4.5,5,10,10,9,0,6.5
808560,5,4.5,0,5,0,6.5,10,2,9,6.5
518197,5,5,4,5,10,10,5,0,9,7
766313,5,5,4.5,5,3.5,0,7.5,6,3,6.5
859374,3,4,5,5,8.5,10,10,10,10,6.5
907662,2,3.5,3.5,5,7,7,5,1,0,0
972609,0,4,3.5,3.5,0,0,0,0,0,6.5
891202,2,5,4.5,3,10,9,10,9,10,7
980134,3,5,5,4,9,10,10,9,10,9.5
210273,3,4.5,0,3.5,0,9,5,10,10,6.5
578485,4,4.5,3.5,4.5,10,10,10,10,10,6.5
193776,1,5,4.5,5,10,10,10,10,9,6.5
878864,1,4.5,3.5,5,7.5,9.5,5,3,8,9.5
135727,7,4,3.5,0,8.5,7,5,0,2,0
266622,2,5,0,5,6,9,10,10,3,8
993306,1,4,4.5,3.5,6,2,5,10,9,8
624947,3,5,3.5,5,10,10,10,8,8,6.5
684227,1,4.5,4.5,4.5,10,8.5,10,10,8,10
883903,3,5,0,5,8,10,10,8,8,10
693045,1,4,4.5,5,0,1.5,5,10,8,6.5
819274,5,5,4.5,5,8.5,10,10,9,7,6.5
695840,2,5,0,5,8.5,9,5,0,6,6.5
796147,9,5,5,5,10,9.5,10,10,8,6.5
238823,4,5,0,5,8,10,10,10,8,6.5
209254,1,5,0,0,0,0,5,0,0,0
327020,4,5,3.5,5,9.5,9.5,10,10,9,10
965522,0,5,4,5,5,6,10,0,0,6.5
607016,1,5,0,4,8,4,10,0,0,6.5
143458,3,4,0,4,0,0,5,0,3,8
600034,0,3.5,0,4.5,8,10,10,10,8.75,7
340708,1,2,4,5,9,7,5,4,0,6.5
957708,1,4.5,4,4.5,8.5,8.5,0,10,8,10
307053,0,4.5,2,2,9,7,5,0,0,6.5
208750,0,5,0,2,0,9.5,10,5,8,8
737475,6,5,5,5,9,9,10,10,9,9.5
687838,3,5,0,5,8.5,10,10,10,0,8
917655,4,5,3.5,5,10,8.5,5,6,8.75,7
840605,2,4.5,0,2,0,4.5,0,0,5,0
962814,1,0,0,0,0,8.5,0,0,0,6.5
444720,2,5,3.5,5,10,10,10,10,8,7
749976,1,5,4,5,10,10,10,10,8,7
550977,1,4,0,4,0,5,10,6,2,6.5
741913,1,5,3.5,5,7,6,10,0,0,9.5
930504,3,5,0,5,9,9.5,10,0,4,9.5
#N/A,0,4.5,0,4,9,8.5,5,9,4.75,6.5
202048,3,5,5,5,8,8,10,10,10,6.5
822014,3,5,1,2,10,8,10,9.5,9,9.5
507880,4,5,4.5,5,8,9,10,6,7,9.5
451623,6,4.5,3.5,4.5,9,9.5,10,8,0,7
585527,4,5,4,5,9,9.5,10,9,10,6.5
270982,4,5,2,2,0,4,5,0,0,6.5
861674,5,4,4.5,4.5,10,10,10,9.5,7,8
839513,3,5,4.5,4.5,4,10,10,0,8,8.5
#N/A,0,5,3.5,3.5,1,4.5,10,0,0,9.5
862880,1,5,4.5,5,6,9,10,10,9,0
282568,3,5,5,5,9.5,10,10,10,8,8
657848,3,5,5,5,8.5,9.5,10,10,10,6.5
341372,4,5,4,5,1,8,10,4,8,8
441521,1,5,5,5,10,10,10,10,7,6.5
319559,2,5,4.5,5,9,9,10,9.5,0,6.5
439234,3,5,2.5,5,8,10,10,8.5,0,0
166548,1,4.5,4,5,0,0,10,8,8,6.5
487505,0,4,0,3.5,0,8,5,0,9,0
120124,6,5,3.5,5,10,9,5,9,8,10
879263,9,5,1,2,9.5,9,10,10,8,0
342170,3,4,3.5,5,1,5,5,0,7,6.5
199772,0,4,5,5,2,7,10,10,9,7
522922,4,0,4.5,3.5,7,7,5,6,10,6.5
#N/A,0,5,0,4,6.5,8.5,10,0,8,8
337398,1,4.5,5,4.5,9,10,10,7,9,9.5
425200,1,5,5,5,9.5,9.5,10,0,8,7
502302,2,5,5,5,10,7.5,10,10,9,6.5
947959,3,5,5,5,2,4.5,2.5,0,0,6.5
676026,3,4.5,5,4.5,10,8,5,8,8,6.5
928498,1,5,5,5,10,9,10,10,8,0
116312,1,3.5,0,3.5,9,5,0,10,0,0
116004,5,5,5,5,10,10,10,10,8,6.5
690036,3,4,4.5,5,9.5,9,5,7,8,0
562399,1,5,0,3.5,0,3,2.5,0,0,0
850435,2,4,5,5,8.5,10,10,10,8,8
