"source","SID","views2","pv_op","cv_float","ov_op","cv","reliability","h1","interpret"
"2_A_Feb15.csv",918402266,0,5,13,5,18,10,5,2.5
"2_A_Feb15.csv",921185745,0,5,18,5,14,10,5,2.5
"2_A_Feb15.csv",919335387,0,5,11.5,5,17,10,5,2.5
"2_A_Feb15.csv",919927643,0,5,18,5,20,10,5,2.5
"2_A_Feb15.csv",920076868,0,5,18,5,12,10,0,1.25
"2_A_Feb15.csv",919542934,3,5,17,5,14,10,5,2.5
"2_A_Feb15.csv",917527498,0,5,12.5,5,0,10,5,2.5
"2_A_Feb15.csv",919528990,1,5,18,5,18,10,5,3.75
"2_A_Feb15.csv",918176974,1,5,18,5,20,10,5,2.5
"2_A_Feb15.csv",921125860,0,5,11.5,5,19,8,5,2.5
"2_A_Feb15.csv",920985043,0,5,17,5,0,5,0,1.25
"2_A_Feb15.csv",920916669,3,5,11,5,18,10,5,2.5
"2_A_Feb15.csv",920893656,0,5,16,5,20,10,0,2.5
"2_A_Feb15.csv",919385654,0,5,20,5,20,10,0,2.5
"2_A_Feb15.csv",920140493,1,0,16.5,0,0,7,0,2.5
"2_A_Feb15.csv",918656012,0,0,20,5,15,2,5,0
"2_A_Feb15.csv",921205696,4,5,20,0,15.5,10,5,3.75
"2_A_Feb15.csv",918738516,0,5,11,5,12.5,10,5,0
"2_A_Feb15.csv",919396643,3,5,16,5,18,10,5,2.5
"2_A_Feb15.csv",918456694,1,0,14,5,17,5,0,1.25
"2_A_Feb15.csv",918014638,1,5,15,5,18,10,5,2.5
"2_A_Feb15.csv",919560149,0,5,18.5,5,1,5,5,0
"2_A_Feb15.csv",920656013,0,5,20,5,19,10,5,5
"2_A_Feb15.csv",919282184,2,5,20,0,19,5,0,1.25
"2_A_Feb15.csv",920751552,0,5,15,5,11,10,5,2.5
"2_A_Feb15.csv",918752987,0,5,9,5,0,8,5,1.25
"2_A_Feb15.csv",921168791,0,5,16,5,19,10,5,3.75
"2_A_Feb15.csv",919905432,2,5,18,5,5.5,10,5,2.5
"2_A_Feb15.csv",920693704,0,5,17.5,5,19,10,5,3.75
"2_A_Feb15.csv",919711558,2,5,20,5,19,8,0,2.5
"2_A_Feb15.csv",919200742,1,5,11,5,5.5,10,5,2.5
"2_A_Feb15.csv",919245532,0,5,6.5,5,13.5,5,5,3.75
"2_A_Feb15.csv",919296484,0,5,12.5,5,13,8,5,2.5
"2_A_Feb15.csv",919743843,0,5,18,5,8,5,5,2.5
"2_A_Feb15.csv",920521889,3,5,18,5,10,10,5,3.75
"2_A_Feb15.csv",920816251,1,5,17.5,5,15,5,5,3.75
"2_A_Feb15.csv",921395182,0,5,2.5,0,19,0,0,0
"2_A_Feb15.csv",919356890,3,5,12.5,5,14,10,5,1.25
"2_A_Feb15.csv",921094205,1,5,13,5,16,10,5,3.75
"2_A_Feb15.csv",921029953,0,0,20,5,12,10,5,0
"2_A_Feb15.csv",920646094,5,5,16,5,17,10,0,3.75
"2_A_Feb15.csv",918203290,2,5,18,5,4.5,10,5,3.75
"2_A_Feb15.csv",921049593,0,5,12.5,5,18,10,5,3.75
"2_A_Feb15.csv",920677034,0,5,20,5,20,10,5,0
"2_A_Feb15.csv",920073243,1,0,8,5,10.5,8,5,3.75
"2_A_Feb15.csv",919976364,2,5,12,5,19,10,5,1.25
"2_A_Feb15.csv",918187756,0,5,20,5,9,10,5,2.5
"2_A_Feb15.csv",920154214,2,5,13,5,18,10,5,2.5
"2_A_Feb15.csv",919214738,1,5,18,5,20,10,5,2.5
"2_A_Feb15.csv",918460949,1,5,12,5,8,10,0,3.75
"2_A_Feb15.csv",920563892,2,5,16,5,20,10,0,2.5
"2_A_Feb15.csv",920639205,1,5,20,0,17,10,5,0
"2_A_Feb15.csv",921374682,5,5,18,0,20,10,5,2.5
"2_A_Feb15.csv",920727285,4,5,10.5,5,17,10,5,1.25
"2_A_Feb15.csv",919609314,1,5,19,5,17,10,0,2.5
"2_A_Feb15.csv",920661600,2,5,16,5,11,10,5,1.25
"2_A_Feb15.csv",921138679,3,5,20,5,20,10,5,2.5
"2_A_Feb15.csv",918275626,0,5,20,5,0,10,5,2.5
"2_A_Feb15.csv",918770231,0,5,20,5,18,7,0,2.5
"2_A_Feb15.csv",918453477,0,5,18,5,12.5,10,5,2.5
"2_A_Feb15.csv",919278596,0,5,15,5,20,10,5,3.75
"2_A_Feb15.csv",921000435,1,5,15,5,20,5,5,2.5
"2_A_Feb15.csv",918572947,1,5,15.5,5,18,10,0,5
"2_A_Feb15.csv",919452312,0,5,18,5,10,10,0,1.25
"2_A_Feb15.csv",918638108,1,5,10,5,14.5,10,5,2.5
"2_A_Feb15.csv",918523200,3,5,18,5,0,10,5,1.25
"2_A_Feb15.csv",920958135,10,5,11,5,15.5,10,5,2.5
"2_A_Feb15.csv",921256292,2,5,17,5,12,7,0,2.5
"2_A_Feb15.csv",917029022,2,5,17.5,0,17,10,5,2.5
"2_A_Feb15.csv",918888411,0,5,20,5,20,10,5,2.5
"2_A_Feb15.csv",915331327,0,5,0,5,11,7,0,3.75
"2_A_Feb15.csv",921438764,1,5,18,5,14,10,0,3.75
"2_A_Feb15.csv",919329539,8,5,19,5,18,10,5,2.5
"2_A_Feb15.csv",921000655,0,5,19,5,2,10,0,2.5
"2_A_Feb15.csv",919151655,0,5,12,5,9,10,5,0
"2_A_Feb15.csv",917441354,0,5,10.5,5,7,7,0,0
"2_A_Feb15.csv",918319773,2,5,18,5,16,10,5,3.75
"2_A_Feb15.csv",920901289,0,5,16.5,5,19,10,5,2.5
"2_A_Feb15.csv",921437600,3,5,9,5,0,10,0,2.5
"2_A_Feb15.csv",919337291,1,5,16.5,5,20,10,5,1.25
"2_A_Feb15.csv",918166667,2,5,20,5,20,10,5,3.75
"2_A_Feb15.csv",918552365,3,5,13.5,5,2,10,5,3.75
"2_A_Feb15.csv",919942880,1,5,20,5,20,10,5,2.5
"2_A_Feb15.csv",918680305,2,5,0,5,18,10,5,3.75
"2_A_Feb15.csv",918147097,0,5,15,5,20,10,5,3.75
"2_A_Feb15.csv",920611003,2,5,19,5,8,10,5,1.25
"2_A_Feb15.csv",919590436,2,5,20,5,11,8,5,2.5
"2_A_Feb15.csv",919813414,1,5,20,5,17,10,5,2.5
"2_A_Feb15.csv",918131003,1,5,11,5,17,10,5,3.75
"2_A_Feb15.csv",919408081,1,5,13,5,20,5,5,1.25
"2_A_Feb15.csv",919283989,1,5,18,5,2,10,0,2.5
"2_A_Feb15.csv",917986822,1,0,18.5,5,15,10,0,2.5
"2_A_Feb15.csv",920728572,2,5,16,5,20,10,5,3.75
"2_A_Feb15.csv",921399311,0,0,16,5,13,3,5,2.5
"2_A_Feb15.csv",919661873,0,0,5.5,5,19,7,5,2.5
"2_A_Feb15.csv",921361527,1,5,15.5,5,19,10,5,2.5
"2_A_Feb15.csv",918569552,1,5,9,5,19,10,5,2.5
"2_A_Feb15.csv",919770609,2,5,11,5,0,0,5,2.5
"2_A_Feb15.csv",919783609,2,5,5,5,0,10,5,1.25
"2_A_Feb15.csv",919595813,1,5,16.5,5,17,10,0,2.5
"2_A_Feb15.csv",920475469,2,5,16.5,5,20,10,5,2.5
"2_A_Feb15.csv",920502196,0,5,16.5,5,17,10,0,2.5
"2_A_Feb15.csv",918824970,0,5,7,5,20,10,5,1.25
"2_A_Feb15.csv",919544136,2,5,15.5,0,0,10,5,3.75
"2_B_Feb15.csv",920834961,7,5,20,5,18,10,5,2.5
"2_B_Feb15.csv",919359509,1,5,13,5,7.5,10,5,2.5
"2_B_Feb15.csv",919602285,1,5,20,5,20,10,5,2.5
"2_B_Feb15.csv",919791426,0,0,20,0,11,10,0,2.5
"2_B_Feb15.csv",919330094,1,5,20,5,20,10,5,2.5
"2_B_Feb15.csv",919874372,1,5,16,5,20,8,5,3.75
"2_B_Feb15.csv",919692871,1,5,16,5,19,7,5,2.5
"2_B_Feb15.csv",920665936,1,5,20,5,18,10,5,2.5
"2_B_Feb15.csv",921327419,1,5,11,5,20,7,5,2.5
"2_B_Feb15.csv",920447044,3,5,16,5,20,10,5,2.5
"2_B_Feb15.csv",919793974,1,5,20,5,20,10,5,2.5
"2_B_Feb15.csv",918318295,1,5,20,5,16,10,5,3.75
"2_B_Feb15.csv",919958874,3,0,16,5,20,10,5,1.25
"2_B_Feb15.csv",919914232,1,5,20,5,18,10,5,3.75
"2_B_Feb15.csv",918767037,2,5,18,5,6,10,5,2.5
"2_B_Feb15.csv",920029789,5,5,20,5,20,10,5,2.5
"2_B_Feb15.csv",921444606,0,5,16,5,1,8,0,1.25
"2_B_Feb15.csv",918193928,0,5,16,5,3,10,5,2.5
"2_B_Feb15.csv",916063005,0,5,20,5,12.5,10,0,1.25
"2_B_Feb15.csv",918803315,0,5,20,5,15.5,8,5,2.5
"2_B_Feb15.csv",917474059,1,5,9,5,20,10,5,2.5
"2_B_Feb15.csv",920486940,1,0,12,5,1,10,0,1.25
"2_B_Feb15.csv",918030418,2,5,16,5,6,10,5,1.25
"2_B_Feb15.csv",920014105,1,0,20,5,12,10,5,1.25
"2_B_Feb15.csv",921341848,0,0,16,5,7.5,10,5,2.5
"2_B_Feb15.csv",920475430,4,5,20,5,20,10,5,3.75
"2_B_Feb15.csv",919023259,1,0,20,5,14.5,10,5,2.5
"2_B_Feb15.csv",920035003,0,5,16,5,13,10,5,3.75
"2_B_Feb15.csv",920967469,0,5,13,5,16,10,0,1.25
"2_B_Feb15.csv",920529409,1,5,16,5,20,10,5,2.5
"2_B_Feb15.csv",919176627,2,5,5,5,14,10,5,1.25
"2_B_Feb15.csv",918318790,1,5,9,5,13,10,5,1.25
"2_B_Feb15.csv",921504261,1,5,20,5,20,5,5,3.75
"2_B_Feb15.csv",921380320,0,5,20,5,12,10,0,1.25
"2_B_Feb15.csv",917420294,0,5,16,5,17,10,5,2.5
"2_B_Feb15.csv",917069862,1,5,8,5,2.5,0,5,1.25
"2_B_Feb15.csv",921361129,1,5,16,0,17.5,10,5,3.75
"2_B_Feb15.csv",921177261,1,5,20,5,14,10,5,2.5
"2_B_Feb15.csv",918054805,0,5,18,5,16,5,5,3.75
"2_B_Feb15.csv",920887442,5,5,18,5,20,10,5,5
"2_B_Feb15.csv",919725418,0,5,16,5,0,10,0,5
"2_B_Feb15.csv",919699573,1,5,20,5,20,10,5,3.75
"2_B_Feb15.csv",919410574,8,5,18,5,16,10,5,2.5
"2_B_Feb15.csv",917362242,1,5,20,5,19,10,5,1.25
"2_B_Feb15.csv",918525347,1,5,20,5,14,10,5,1.25
"2_B_Feb15.csv",919180464,1,5,20,5,16,7.5,0,3.75
"2_B_Feb15.csv",920758351,0,5,20,5,18,10,5,2.5
"2_B_Feb15.csv",921269629,2,5,11,5,5,3,5,1.25
"2_B_Feb15.csv",919530917,1,5,16,5,16.5,10,5,2.5
"2_B_Feb15.csv",921235174,0,5,20,5,19,10,0,2.5
"2_B_Feb15.csv",920062843,1,5,20,5,8.5,7.5,5,2.5
"2_B_Feb15.csv",918237525,3,5,11,5,10,10,5,3.75
"2_B_Feb15.csv",919948172,1,5,12.5,5,10,10,5,0
"2_B_Feb15.csv",920896103,0,5,20,5,20,8,5,2.5
"2_B_Feb15.csv",920758814,1,5,20,5,20,10,5,3.75
"2_B_Feb15.csv",919918429,1,5,16,0,19,10,5,2.5
"2_B_Feb15.csv",919986082,1,0,20,5,18,10,5,3.75
"2_B_Feb15.csv",915435469,0,0,16,5,16,10,0,2.5
