anon_id,views,pv_op,cv_float,ov_op,cv,reliability,h1,interpret
266622,0,9,13,10,18,3.5,10,2.5
684227,2,5,18,10,14,0,8,2.5
687940,0,5,11.5,10,17,0,10,2.5
666059,0,9,18,10,20,7,10,2.5
693045,0,10,18,9.75,12,5,10,1.25
819274,3,9,17,10,14,1,10,2.5
720723,0,9,12.5,10,0,0,8,2.5
780541,3,9,18,10,18,10,10,3.75
238823,3,10,18,10,20,0,10,2.5
957708,2,3,11.5,10,19,8,10,2.5
307053,0,10,17,10,0,1.5,8,1.25
189428,3,10,11,10,18,8,8,2.5
687838,2,5,16,10,20,8,10,2.5
553565,1,10,20,10,20,7,10,2.5
962814,3,4,16.5,7,0,0,0,2.5
866180,0,8,20,9,15,0,10,0
517181,7,8,20,10,15.5,10,10,3.75
107302,0,10,11,10,12.5,0,10,0
980134,8,10,16,10,18,10,10,2.5
215621,3,6,14,5,17,4,7.5,1.25
135727,7,8,15,10,18,0,10,2.5
927645,1,8,18.5,10,1,0,8,0
266782,2,7,20,7,19,0,10,5
130380,3,5,20,2,19,5,10,1.25
620808,2,8,15,10,11,0,10,2.5
190892,1,3,9,4,0,5,10,1.25
167773,2,8,16,10,19,10,10,3.75
431825,12,9,18,10,5.5,4.5,10,2.5
485565,0,8,17.5,10,19,0,10,3.75
689023,6,6.5,20,10,19,4.5,10,2.5
887391,2,2,11,10,5.5,5,10,2.5
700441,0,8,6.5,3,13.5,0,10,3.75
623912,5,8,12.5,10,13,10,7.5,2.5
128513,0,3,18,2.5,8,7.5,0,2.5
323214,10,9,18,10,10,3,10,3.75
176796,7,9,17.5,10,15,0.5,10,3.75
685171,1,0,2.5,0,19,5,10,0
863598,9,2,12.5,10,14,2,8,1.25
783300,3,10,13,10,16,5,10,3.75
338073,4,3.5,20,0,12,3.5,10,0
877109,8,9,16,10,17,6,10,3.75
768234,5,5,18,10,4.5,6,10,3.75
687844,1,7,12.5,10,18,8.5,10,3.75
141625,0,10,20,10,20,5,10,0
928498,1,5.5,8,8.5,10.5,2,10,3.75
690036,9,10,12,10,19,1,10,1.25
652357,0,8,20,10,9,7,10,2.5
671655,2,6,13,8,18,5,10,2.5
929062,3,10,18,10,20,10,10,2.5
755204,3,5.5,12,10,8,0,10,3.75
652942,4,4.5,16,10,20,5,10,2.5
751500,3,9,20,10,17,4,8,0
288842,6,9,18,10,20,5.5,10,2.5
298429,20,4,10.5,7,17,10,10,1.25
149203,2,4,19,8.5,17,3.5,10,2.5
840463,12,5.5,16,9,11,4,10,1.25
829820,6,1.5,20,10,20,0,10,2.5
868090,0,5,20,0,0,8,8,2.5
221958,0,3,20,10,18,0,10,2.5
756469,0,6,18,6,12.5,0,10,2.5
392584,2,10,15,10,20,0,10,3.75
190818,3,4.5,15,10,20,0,10,2.5
439234,5,7,15.5,10,18,7,10,5
100124,1,9,18,7.5,10,0,10,1.25
708858,2,6.5,10,8,14.5,0,8,2.5
571323,4,7,18,7.5,0,4,10,1.25
789281,12,4,11,10,15.5,6,10,2.5
313801,5,6.5,17,10,12,2,10,2.5
294860,2,7,17.5,10,17,8,10,2.5
184622,2,9,20,10,20,0,10,2.5
464491,0,6,0,8,11,0,10,3.75
494166,4,5.5,18,10,14,1,10,3.75
496293,8,4,19,10,18,4.5,10,2.5
388918,5,10,19,10,2,0,10,2.5
882657,0,4,12,10,9,0,8,0
846172,0,1,10.5,6,7,0,10,0
447538,6,6,18,10,16,0,10,3.75
925742,1,7,16.5,10,19,9,10,2.5
850664,8,6,9,10,0,4,10,2.5
935965,2,0,16.5,5,20,0,10,1.25
819135,4,10,20,10,20,10,10,3.75
808560,6,8,13.5,10,2,6,10,3.75
411906,2,9,20,10,20,5,10,2.5
193857,8,10,0,10,18,3.5,10,3.75
976464,1,8,15,10,20,0,8,3.75
972609,5,7,19,10,8,7.5,10,1.25
859374,7,8,20,10,11,0,10,2.5
411472,2,6.5,20,10,17,8,10,2.5
543411,5,6,11,10,17,5,10,3.75
