anon_id,views,pv_op,cv,compare_cv,internal1,internal2,confound,design_ex,interpret
649892,2,4.5,0,10,13,9,7.5,5,1.25
515838,1,3,2.25,4,5.5,11,7.5,2.5,2.5
884161,9,4.75,0,10,0,11.5,3,5,3.25
425200,5,4.75,5.25,10,15,15,15,5,5
738332,2,3.75,0,10,15,9.5,7.5,2.5,1.25
141625,0,4.5,2.75,10,15,14.5,7.5,5,3.75
682407,6,4.5,9.5,10,15,15,15,5,3.75
113553,0,2,0,10,7.5,8.5,0,5,1.25
755204,5,4.5,10,10,15,15,8.5,5,5
980587,3,4.75,6.5,10,15,15,15,5,5
868195,3,5,9.5,10,15,15,15,5,3.25
752695,2,2.75,0,10,0,10.5,3,5,2.5
316719,3,5,9,10,15,12,15,5,4.5
100168,4,5,0,10,15,15,12.5,5,2.5
785013,5,5,0,10,11.5,15,14.5,5,0
589905,1,4.75,3.5,10,12,15,14.5,5,5
568721,1,4,3.25,10,15,15,7.5,5,3.25
820889,4,3.25,3.5,10,10.5,15,7.5,5,2.5
829820,1,4,6.75,10,15,15,15,5,3.75
903345,3,3.25,0,10,9,11,0,5,2.5
766084,3,4.75,6.25,10,0,9.5,15,5,2.5
825875,4,5,7,10,15,15,7.5,5,3.25
706979,2,3.5,8.25,10,15,15,15,5,3.25
221958,0,4.75,0,9,15,15,7.5,5,3.25
681486,2,4.75,5.5,10,15,12,15,0,2.5
392584,1,5,2.5,10,15,15,15,5,2.5
957384,0,4.5,5.25,10,15,15,15,5,2.5
711460,1,4.25,0.75,10,15,9,8.5,5,2.5
850664,4,2,0,10,15,9,4,5,3.25
992103,4,5,6.5,10,15,15,15,5,2.5
861958,3,4.5,3.25,10,15,15,15,5,2.5
375253,4,4.25,0,10,11.5,15,15,5,3.25
324135,1,4.5,0,10,15,11,7.5,5,2.5
193857,5,4.5,4.75,10,15,10.5,15,5,5
859374,9,5,6,10,15,15,14,5,5
293634,1,0,0,6,15,15,15,5,3.25
210273,2,4.75,0,10,15,15,7.5,5,3.75
711072,9,2.75,0,10,15,15,8.5,2.5,2.5
805091,4,2.5,2.75,10,8,10.5,7.5,5,3.75
878864,3,3.5,0,10,15,10.5,8.5,2.5,3.75
927645,3,5,1.75,10,15,15,15,5,3.75
265323,0,4.5,0,7.5,15,15,7.5,2.5,2.5
266782,3,5,0,10,15,10.5,15,5,2.5
620808,3,4.5,0,10,15,11,8.5,5,3.75
231177,2,4.25,8.75,10,15,15,15,5,3.75
229553,1,4.5,0,10,15,14,15,5,2.5
480961,1,4.25,4.5,10,0,9.5,7.5,5,2.5
689023,4,5,8,10,15,15,15,5,5
437305,4,5,10,10,15,15,15,5,2.5
484728,2,3,0,10,10.5,9.5,15,5,2.5
100915,2,4,4.75,10,15,15,7.5,5,2.5
745036,0,2,0,9,15,12.5,9,2.5,1.25
306957,6,5,5.5,10,15,15,15,5,3.75
128513,1,2.25,0,10,11,0,0,0,1.25
685171,0,3.5,2.25,10,13.5,15,7.5,5,0
611968,1,4.5,0,10,15,15,15,5,2.5
483406,0,3.25,0,10,9.5,14.5,4.5,5,2.5
441521,10,5,0,10,15,15,7.5,5,3.25
319559,1,3.5,0,6,13.5,15,0,0,0
326394,2,3.25,0,10,11,15,7.5,5,2.5
329867,3,3.75,5.5,10,15,12,15,5,2.5
277425,5,3,0,5.5,14,15,8.5,5,1.25
879263,2,2.5,0,10,15,15,15,5,3.75
342170,2,4,0,10,15,15,7.5,5,2.5
179184,2,4.5,0,6,15,15,15,5,1.25
637438,8,4.5,4.5,10,15,15,15,5,5
781336,12,4.5,8.75,10,15,15,15,5,5
819274,6,5,9,10,15,9.5,8.5,5,5
158549,0,0.5,0,10,15,11,15,5,2.5
822752,5,2.75,0,10,15,15,15,5,3.75
142556,2,3.25,0,10,13,10.5,7.5,5,2.5
583798,2,2.5,0,10,15,15,15,5,2.5
975639,0,3.5,0,10,15,12,8.5,5,2.5
244223,5,4.25,0,10,15,15,8.5,5,5
411472,5,3.25,0,10,15,9.5,7.5,5,2.5
742806,0,5,0,10,15,15,15,5,3.25
617396,1,4.25,7.5,10,15,14,8.5,5,3.75
189428,5,3.5,10,8,15,9.5,15,5,3.75
737475,7,4.75,4.5,10,15,15,15,5,1.25
687838,1,4.75,7.75,10,15,15,5.5,5,3.75
340708,0,3,0,5.5,8,13,0,5,2.5
427397,2,4.5,0,10,15,15,15,5,2.5
957708,1,4.5,5.25,10,15,15,15,5,2.5
937053,3,3.25,3,10,15,15,15,5,3.75
690064,6,1.75,0,4,15,6.5,4,5,2.5
162187,2,3.5,6.5,10,15,15,8,5,3.25
460606,6,4.5,0,10,12,9.5,15,5,2.5
444720,2,3.25,10,10,15,15,15,5,3.25
962814,1,0,0,4.5,10.5,0,0,5,2
309943,3,4.5,7.25,10,15,15,15,5,3.75
388918,5,5,3.5,10,15,15,8.5,5,3.75
820879,3,2.75,0,10,10.5,13.5,7.5,5,2.5
819157,4,2.75,5.25,10,15,10.5,8.5,5,3.75
439234,2,4.5,0,10,15,15,7,5,3.25
571323,1,4,0,10,15,8,8.5,5,3.75
789281,8,5,7.25,10,15,15,15,5,5
297437,5,2.25,0,7,15,10.5,0,5,3.25
941242,4,4.75,6.75,10,15,14.5,15,5,2.5
693286,3,4.75,6,10,15,15,15,5,5
494166,6,2,0,10,15,15,15,5,2.5
769753,4,4.75,6.75,10,15,10.5,7.5,5,2.5
496293,7,5,4.25,10,15,15,15,5,2.5
464491,0,2.75,0,10,11,0,7.5,2.5,1.25
134149,1,3,7.75,8,15,9.5,7.5,5,1.25
130380,3,4,6.75,2.25,9,4,15,5,2.5
938861,8,4.75,7.75,9.75,15,15,5.5,5,3.25
863924,5,4.75,6.25,9.75,14,15,15,5,3.25
135727,8,4.75,6,6,5.5,15,15,5,2.5
564146,0,2,5.75,7.75,15,15,14.5,2.5,3.25
841731,3,3.5,10,9.75,15,12.5,15,5,3.25
822014,6,5,6.5,10,15,15,15,5,3.25
273032,0,5,0,10,11,15,0,5,2.5
887391,3,4.25,1,7.75,15,15,15,5,3.25
485565,1,5,7.5,7.75,15,4,15,5,3.25
223333,2,5,3,8.25,15,4,5.5,5,3.25
930504,0,4.75,4.75,10,15,15,13.5,5,0
190892,0,5,1.5,10,11.5,15,5,5,2.5
970240,2,4.75,1.25,10,13.5,15,15,5,3.25
270982,11,4.75,5,10,15,15,6.5,5,1.25
839513,1,5,5.5,10,12.5,12.5,15,5,3.75
700441,5,5,2.75,10,0,13.5,5.5,5,2.5
259122,0,5,5,6,15,15,15,5,2.5
861674,9,4.5,3.5,7.75,13.5,15,15,5,3.25
783300,4,4.5,4.75,10,15,15,15,5,5
796250,1,5,8.5,8,15,6,15,5,3.25
555054,0,4.75,5.75,9.75,15,6,15,5,3.25
338073,0,4,2.5,8,12.5,13.5,5.5,5,2.5
499213,1,4.5,2.5,1.5,6.5,6,5,5,3.25
377090,5,4.75,9,10,15,15,15,5,5
120124,6,4.25,4.5,10,15,15,15,5,5
166548,5,4.75,3.5,10,12.5,15,5,5,3.25
199772,0,3,1.5,9.75,13.5,12.5,15,5,5
394484,1,3.25,5.75,10,12.5,0,5,5,2.5
522922,6,5,1,9.75,15,4,6,5,2.5
242493,7,4.75,10,7.75,15,4,15,5,5
877116,0,3.5,6,9.75,12.5,15,15,5,0
