anon_id,views,new_claim,ov_op,cv,internal,confound,fix_confound,sampling,external,replication
453529,3,10,7,10,10,10,5,1.5,10,10
861674,2,10,7,7.25,5,10,5,10,10,10
652942,1,10,7,7,10,10,5,10,10,10
530411,5,1,10,7.5,10,10,5,4,10,10
364560,0,6,7,10,10,10,5,10,10,6
394484,1,0,8,4,7.5,5.5,1.5,7.5,0,0
175573,0,6,7,6.75,9,10,5,2,10,10
919266,7,10,7,0,0,10,5,10,10,3
557781,1,10,10,10,6,10,5,10,10,10
695840,2,6,7,0,9,0,5,1,10,8.5
822752,3,6,10,9,10,10,5,10,9,10
361425,2,10,7,10,9,10,5,10,7,10
142556,2,10,10,8.25,4,10,5,4,10,10
975639,0,6,6,0,4,10,5,10,10,10
886232,1,0,0,0,7.5,10,5,0,4,9
617396,1,10,10,7,10,10,5,10,10,7.5
244223,2,10,10,9.25,10,10,5,10,10,10
307053,0,10,4,0,6.5,10,5,4,4,0
316657,2,6,7,10,10,10,5,10,10,5
535753,1,10,10,0,8.5,10,5,4,4,8
937053,2,10,10,10,9,10,5,10,9.5,10
553565,0,10,10,9.5,10,10,5,4,10,9
866180,0,0,8,5,9,10,3,10,10,7
388918,5,10,5,6.5,10,10,5,10,8,4
426634,1,6,7,8.5,7.5,7,5,10,10,10
107302,0,7,7,5.5,2,10,5,10,4,2
749976,2,6,10,9,10,10,5,10,10,10
439234,3,10,7,10,10,10,5,10,10,8
313801,11,1,10,0,6.5,5.25,1.5,4.5,9,9
941242,1,6,7,10,8.5,10,5,10,10,10
357577,0,10,9,0,8.5,10,1.5,5,2,10
494166,2,6,8,10,10,10,5,10,9,10
139950,0,10,7,7.5,8.5,10,5,10,10,10
509369,2,10,7,10,10,10,5,10,10,8.5
808560,1,6,10,10,4,10,5,10,10,6
603399,0,4,8,1,2,10,5,1.5,10,4.5
518197,3,10,7,10,10,10,5,5.5,10,8.5
819135,3,10,7,9,10,10,5,10,10,6.5
861958,1,10,10,9.5,8.5,10,5,10,6,8
193857,6,1,7,10,10,10,5,10,9,8.5
907662,2,1,6,9,0,7,5,0,10,4.5
972609,1,1,10,1.5,10,10,5,7,10,6
335736,7,10,10,0,10,10,5,10,10,9
265323,4,7.5,10,10,2,5.75,1.5,9.5,9,8.5
909875,0,10,7,6.75,0,10,5,10,9,5.5
130380,4,10,9,0,2,5.5,5,1.5,0,5
564146,1,6,10,4,9,10,5,0,9,7
776985,5,10,7,4,10,10,5,10,10,9
190892,0,6,9,0,0,10,5,6,9,4
223333,0,10,10,0,10,10,5,3.5,0,8.5
930504,0,0,10,5.5,10,10,5,5,10,10
431825,4,1,8,0,10,10,5,1.5,10,7
167773,1,10,10,10,10,10,5,10,10,10
514088,3,6,7,4.5,9,4.5,3,4,10,8.5
370378,16,10,10,10,8.5,10,5,10,10,9
704993,0,10,7,9,8.5,10,5,10,9,10
849990,2,10,6,9,7,10,5,10,8,7
507880,2,6,9,7,8.5,10,5,10,10,8.5
700441,0,1,6,0,2,10,5,4,2,4
862239,0,3.5,10,7,8.5,10,5,1,0,8
128513,0,10,7,3,8.5,10,5,10,7,6
176796,5,6,10,7.25,0,10,5,5.5,7.5,9
685171,0,3,0,0,4,10,5,0,0,10
657848,5,6,8,0,10,10,5,5.5,10,10
796250,1,6,10,10,8.5,10,5,10,10,8.5
783300,2,10,8,9.5,10,10,5,10,10,10
864689,0,6,7,7.5,10,10,5,10,10,7
840840,1,1,8,4,8.5,6.5,5,5.5,8.75,5
980357,3,6,8,7,2,10,5,10,9,7
319559,2,1,2,0,10,10,5,7.5,10,7
939066,2,10,10,10,10,10,5,10,10,10
914016,0,6,9,4.5,7.5,10,5,6,8.75,7
780786,0,10,10,10,7.5,10,5,10,9,6.5
197878,2,10,8,0,10,10,5,5.5,8.75,9
115362,1,4,10,10,10,10,5,10,10,9
450272,2,10,10,10,10,10,5,10,8.75,10
815620,1,0,2,0,0,10,5,6.5,8,6
429085,0,10,2,10,0,10,5,4.5,10,10
515838,1,10,8,8,7.5,10,5,8.5,6,6.5
348376,0,6,2,8.75,6.5,5.5,5,5.5,10,9
425200,2,10,7,10,10,10,5,6.5,10,8
502302,1,6,7,10,10,10,5,10,9,8.5
471494,2,10,8,10,10,10,5,4,10,9
928498,0,6,2,8.25,10,10,5,5,10,7
495024,5,10,8,10,0,10,5,5,10,7
682407,5,6,7,9,10,10,5,5.5,10,7
292900,0,6,10,10,0,10,5,10,10,7
156364,0,10,2,0,10,10,5,0,0,0
967176,1,10,7,10,8.5,10,5,10,10,10
929062,2,10,7,7.75,10,10,5,10,10,9
298091,3,10,10,0,0,10,5,5,7,7
671655,0,6,10,6.25,10,10,5,10,10,6.5
