anon_id,views,pv_op,cv,cv_compare,confound,internal,interpret,external,replication
781336,3,10,10,10,10,10,10,10,10
958843,0,8.5,6.5,10,2,6,5,10,7
684227,2,9,10,2,10,10,10,5,10
282874,1,7,10,7,10,10,10,10,10
666059,0,10,3.75,10,10,10,5,10,10
920816,0,7,2.5,6,7,3,10,10,2
796147,4,9,10,10,10,10,10,10,8
327020,2,8,7.75,5,2,10,4,8,9
238823,0,10,7.5,8,10,10,10,8,10
142556,0,8,8.5,10,9,10,7.5,7,8
886232,0,10,4,10,2,9,5,10,7.5
243610,1,10,10,8,10,4,10,10,10
340708,1,10,6.5,5,2,7,5,0,10
737475,1,9,10,8.5,10,10,10,10,9
937053,0,10,10,10,10,10,7.5,10,10
617396,0,8,10,10,6,9,10,7,10
448698,0,9,0,6,2,7,5,10,3.5
460606,1,9,10,8.5,10,10,0,10,10
165680,3,9,10,5,2,10,0,7,3
962814,1,8.5,0,4.75,2,8,5,7,8
309943,1,10,0,5,2,10,5,9,3
426634,0,9,9,8.5,10,10,10,10,10
571323,0,7,0,5,2,5.5,10,0,0
708858,0,9.5,7.5,5,2,10,0,10,2.5
941242,1,10,9,10,10,10,7.5,10,10
184622,1,10,10,8.5,10,4,10,10,10
478268,1,6,7,5,2,3,5,2,0
496293,0,8,7,10,10,9,5,10,10
676794,0,9,0,8.5,2,9,5,5,10
494166,0,9,5.75,8.5,10,8,10,9,10
882657,0,8.5,5.5,7.5,2,8,5,1,8
846172,0,9,2,5,2,8,7.5,10,10
850664,3,9.5,6,5,2,4,5,6,2
819135,1,10,10,10,10,10,7.5,8,10
808560,4,10,4.25,8.5,10,4,6.5,7,10
635780,0,9,6.5,5,10,8,0,1,3
980134,2,9,10,10,9,10,10,10,10
210273,0,9,10,10,2,10,7.5,10,7
587423,1,10,10,10,10,10,7.5,10,8
878864,1,9,10,7.75,10,8,5,10,10
670267,0,9,10,5,2,10,10,10,10
863924,1,10,10,8.5,9,10,10,10,9
620808,1,8,8,5,10,10,9,10,9
378876,1,9,10,8.5,2,6.5,10,8,10
739544,0,9,10,10,10,8,10,10,10
822014,3,9.5,4.5,8.5,2,10,7.5,8,10
451623,1,8,10,8.5,10,10,10,10,10
760890,1,8,0,8,2,4,0,10,9
323859,2,9,9,5,10,10,10,9,10
880562,3,10,10,10,10,10,2.5,10,10
306957,1,10,6,8.5,1,10,7.5,10,10
685171,3,8,0,7.5,2,4,0,8,10
