"SID","exam1","exam2","exam3","exam4","exam5","final_exam","prep_p_raw","extra_credit","e_correct","p_p_final","exam_total","final_grade","opt_in"
918009850,117,76.75,72.63,90,92.25,58,343.25,10,0,250,59.8173333333333,70.863,0
916568458,0,87.75,109.38,118,112.25,90,374.69,15,5,250,68.984,78.238,1
917634417,138,0,113.75,133.5,132.5,111,353.25,15,5,250,83.8333333333333,89.375,1
918609519,112.5,125,105.38,110.45,119.75,106,380.29,11.88,1.88,250,76.4933333333333,83.558,1
918680907,115.5,86,88.75,95.5,74.5,77,253.9,10,0,250,61.7,72.275,0
918205421,138,133,121.63,128.4,121.25,122,348.5,10,0,250,85.7373333333333,90.303,0
918538402,131.5,133.5,127,134,0,140,279.66,15,5,250,88.8,93.1,1
919930148,77,99.75,70,66.75,0,82,271.94,5,0,250,52.7333333333333,65.05,0
919831263,81.5,114,91.63,86.7,76.25,79,315.23,14,4,250,60.3773333333333,71.683,1
918003801,141.5,139.5,147.5,145,147.5,124,397.5,14.5,4.5,250,96.1333333333333,98.55,1
917455230,142,127,112.5,123.45,126,119,372.15,15,5,250,84.9933333333333,90.245,1
917030914,134,119.25,141,139,135,114,376.28,15,5,250,89.1,93.325,1
918210445,142.5,142,146.88,143,140,122,377.75,15,5,250,95.2506666666667,97.938,1
917489219,129.5,135.25,132.38,122.25,136.75,137,325.5,15,5,250,89.4506666666667,93.588,1
918455873,128.5,116.75,125.13,0,122.25,106,313.2,10,0,250,79.8173333333333,85.863,0
918110998,133,115.5,73.63,71.5,52.5,79,224.8,10,0,224.8,63.0173333333333,70.743,0
918130761,147.5,114.25,0,107.25,105,111,368,10,0,250,78,84.5,0
921622745,127.5,126.5,136,132.5,147,129,317.03,15,5,250,89.6,93.7,1
919269518,120.5,139,141,112.7,129.75,124,385.5,15,5,250,87.2333333333333,91.925,1
918702966,142,119,132.38,137.95,101.5,132,275.1,10,0,250,88.444,92.333,0
918192916,128,131,112.25,104,99.75,95,309.45,10,0,250,76.6666666666667,83.5,0
917551749,147.5,128.25,146.88,143.75,138,137,242.22,10,0,242.22,95.084,96.535,0
920016132,124,134.75,100.38,121.45,115.5,122,355.02,10,0,250,82.36,87.77,0
917351062,0,130.5,130.5,116.45,136.25,103,259.5,15,5,250,82.2266666666667,88.17,1
918689050,118.5,133,112.38,95,108.25,95,335.54,0,0,250,75.6173333333333,81.713,0
917048906,132.5,136.25,127.63,97.5,125.75,129,233.22,10,0,233.22,86.8173333333333,89.435,0
920136724,108.5,104,118.13,106,110,100,368.29,10,0,250,72.884,80.663,0
918774774,144,133.25,136.13,113.5,131,135,308.87,13,3,250,90.584,94.238,1
920068465,0,138.25,136.38,134.2,141,140,279.5,15,5,250,91.9773333333333,95.483,1
919565982,107,93.5,134.5,103.75,90.25,106,301.62,10,0,250,72.6333333333333,80.475,0
920075830,0,103.5,121.63,107.45,101,111,353.04,10,0,250,72.6106666666667,80.458,0
917070039,130,119.75,138.13,100.75,125.5,0,288.79,15,5,250,81.884,87.913,1
915707634,118.5,0,111,87.95,95.5,95,175.7,10,0,175.7,67.7266666666667,69.365,0
917443815,92,111.75,102.75,101,98.75,0,263.15,10,0,250,67.5,76.625,0
919820517,122.5,119.5,118.25,115.75,106,95,300.67,15,5,250,77.6,84.7,1
919281884,133.5,116.25,131,114.75,119.25,95,352.67,15,5,250,81.9666666666667,87.975,1
918087487,143.5,104.5,125.13,98.5,136.5,124,315.05,15,5,250,84.484,89.863,1
917170285,0,117.5,87.63,105.75,112.75,116,264,0,0,250,71.9506666666667,78.963,0
918893367,107.5,107.75,62.25,0,75,79,254.75,10,0,250,57.5333333333333,69.15,0
918151821,133,139.5,111.38,112.65,120,127,285.21,15,5,250,84.2866666666667,89.715,1
917340675,135,131.75,131.88,132.75,140.25,0,270.01,11,1,250,89.5506666666667,93.263,1
916455972,131,135,133.5,127,123.75,116,278.59,10,0,250,86.7,91.025,0
918600644,132.5,124,130.63,115.2,114.25,116,268.8,10,0,250,82.444,87.833,0
920102091,133,126,100.13,110.75,118.75,132,259.44,14.5,4.5,250,82.7333333333333,88.5,1
917360121,103,86,83.88,89.75,62.25,111,321.67,10,0,250,63.1506666666667,73.363,0
918827498,145,125.75,137.63,135.2,137.5,0,310.71,10,0,250,90.8106666666667,94.108,0
918734963,113,111.5,150,138.75,105.5,111,255.09,10,0,250,83.2333333333333,88.425,0
916931687,137,116.25,122.75,94.25,97.5,116,345,10,0,250,78.6,84.95,0
918890687,130,108.75,99.5,112.75,97,106,310.02,10,0,250,74.2666666666667,81.7,0
920153516,91.5,105.5,101,95,68,90,402.44,15,5,250,64.4,74.8,1
918795135,136,143.5,146,120.5,141,122,397.5,10,0,250,91.8,94.85,0
919539617,124.5,103,128.75,111.75,131.25,122,276.94,10,0,250,82.4333333333333,87.825,0
918420264,132,84.25,89.5,57.75,105.75,78,338.89,10,0,250,65.2666666666667,74.95,0
918544360,0,0,129.75,127.5,113.5,140,221.81,2,2,221.81,68.1,73.456,1
918165082,136.5,105.5,88.13,120.75,127.5,122,249.28,10,0,249.28,81.6333333333333,87.153,0
919636293,124,123.25,98.5,97.25,102.25,124,350,10,0,250,76.2666666666667,83.2,0
918698151,116,118.5,137.13,120.5,112.5,95,304.22,10,0,250,80.6173333333333,86.463,0
919610206,137.5,135,142,103.75,122.25,127,379.03,10,0,250,88.5,92.375,0
919373705,116.5,128.75,117.19,91,122.75,93,341.91,10,0,250,77.092,83.819,0
920112450,119,91.5,70.88,66.5,76,66,289.27,10,0,250,56.5173333333333,68.388,0
920055973,117.5,114.25,0,81.25,99.5,114,309.68,10,0,250,70.2,78.65,0
919565539,150,144,137.38,126,139,137,273.34,15,5,250,94.3173333333333,97.238,1
919261532,83.5,63.5,77.25,78.75,49.25,95,254.42,5,0,250,53.0666666666667,65.3,0
919611904,127,0,73.13,97.45,119,111,217.57,15,5,217.57,70.344,76.015,1
