"SID","consent","age","year","gender","first_language","exp_eng","confidence","ethcity","f_education","m_education","lunch_program","Grant","Transfer","first_gen"
"920055973",1,18,"2","Woman","1","3","0","3",3,3,0,0,0,1
"918702966",1,20,"3","Man","0","4","1","3",2,2,2,1,0,1
"917551749",1,21,"3","Woman","0","3","1","8",NA,4,2,1,0,0
"919611904",1,20,"2","Woman","0","2","0","3",4,4,1,2,0,0
"919565982",1,18,"2","Man","1","4","1","4",2,1,2,0,0,1
"917048906",1,21,"3","Man","0","4","1","3",1,1,2,1,0,1
"917340675",1,20,"4","Woman","0","4","1","8",4,4,1,2,0,0
"918210445",1,20,"3","Man","1","4","1","5",5,5,1,2,0,0
"918151821",1,20,"3","Woman","1","4","1","4",1,1,2,1,0,1
"918420264",1,22,"4","Woman","1","4","1","3",4,4,0,2,1,0
"920075830",1,19,"2","Woman","0","3","1","4",2,2,2,0,0,1
"919373705",1,21,"1","Man","0","1","0","3",2,NA,0,0,0,1
"918734963",1,20,"2","Woman","0","4","1","4",2,3,2,1,0,1
"916455972",1,22,"4","Woman","0","4","1","3",3,2,2,1,0,1
"917443815",1,21,"4","Woman","1","4","1","4",1,3,2,0,0,1
"920102091",1,18,"2","Woman","1","4","1","0",3,3,2,1,0,1
"918165082",1,19,"2","Man","0","3","1","4",2,1,2,0,0,1
"918827498",1,19,"3","Woman","0","2","0","3",4,1,1,0,0,1
"918680907",1,20,"2","Woman","1","3","1","3",1,3,2,1,0,1
"917360121",1,21,"4","Man","0","4","0","4",NA,2,2,1,0,1
"918890687",1,20,"3","Man","1","4","1","1",1,1,2,1,0,1
"917489219",1,20,"4","Man","1","3","1","4",2,2,2,1,0,1
"920112450",1,23,"4","Woman","0","3","1","3",2,1,1,1,1,1
"917030914",1,20,"4","Woman","1","4","1","6",1,3,2,1,0,1
"921622745",1,19,"1","Woman","1","4","1","3",5,5,0,0,0,0
"919820517",1,22,"4","Woman","1","4","1","3",4,5,0,0,1,0
"915707634",1,21,"4","Woman","0","4","1","4",2,2,2,1,0,1
"918698151",1,19,"3","Woman","0","2","0","3",4,4,0,0,0,0
"919636293",1,20,"2","Man","0","4","1","3",2,2,0,0,0,1
"918110998",1,20,"2","Woman","0","3","0","4",1,2,1,1,0,1
"920068465",1,19,"2","Woman","1","2","1","2",5,5,0,0,0,0
"918893367",1,20,"2","Woman","1","4","1","4",3,4,2,1,0,1
"918774774",1,20,"2","Woman","0","1","0","3",NA,NA,0,0,0,NA
"918600644",1,19,"3","Woman","1","4","1","3",4,4,2,0,0,0
"919565539",1,19,"2","Man","1","4","1","3",5,5,0,0,0,0
"919539617",1,20,"4","Man","0","3","1","3",3,4,2,1,1,1
"918609519",1,20,"3","Woman","0","4","0","4",1,1,2,1,0,1
"920136724",1,23,"3","Man","1","2","1","4",1,1,0,1,1,1
"917455230",1,20,"3","Woman","0","4","0","3",1,1,2,0,0,1
"919831263",1,22,"3","Woman","0","4","0","6",1,2,1,1,1,1
"917070039",1,21,"4","Man","0","4","1","4",2,1,2,1,0,1
"918538402",1,21,"2","Woman","0","1","1","3",5,4,0,0,0,0
"917351062",1,21,"4","Woman","0","4","1","3",3,4,2,1,0,1
"918003801",1,20,"3","Woman","1","4","1","2",4,5,0,0,0,0
"918192916",1,20,"3","Man","0","3","0","3",4,4,1,2,0,0
"918795135",1,20,"2","Other","1","4","0","6",4,3,2,2,0,1
"918087487",1,19,"3","Woman","1","4","1","1",1,5,2,1,0,1
"918205421",1,20,"3","Woman","0","3","1","3",1,1,2,0,0,1
"916568458",1,21,"3","Woman","0","3","1","3",2,2,2,1,1,1
"916931687",1,21,"4","Woman","1","4","1","4",1,4,1,2,0,1
"919281884",1,19,"2","Woman","0","1","1","2",5,5,2,1,0,0
"917634417",1,20,"3","Woman","0","3","0","4",2,2,2,0,0,1
"918455873",1,19,"3","Woman","1","4","1","6",3,5,2,0,0,1
"920153516",1,23,"3","Other","0","4","0","4",2,1,2,0,1,1
"918130761",1,20,"3","Woman","1","4","1","8",NA,NA,0,2,0,NA
"919269518",1,19,"2","Woman","0","1","0","4",4,5,2,2,0,0
"918009850",1,20,"2","Woman","0","4","1","8",5,5,2,1,0,0
