"source","SID","views1","h0","h1","h2","pv_op","ov_op","claim_ex","temp","alt_ex","interpret"
"Unit_1A_scores_pilot.csv",917634417,2,5,5,5,10,7,10,10,10,10
"Unit_1A_scores_pilot.csv",918609519,1,4,5,4,7.5,5,0,10,10,10
"Unit_1A_scores_pilot.csv",918680907,0,4,4,5,5,4.5,10,10,0,10
"Unit_1A_scores_pilot.csv",918205421,2,5,5,5,7.5,9.5,10,10,10,10
"Unit_1A_scores_pilot.csv",918538402,10,5,5,5,7.5,5,10,10,10,10
"Unit_1A_scores_pilot.csv",919930148,0,4,0,4,4.5,5,10,0,0,7.5
"Unit_1A_scores_pilot.csv",919831263,2,5,4,5,2,1,0,5,10,10
"Unit_1A_scores_pilot.csv",918003801,1,5,5,5,10,9.5,10,10,5,10
"Unit_1A_scores_pilot.csv",918455873,0,4,4,5,7.5,9,10,10,10,10
"Unit_1A_scores_pilot.csv",918110998,1,5,5,5,5,7,10,10,10,10
"Unit_1A_scores_pilot.csv",919269518,14,5,5,5,4.5,0,10,10,5,10
"Unit_1A_scores_pilot.csv",918702966,0,4,4,5,7.5,9.5,10,10,10,10
"Unit_1A_scores_pilot.csv",920016132,0,4,4,5,7.5,7.5,0,10,9,10
"Unit_1A_scores_pilot.csv",918689050,3,5,5,5,7.5,9,10,10,0,10
"Unit_1A_scores_pilot.csv",917048906,1,4,0,5,7.5,4,10,10,10,10
"Unit_1A_scores_pilot.csv",915707634,4,5,5,5,10,7.5,10,10,10,10
"Unit_1A_scores_pilot.csv",919820517,2,4,4,5,7.5,9,10,10,10,10
"Unit_1A_scores_pilot.csv",919281884,5,5,5,5,7.5,10,10,10,5,10
"Unit_1A_scores_pilot.csv",918087487,2,5,5,5,7.5,9,10,10,10,10
"Unit_1A_scores_pilot.csv",918893367,6,5,5,5,7.5,5,10,0,5,10
"Unit_1A_scores_pilot.csv",918151821,2,4,4,5,7.5,6.5,10,10,10,10
"Unit_1A_scores_pilot.csv",917340675,0,5,5,4,7.5,7.5,10,10,10,10
"Unit_1A_scores_pilot.csv",916455972,3,5,5,5,5,10,10,10,5,10
"Unit_1A_scores_pilot.csv",918600644,0,5,5,5,7,3.5,10,10,5,10
"Unit_1A_scores_pilot.csv",920102091,1,5,5,5,7.5,9.5,10,10,5,10
"Unit_1A_scores_pilot.csv",916931687,0,4,4,5,7.5,7.5,10,10,10,10
"Unit_1A_scores_pilot.csv",918009850,0,4,3,5,4.5,4.5,10,10,5,10
"Unit_1A_scores_pilot.csv",918698151,1,5,5,5,6.5,7.5,10,0,10,0
"Unit_1A_scores_pilot.csv",919610206,2,5,5,5,7.5,9,10,10,10,10
"Unit_1A_scores_pilot.csv",919565539,2,5,5,5,10,10,10,10,10,10
"Unit_1A_scores_pilot.csv",919611904,0,4,5,5,7.5,6.5,10,0,10,10
"Unit_1B_scores_pilot.csv",917455230,3,5,5,5,7.5,7.5,10,10,10,10
"Unit_1B_scores_pilot.csv",917030914,2,5,5,5,10,7.5,10,10,5,10
"Unit_1B_scores_pilot.csv",918210445,1,5,5,5,10,10,10,10,5,10
"Unit_1B_scores_pilot.csv",917489219,5,5,5,5,10,10,0,10,10,10
"Unit_1B_scores_pilot.csv",918130761,0,5,5,5,7.5,10,10,10,10,10
"Unit_1B_scores_pilot.csv",921622745,5,5,5,5,5,10,0,10,10,10
"Unit_1B_scores_pilot.csv",918192916,2,5,4,5,2.5,5,10,10,10,10
"Unit_1B_scores_pilot.csv",917551749,0,5,5,5,10,10,10,10,10,10
"Unit_1B_scores_pilot.csv",920136724,1,4,4,3,0,2.5,0,10,10,0
"Unit_1B_scores_pilot.csv",918774774,3,5,5,4,7.5,7.5,10,10,10,10
"Unit_1B_scores_pilot.csv",919565982,1,5,5,5,6.5,4.5,0,0,5,10
"Unit_1B_scores_pilot.csv",917070039,1,5,5,5,9,7.5,10,0,10,10
"Unit_1B_scores_pilot.csv",917443815,0,4,4,3,4.5,7.5,0,0,5,10
"Unit_1B_scores_pilot.csv",917551082,0,5,5,4,7,5,10,0,0,10
"Unit_1B_scores_pilot.csv",917360121,0,4,4,4,4.5,2.5,10,0,10,10
"Unit_1B_scores_pilot.csv",918827498,1,5,5,5,7.5,10,10,10,10,10
"Unit_1B_scores_pilot.csv",918734963,3,5,5,5,7.5,5,10,0,5,10
"Unit_1B_scores_pilot.csv",918890687,0,5,5,5,7,7,10,10,5,10
"Unit_1B_scores_pilot.csv",920153516,0,5,4,5,6.5,2.5,0,10,5,0
"Unit_1B_scores_pilot.csv",918795135,9,5,5,5,7,5,10,10,10,10
"Unit_1B_scores_pilot.csv",919539617,2,5,5,5,7,7.5,10,10,5,10
"Unit_1B_scores_pilot.csv",918420264,1,3,5,3,0,10,10,10,10,10
"Unit_1B_scores_pilot.csv",918165082,2,5,5,5,7,5,10,10,10,10
"Unit_1B_scores_pilot.csv",919636293,2,5,5,5,7.5,1.5,9,10,5,10
"Unit_1B_scores_pilot.csv",920112450,2,5,5,5,9.5,2.5,10,0,0,10
"Unit_1B_scores_pilot.csv",919373705,0,4,4,3,9.5,7,10,0,5,10
"Unit_1B_scores_pilot.csv",920055973,0,5,5,5,7,7.5,0,10,9,10
"Unit_1B_scores_pilot.csv",919261532,0,4,4,3,4,6.5,0,0,0,10
