"source","SID","views2","pv_op","pv_cv","ov_op","ov_cv","effect","ov_reliability","h1","interpret"
"Unit_2A_scores.csv",918009850,3,3.75,20,0,7,0,5,4,4
"Unit_2A_scores.csv",918609519,1,7.5,20,5.5,10,10,5,5,4
"Unit_2A_scores.csv",918680907,0,6.25,5,8,0,8.75,10,5,0
"Unit_2A_scores.csv",919930148,0,6,7,6.75,10,10,0,5,4
"Unit_2A_scores.csv",919831263,2,4.75,17,4.25,15,10,5,4,4
"Unit_2A_scores.csv",918003801,3,10,20,5.5,20,10,10,5,4
"Unit_2A_scores.csv",917455230,2,8.75,20,9.25,15,0,5,5,4
"Unit_2A_scores.csv",917030914,10,7.5,17.5,5.5,15,8.75,5,5,4
"Unit_2A_scores.csv",918455873,0,5,20,9.25,4.5,10,5,5,4
"Unit_2A_scores.csv",918110998,1,6.25,12.5,9.25,12.5,10,5,5,5
"Unit_2A_scores.csv",918130761,1,10,12.5,9.25,12.5,0,10,5,4
"Unit_2A_scores.csv",918210445,7,8.75,20,5.5,20,8.75,10,5,4
"Unit_2A_scores.csv",917489219,14,10,20,5.5,20,5,8.75,5,4
"Unit_2A_scores.csv",920016132,0,8.75,20,8,15,10,10,5,5
"Unit_2A_scores.csv",918689050,4,6.25,20,6.75,20,10,10,5,2
"Unit_2A_scores.csv",920136724,1,10,15,9.25,10,0,3.75,5,4
"Unit_2A_scores.csv",918774774,1,7.5,20,6.75,15,10,5,5,4
"Unit_2A_scores.csv",920075830,1,6.25,20,9.25,15,0,0,5,2
"Unit_2A_scores.csv",919820517,4,10,20,3,15,10,6.5,5,4
"Unit_2A_scores.csv",917170285,0,6.25,12.5,9.25,12.5,0,10,5,5
"Unit_2A_scores.csv",918151821,4,10,20,6.75,15,8.75,10,5,4
"Unit_2A_scores.csv",916455972,4,8.75,20,9.25,20,10,5,5,4
"Unit_2A_scores.csv",918600644,0,8.75,20,5.5,17.5,0,8.75,5,1.5
"Unit_2A_scores.csv",920102091,0,6.25,20,6.75,20,10,0,5,5
"Unit_2A_scores.csv",917360121,0,6,20,5.5,10,0,0,4,3.5
"Unit_2A_scores.csv",918827498,3,6.25,20,5.5,10,10,5,5,4
"Unit_2A_scores.csv",918734963,1,7.5,12.5,3,12.5,10,0,5,5
"Unit_2A_scores.csv",916931687,0,10,9.5,6.75,20,0,10,5,4
"Unit_2A_scores.csv",918890687,1,6,12.5,9.25,20,10,0,5,4
"Unit_2A_scores.csv",919539617,3,6,4.5,5.5,10,0,10,5,2
"Unit_2A_scores.csv",919636293,1,6.25,12.5,9.25,12.5,10,3.75,5,4
"Unit_2A_scores.csv",919373705,1,7.25,20,5.5,10,10,10,4,4
"Unit_2A_scores.csv",919565539,2,10,20,10,15,10,10,5,4
"Unit_2B_scores.csv",916568458,2,9.25,2,5.5,15,7,3,4,5
"Unit_2B_scores.csv",918205421,2,10,20,10,15,10,5,5,4
"Unit_2B_scores.csv",918538402,11,6.75,20,10,20,5.75,3,5,4
"Unit_2B_scores.csv",921622745,4,10,12.5,10,15,10,3,4,4
"Unit_2B_scores.csv",919269518,13,8,17.5,10,20,8.5,10,5,4
"Unit_2B_scores.csv",918192916,6,6.75,20,6.25,17,7,10,4,4
"Unit_2B_scores.csv",917551749,0,6.75,20,7.5,17,0,10,5,4
"Unit_2B_scores.csv",917351062,4,5.5,15,10,20,10,10,5,4
"Unit_2B_scores.csv",917048906,1,10,15,6.25,20,10,10,5,5
"Unit_2B_scores.csv",918702966,0,9.25,12,4.75,17,0,10,5,4
"Unit_2B_scores.csv",920068465,1,9.25,20,5,20,10,10,5,4
"Unit_2B_scores.csv",919565982,1,5.5,12,10,12,0,3,5,4
"Unit_2B_scores.csv",917070039,5,6.75,15,10,20,10,5,5,0
"Unit_2B_scores.csv",917443815,0,5.75,20,6,5,10,7,0,0
"Unit_2B_scores.csv",917551082,0,0,9.5,3.75,10,0,3,5,1
"Unit_2B_scores.csv",919281884,9,5.5,20,8.75,17,0,10,5,1
"Unit_2B_scores.csv",918087487,2,8,17,7.5,20,0,3,5,1
"Unit_2B_scores.csv",918893367,2,3.25,15,8.75,17,8.75,10,0,0
"Unit_2B_scores.csv",917340675,3,10,20,5,20,8.75,3,5,0
"Unit_2B_scores.csv",920153516,3,9.25,20,6.25,5,10,10,0,0
"Unit_2B_scores.csv",918795135,7,9.25,20,7.5,20,8.75,10,5,5
"Unit_2B_scores.csv",918420264,3,3.25,9.5,2.5,7,0,0,5,1
"Unit_2B_scores.csv",918165082,0,4.5,10,10,10,0,10,5,5
"Unit_2B_scores.csv",918698151,1,6.75,15,3.75,17,10,10,5,4
"Unit_2B_scores.csv",919610206,2,6.75,20,6.25,17,10,10,5,4
"Unit_2B_scores.csv",920112450,1,6.75,7.5,3.75,12.5,0,10,5,1
"Unit_2B_scores.csv",920055973,1,9.25,12.5,6,7.5,10,3,5,4
"Unit_2B_scores.csv",919261532,0,0,1.5,0,0,0,10,5,1
