"source","SID","views3","pv_op","pv_cv","ov_cv","internal1","internal2","confound","interpret"
"Unit_3A_scores.csv",918009850,1,4.375,0,4.75,15,0,0,0
"Unit_3A_scores.csv",916568458,3,4.375,1.25,10,15,7.5,6.25,5
"Unit_3A_scores.csv",917634417,7,2.5,6.25,5,12,15,4.5,5
"Unit_3A_scores.csv",918609519,7,3.125,0,2.25,15,7.5,4.5,2
"Unit_3A_scores.csv",918680907,0,5,5,3.75,12,0,0,2
"Unit_3A_scores.csv",918205421,2,3.125,7.5,7.5,15,7.5,15,5
"Unit_3A_scores.csv",919831263,5,0.625,0,10,15,0,0,0
"Unit_3A_scores.csv",917455230,8,5,7.5,4.75,15,9,7.5,3.75
"Unit_3A_scores.csv",917030914,3,5,7.5,8.5,15,15,12.5,5
"Unit_3A_scores.csv",917489219,1,4.375,8.5,4.75,15,15,6.25,5
"Unit_3A_scores.csv",918455873,0,0.625,2.5,10,15,15,15,5
"Unit_3A_scores.csv",919269518,20,5,5,10,15,15,15,5
"Unit_3A_scores.csv",918702966,0,1.875,3.75,10,12,15,15,3.75
"Unit_3A_scores.csv",918192916,5,3.75,10,0,15,15,0,5
"Unit_3A_scores.csv",920016132,0,1.875,1.25,7.5,15,0,6.25,5
"Unit_3A_scores.csv",920068465,2,3.125,8.75,10,15,12,15,5
"Unit_3A_scores.csv",915707634,3,2.5,7.5,8.5,9,15,0,5
"Unit_3A_scores.csv",917443815,0,5,8.75,10,15,15,4.5,0
"Unit_3A_scores.csv",919281884,4,5,5,6,15,15,7.5,5
"Unit_3A_scores.csv",918087487,1,1.875,5,8.5,15,15,7.5,3.75
"Unit_3A_scores.csv",917170285,1,3.125,0,9.5,0,7,7.5,2
"Unit_3A_scores.csv",918893367,5,2.5,0,0,6,0,0,3.75
"Unit_3A_scores.csv",918151821,8,4.375,7.5,10,15,0,0,5
"Unit_3A_scores.csv",920102091,3,3.125,10,4.5,12,4.5,0,0
"Unit_3A_scores.csv",918827498,2,3.125,10,7,15,15,15,5
"Unit_3A_scores.csv",918795135,7,5,10,10,15,15,15,5
"Unit_3A_scores.csv",919539617,1,5,7.5,6.25,15,15,0,5
"Unit_3A_scores.csv",918165082,2,3.125,0,6,12,7.5,0,0
"Unit_3A_scores.csv",919261532,1,0,0,4.75,7.5,7.5,7.5,5
"Unit_3B_scores.csv",918538402,12,2.5,5,5,12,15,15,5
"Unit_3B_scores.csv",919930148,1,0,0,0,4.5,12,15,0
"Unit_3B_scores.csv",918003801,2,5,5,7.5,15,15,15,5
"Unit_3B_scores.csv",918210445,1,4.375,5,10,15,15,15,5
"Unit_3B_scores.csv",918110998,0,3.125,5,0,0,0,12,0
"Unit_3B_scores.csv",921622745,1,5,5,8.5,15,15,15,5
"Unit_3B_scores.csv",917551749,0,1.875,5,10,15,15,15,5
"Unit_3B_scores.csv",917351062,3,5,5,10,12,9,15,5
"Unit_3B_scores.csv",918689050,3,3.125,5,0,7.5,15,12,5
"Unit_3B_scores.csv",917048906,0,3.125,5,6,15,15,15,0
"Unit_3B_scores.csv",920136724,1,3.125,5,2.5,15,15,15,5
"Unit_3B_scores.csv",918774774,1,3.125,5,10,15,12,15,5
"Unit_3B_scores.csv",920075830,0,3.125,5,7.5,0,15,15,5
"Unit_3B_scores.csv",919565982,2,5,5,6,15,15,15,2.5
"Unit_3B_scores.csv",917070039,1,3.125,5,7.5,15,15,15,5
"Unit_3B_scores.csv",919820517,6,5,5,10,15,15,0,5
"Unit_3B_scores.csv",917551082,0,3.125,5,2.5,0,4.5,15,5
"Unit_3B_scores.csv",917340675,3,3.125,5,7.5,15,9,13.75,5
"Unit_3B_scores.csv",916455972,3,2.5,5,10,15,15,15,5
"Unit_3B_scores.csv",918600644,1,3.125,5,5,15,15,15,2.5
"Unit_3B_scores.csv",917360121,0,3.125,5,0,0,0,13.75,5
"Unit_3B_scores.csv",918734963,1,5,5,10,15,15,15,5
"Unit_3B_scores.csv",916931687,0,2.5,5,7.5,15,12,13.75,0
"Unit_3B_scores.csv",918890687,1,0,5,2.5,7.5,15,12,5
"Unit_3B_scores.csv",920153516,1,5,5,0,12,7.5,12,2.5
"Unit_3B_scores.csv",918420264,2,1.25,5,0,15,0,10.75,2.5
"Unit_3B_scores.csv",918544360,5,5,5,3.75,15,15,15,5
"Unit_3B_scores.csv",919636293,2,5,5,6,15,0,0,5
"Unit_3B_scores.csv",918698151,1,3.125,5,8.5,15,12,15,5
"Unit_3B_scores.csv",919610206,1,2.5,5,10,15,15,15,5
"Unit_3B_scores.csv",920112450,0,3.125,5,3.75,1.5,15,0,5
"Unit_3B_scores.csv",919565539,6,1.875,5,10,15,12,15,5
"Unit_3B_scores.csv",919611904,7,4.375,5,0,0,15,0,2.5
