"source","SID","views4","design_ex","ov_op","ov_cv","bias_ex","confound","IRB","sampling","external","replicate"
"Unit_4A_scores.csv",918609519,1,5,3.75,10,5,9.2,10,7.5,10,10
"Unit_4A_scores.csv",918205421,5,10,7.5,10,10,8.4,5,5,10,10
"Unit_4A_scores.csv",919930148,0,5,3.75,0,8,0,2.5,2.5,4.5,7.5
"Unit_4A_scores.csv",919831263,6,5,2.5,5,5,6.2,10,5,4.5,7
"Unit_4A_scores.csv",918003801,2,10,7.5,10,10,10,7.5,10,10,10
"Unit_4A_scores.csv",917455230,4,5,6.25,8.5,10,9.2,10,9,10,10
"Unit_4A_scores.csv",918130761,0,7.5,3.75,8.5,5,10,7.5,0,10,7.5
"Unit_4A_scores.csv",919269518,5,7.5,2.5,8.5,5,9.2,7.5,10,7.5,10
"Unit_4A_scores.csv",918702966,0,10,6.25,7.5,10,9.2,7.5,10,10,10
"Unit_4A_scores.csv",917551749,0,10,6.25,7.5,10,10,10,10,10,10
"Unit_4A_scores.csv",917351062,1,5,3.75,7.5,10,9.2,10,9,7,10
"Unit_4A_scores.csv",920016132,0,7.5,3.75,7.5,10,9.2,5,10,10,10
"Unit_4A_scores.csv",920075830,1,5,3.75,6,5,6.2,5,10,7,7
"Unit_4A_scores.csv",919565982,1,5,5,3.75,5,10,2.5,10,0,7
"Unit_4A_scores.csv",917070039,3,5,1.25,7.5,5,7,0,10,10,10
"Unit_4A_scores.csv",915707634,1,5,3.75,1,5,6.2,7.5,0,10,7
"Unit_4A_scores.csv",919820517,5,5,8.75,7.5,5,7,10,5,10,10
"Unit_4A_scores.csv",918151821,6,10,6.25,7.5,9.2,9.2,2.5,5,10,7
"Unit_4A_scores.csv",917340675,1,5,6.25,7.5,10,10,10,10,7.5,9
"Unit_4A_scores.csv",918600644,0,5,5,8.5,5,9.2,10,5,10,10
"Unit_4A_scores.csv",920102091,3,5,3.75,10,5,0,10,10,10,7
"Unit_4A_scores.csv",918827498,1,10,7.5,8.5,5,9.2,10,10,10,10
"Unit_4A_scores.csv",918890687,0,7.5,6.25,7,5,7,10,0,7,10
"Unit_4A_scores.csv",918795135,6,10,5,7.5,5,7,10,5,10,10
"Unit_4A_scores.csv",919539617,3,5,6.25,3.5,5,7,5,5,10,10
"Unit_4A_scores.csv",918544360,0,10,6.25,6.25,10,7,7.5,10,10,7.5
"Unit_4A_scores.csv",918165082,2,5,3.75,10,5,10,10,0,10,7
"Unit_4A_scores.csv",919610206,2,10,8.75,10,5,7,5,0,5.5,5
"Unit_4A_scores.csv",920055973,1,5,3.75,0,5,10,0,5,0,5
"Unit_4A_scores.csv",919261532,0,5,3.75,0,9,0,10,10,10,0
"Unit_4A_scores.csv",919611904,2,7.5,3.75,10,5,6.2,10,0,10,10
"Unit_4A_scores.csv",921622745,2,5,7.5,7.5,10,10,7.5,5,10,10
"Unit_4B_scores.csv",918009850,0,5,0,5,10,10,2.5,10,0,10
"Unit_4B_scores.csv",916568458,2,10,0,5,10,10,10,10,10,10
"Unit_4B_scores.csv",917634417,4,10,10,10,5,6,10,10,10,10
"Unit_4B_scores.csv",918680907,0,5,5,10,5,8,5,7.5,0,10
"Unit_4B_scores.csv",918538402,8,10,10,7.5,5,10,10,4,10,10
"Unit_4B_scores.csv",917030914,2,10,10,10,10,10,7.5,9,10,10
"Unit_4B_scores.csv",918210445,4,10,5,10,10,10,10,10,10,10
"Unit_4B_scores.csv",917489219,4,5,5,8.5,5,10,10,8.75,7.5,10
"Unit_4B_scores.csv",918110998,0,5,0,0,5,6,0,7.5,0,10
"Unit_4B_scores.csv",918192916,4,5,5,7.5,10,1,2.5,10,10,10
"Unit_4B_scores.csv",918689050,2,7.5,7.5,6,5,1,5,10,2.5,10
"Unit_4B_scores.csv",917048906,1,5,7.5,0,5,0,10,5,10,10
"Unit_4B_scores.csv",920136724,0,7.5,5,10,5,1,10,2.5,10,10
"Unit_4B_scores.csv",918774774,2,5,10,8.5,5,0,7.5,5,10,10
"Unit_4B_scores.csv",920068465,6,10,10,10,9.2,10,10,0,10,10
"Unit_4B_scores.csv",917443815,0,5,2.5,6,10,10,10,7.5,10,4
"Unit_4B_scores.csv",919281884,4,7.5,7.5,8.5,10,10,2.5,10,2.5,8.75
"Unit_4B_scores.csv",918087487,2,7.5,7.5,10,10,1,7.5,0,0,10
"Unit_4B_scores.csv",917170285,0,5,5,3.5,10,1,2.5,10,10,7.75
"Unit_4B_scores.csv",916455972,4,7.5,10,10,10,6,7.5,10,10,10
"Unit_4B_scores.csv",917360121,0,5,3.75,10,5,1,5,7.5,7,10
"Unit_4B_scores.csv",918734963,2,10,10,6.25,10,10,10,10,10,10
"Unit_4B_scores.csv",916931687,0,5,7.5,3.25,5,6,2.5,0,10,10
"Unit_4B_scores.csv",920153516,0,5,2.5,7.5,10,1,5,0,10,10
"Unit_4B_scores.csv",918420264,1,5,0,2.25,5,1,5,2.5,0,2.5
"Unit_4B_scores.csv",919636293,1,5,1.25,10,5,1,2.5,10,10,10
"Unit_4B_scores.csv",918698151,1,5,7.5,7.5,5,8,10,10,10,7.5
"Unit_4B_scores.csv",919373705,0,5,5,8.5,5,10,5,0,7,5
"Unit_4B_scores.csv",920112450,0,5,2.5,7.5,10,1,10,0,0,5
"Unit_4B_scores.csv",919565539,3,10,5,10,10,8.5,7.5,10,0,10
