"source","SID","views5","pv_op","pv_cv","construct_ex","confound","maturation","interpret","external","replication"
"Unit_5A_scores.csv",918009850,0,3.75,2,2.5,0,0,10,8.5,10
"Unit_5A_scores.csv",917634417,1,7.5,10,1.25,10,10,10,10,10
"Unit_5A_scores.csv",918205421,1,10,2.5,10,0,10,5,10,10
"Unit_5A_scores.csv",918003801,0,7.5,10,10,10,10,10,10,10
"Unit_5A_scores.csv",917030914,0,10,10,10,0,10,5,10,10
"Unit_5A_scores.csv",917489219,1,6.75,10,10,5,10,5,10,10
"Unit_5A_scores.csv",921622745,1,10,7,10,10,10,10,10,10
"Unit_5A_scores.csv",919269518,0,7.5,7.5,10,10,10,8,10,10
"Unit_5A_scores.csv",918192916,0,6.75,6,4.5,0,10,5,0,10
"Unit_5A_scores.csv",920016132,0,7.5,3.75,10,0,10,10,8.5,5
"Unit_5A_scores.csv",918689050,0,10,10,5,0,10,8,8.5,10
"Unit_5A_scores.csv",917048906,0,5,8.5,2.5,10,3,8,10,10
"Unit_5A_scores.csv",919565982,0,10,5,6,0,3,5,10,10
"Unit_5A_scores.csv",915707634,0,7.5,7.5,0,0,10,0,10,10
"Unit_5A_scores.csv",917443815,0,10,2.5,10,0,3,8,8.5,10
"Unit_5A_scores.csv",918087487,0,10,10,8.5,5,10,8,10,10
"Unit_5A_scores.csv",917170285,0,7.5,3.25,6,5,10,6,10,10
"Unit_5A_scores.csv",918151821,1,10,8.5,10,0,10,9,10,10
"Unit_5A_scores.csv",916455972,1,6.25,5,10,10,10,10,10,10
"Unit_5A_scores.csv",918600644,0,7.5,1,10,0,10,5,9.5,5
"Unit_5A_scores.csv",920102091,0,7.5,10,7.5,10,10,10,0,5
"Unit_5A_scores.csv",920153516,0,2.5,2.5,10,0,3,0,0,10
"Unit_5A_scores.csv",918165082,0,9.25,5,8.5,10,10,10,8.5,10
"Unit_5A_scores.csv",919636293,0,4.25,7.5,10,0,10,8,0,10
"Unit_5A_scores.csv",919610206,0,10,6,10,0,10,5,10,10
"Unit_5A_scores.csv",919373705,0,6.25,7.5,8.5,0,10,8,10,10
"Unit_5A_scores.csv",920112450,0,4.25,6,3.5,0,3,5,10,10
"Unit_5A_scores.csv",920055973,0,6.75,3.5,7.5,10,3,10,9,5
"Unit_5A_scores.csv",919565539,1,6.75,10,8.5,10,10,10,10,10
"Unit_5A_scores.csv",919611904,1,9.25,7.5,3.5,0,10,5,10,10
"Unit_5B_scores.csv",916568458,0,6.75,10,10,10,10,10,0,5
"Unit_5B_scores.csv",918609519,1,8.75,10,5,10,5,5,6,10
"Unit_5B_scores.csv",918680907,0,6.75,2.25,2.5,0,0,0,10,2.5
"Unit_5B_scores.csv",919831263,0,10,7.5,1.25,0,5,0,10,0
"Unit_5B_scores.csv",917455230,6,10,7,6,10,0,10,10,8
"Unit_5B_scores.csv",918210445,1,7.5,10,10,10,10,10,10,5
"Unit_5B_scores.csv",918455873,0,7.5,8.5,8.75,0,10,10,10,5
"Unit_5B_scores.csv",918110998,0,5,0,0,0,0,0,0,5
"Unit_5B_scores.csv",918130761,0,10,6,10,0,0,3,10,10
"Unit_5B_scores.csv",918702966,0,10,8.5,10,0,0,3,10,5
"Unit_5B_scores.csv",917551749,0,10,10,7.5,10,10,10,10,10
"Unit_5B_scores.csv",917351062,0,4.25,8.5,8.5,10,5,10,10,10
"Unit_5B_scores.csv",918774774,0,10,6,10,10,10,0,10,10
"Unit_5B_scores.csv",920068465,1,10,8.5,10,10,10,5,10,10
"Unit_5B_scores.csv",920075830,0,5,7.5,3,10,10,3,0,7.5
"Unit_5B_scores.csv",917070039,0,10,10,7,10,10,8,10,8
"Unit_5B_scores.csv",919820517,0,7.5,3.5,8.5,0,10,10,10,10
"Unit_5B_scores.csv",919281884,1,6.25,7.5,0,10,0,8,10,10
"Unit_5B_scores.csv",918893367,4,5,6,5,0,0,0,8.5,5
"Unit_5B_scores.csv",917340675,0,9.25,10,8.5,10,10,10,10,10
"Unit_5B_scores.csv",917360121,0,8.75,0,0,0,0,0,10,5
"Unit_5B_scores.csv",918827498,0,10,7.5,10,10,10,10,10,5
"Unit_5B_scores.csv",918734963,1,7.5,2.5,5,10,3,0,10,5
"Unit_5B_scores.csv",916931687,0,7.5,7.5,7.5,0,5,0,10,10
"Unit_5B_scores.csv",918890687,0,10,8.5,2.5,0,5,5,10,7.5
"Unit_5B_scores.csv",918795135,1,10,8.5,10,10,10,5,10,10
"Unit_5B_scores.csv",919539617,1,8.75,8.5,8.5,8,10,9,10,5
"Unit_5B_scores.csv",918420264,0,6.75,8.5,2.5,0,10,3,10,10
"Unit_5B_scores.csv",918544360,0,5,7.5,8.5,10,5,2,10,5.5
"Unit_5B_scores.csv",918698151,0,7.5,8.5,6,10,5,3,10,5
"Unit_5B_scores.csv",919261532,0,6.75,2.5,0,0,5,4,0,5.5
"Unit_5B_scores.csv",920136724,0,5,7.5,5,10,10,5,10,5
