First Name,Last Name,SID,anon_id,Email,Sections,Total Score,Max Points,Status,Submission ID,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: PV Operational Definition (5.0 pts),2: PV Type (5.0 pts),3: PV Measure (5.0 pts),4: Claim Type (5.0 pts),5: PV Construct Validity (10.0 pts),6: OV Type (5.0 pts),7: OV Measure (5.0 pts),8: New OV Measure (5.0 pts),9: Compare Construct Validity (10.0 pts),10: Internal Validity 1 (15.0 pts),11: Internal Validity 2 (15.0 pts),12: Confound (15.0 pts),13: Reliability (5.0 pts),14: Research Design (5.0 pts),15: Explain Research Design (5.0 pts),16: Error Bars (5.0 pts),17: P-Value (5.0 pts),18: Interpretation (5.0 pts),19: MC 19 (2.0 pts),20: MC 20 (2.0 pts),21: MC 21 (2.0 pts),22: MC 22 (2.0 pts),23: MC 23 (2.0 pts),24: MC 24 (2.0 pts),25: MC 25 (2.0 pts),26: MC 26 (2.0 pts),27: MC 27 (2.0 pts),28: MC 28 (2.0 pts)
redacted,redacted,redacted,130380,redacted,psc-041-001-wq-2023,112.5,150,Graded,162518985,2/16/2023 13:45,0:00:00,3,1,4,5,5,5,6.75,5,5,5,2.25,9,4,15,5,5,5,5,5,2.5,2,2,2,2,0,2,0,2,0,2
redacted,redacted,redacted,938861,redacted,psc-041-002-wq-2023,123,150,Graded,162518986,2/16/2023 13:45,0:00:00,8,1,4.75,5,5,5,7.75,5,5,5,9.75,15,15,5.5,0,5,5,5,5,3.25,2,2,2,2,0,2,2,0,0,0
redacted,redacted,redacted,863924,redacted,psc-041-001-wq-2023,141,150,Graded,162518987,2/16/2023 13:45,0:00:00,5,1,4.75,5,5,5,6.25,5,5,5,9.75,14,15,15,5,5,5,5,5,3.25,2,2,2,2,0,2,2,2,2,2
redacted,redacted,redacted,135727,redacted,psc-041-001-wq-2023,118.75,150,Graded,162518988,2/16/2023 13:45,0:00:00,8,1,4.75,5,5,5,6,5,5,5,6,5.5,15,15,0,5,5,5,5,2.5,2,2,2,2,0,2,2,0,0,2
redacted,redacted,redacted,564146,redacted,psc-041-001-wq-2023,128.75,150,Graded,162518989,2/16/2023 13:45,0:00:00,0,1,2,5,5,5,5.75,5,5,5,7.75,15,15,14.5,5,0,2.5,5,5,3.25,2,2,2,2,2,2,2,0,2,2
redacted,redacted,redacted,841731,redacted,psc-041-001-wq-2023,142,150,Graded,162518990,2/16/2023 13:45,0:00:00,3,1,3.5,5,5,5,10,5,5,5,9.75,15,12.5,15,5,5,5,5,5,3.25,2,2,2,2,2,2,2,0,2,2
redacted,redacted,redacted,822014,redacted,psc-041-001-wq-2023,142.75,150,Graded,162518991,2/16/2023 13:45,0:00:00,6,1,5,5,5,5,6.5,5,5,5,10,15,15,15,5,5,5,5,5,3.25,2,2,0,2,2,2,2,2,2,2
redacted,redacted,redacted,273032,redacted,psc-041-001-wq-2023,107.5,150,Graded,162518992,2/16/2023 13:45,0:00:00,0,1,5,5,5,5,0,5,5,5,10,11,15,0,0,5,5,5,5,2.5,2,2,2,2,2,0,2,0,0,2
redacted,redacted,redacted,887391,redacted,psc-041-001-wq-2023,132.25,150,Graded,162518993,2/16/2023 13:45,0:00:00,3,1,4.25,5,5,5,1,5,5,5,7.75,15,15,15,5,5,5,5,5,3.25,2,2,2,2,2,2,2,2,0,0
redacted,redacted,redacted,485565,redacted,psc-041-001-wq-2023,127.5,150,Graded,162518994,2/16/2023 13:45,0:00:00,1,1,5,5,5,5,7.5,5,5,5,7.75,15,4,15,5,5,5,5,0,3.25,2,2,2,2,2,2,2,2,2,2
redacted,redacted,redacted,223333,redacted,psc-041-002-wq-2023,106,150,Graded,162518995,2/16/2023 13:45,0:00:00,2,1,5,5,5,5,3,5,5,5,8.25,15,4,5.5,5,5,5,5,0,3.25,2,2,2,2,0,2,2,0,0,0
redacted,redacted,redacted,930504,redacted,psc-041-002-wq-2023,136,150,Graded,162518996,2/16/2023 13:45,0:00:00,0,1,4.75,5,5,5,4.75,5,5,5,10,15,15,13.5,5,5,5,5,5,0,2,2,2,2,2,2,2,0,2,2
redacted,redacted,redacted,190892,redacted,psc-041-002-wq-2023,114.5,150,Graded,162518997,2/16/2023 13:45,0:00:00,0,1,5,5,5,5,1.5,5,5,5,10,11.5,15,5,0,5,5,5,5,2.5,2,2,2,2,0,2,2,0,0,2
redacted,redacted,redacted,970240,redacted,psc-041-002-wq-2023,128.75,150,Graded,162518998,2/16/2023 13:45,0:00:00,2,1,4.75,5,5,5,1.25,5,5,5,10,13.5,15,15,5,5,5,5,0,3.25,2,2,2,2,0,2,2,0,2,2
redacted,redacted,redacted,270982,redacted,psc-041-001-wq-2023,116.5,150,Graded,162518999,2/16/2023 13:45,0:00:00,11,1,4.75,5,5,5,5,5,5,5,10,15,15,6.5,0,5,5,5,0,1.25,2,2,0,2,0,2,2,2,0,2
redacted,redacted,redacted,839513,redacted,psc-041-001-wq-2023,130.25,150,Graded,162519000,2/16/2023 13:45,0:00:00,1,1,5,5,5,5,5.5,5,5,5,10,12.5,12.5,15,5,5,5,5,0,3.75,2,2,2,2,2,2,2,0,0,2
redacted,redacted,redacted,700441,redacted,psc-041-002-wq-2023,98.25,150,Graded,162519001,2/16/2023 13:45,0:00:00,5,1,5,5,5,5,2.75,5,5,5,10,0,13.5,5.5,0,5,5,5,0,2.5,2,2,2,2,0,2,0,2,0,2
redacted,redacted,redacted,259122,redacted,psc-041-002-wq-2023,134.5,150,Graded,162519002,2/16/2023 13:45,0:00:00,0,1,5,5,5,5,5,5,5,5,6,15,15,15,5,5,5,5,5,2.5,2,2,2,2,0,2,2,2,0,2
redacted,redacted,redacted,861674,redacted,psc-041-001-wq-2023,131.5,150,Graded,162519003,2/16/2023 13:45,0:00:00,9,1,4.5,5,5,5,3.5,5,5,5,7.75,13.5,15,15,5,5,5,5,5,3.25,2,2,2,2,2,2,2,0,0,0
redacted,redacted,redacted,783300,redacted,psc-041-002-wq-2023,144.25,150,Graded,162519004,2/16/2023 13:45,0:00:00,4,1,4.5,5,5,5,4.75,5,5,5,10,15,15,15,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2
